Source,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_Anno_AP,Core_BERT_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_Anno_AP,Answer_BERT_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_Anno_AP,Gramm_BERT_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_Anno_AP,Interp_BERT_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_Anno_AP,Verif_BERT_AP
I01T-gNSC-vs_r1-In-N14-VS-N70,0.8358759389890531,0.8364587694678255,0.8274379445206883,0.8633981403212173,0.8287531491413597,0.8529418007833156,0.8685338931952052,0.8534262151914433,0.8610837438423646,0.8484790084309767,0.9563253891136846,0.9563349120211424,0.942981447520563,0.9447105133672299,0.9620453918896207,0.9766557152132584,0.9767655238541866,0.9764474651731996,0.962669214843128,0.9794846097026784,0.6359294868802565,0.6363782325862362,0.6308066863256037,0.7167582417582419,0.6295278847181405
I01T-gNSC-vs_r2-In-N14-VS-N70,0.8357891029744361,0.8356879649979353,0.8327767967180238,0.8633981403212173,0.832063902779788,0.8535000323058523,0.8566339307378087,0.8643902057330279,0.8610837438423646,0.8789279723769684,0.9568066664172367,0.9561888804643232,0.9488390059904401,0.9447105133672299,0.9633003984226854,0.9766393548047074,0.9766202998236276,0.9766251785271489,0.962669214843128,0.9815923981040866,0.6356472698327518,0.6342901117796583,0.6338722416812295,0.7167582417582419,0.637379581581209
I01U-gNSC-vs_r1-In-N14-VS-N70,0.9192008333456345,0.9192518984920418,0.8926685099358587,0.8994227994227995,0.8746069063525196,0.9661245808478524,0.9661493624630205,0.965567151271721,0.9364845938375349,0.9598886081126344,0.881285977808002,0.8873581927272064,0.9143046134503894,0.8933947772657449,0.8954780842269029,0.9833077644757534,0.9833199757064159,0.983395407873022,0.9614561766735681,0.9660011029473737,0.5182683953542664,0.5181252885361272,0.5138000674337635,0.6357142857142857,0.5435642792219211
I01U-gNSC-vs_r2-In-N14-VS-N70,0.9280056649099024,0.9280640079056897,0.9320971129807629,0.8994227994227995,0.9075140679786404,0.9654292197356878,0.9654575332483495,0.9714455592642635,0.9364845938375349,0.9628623075795855,0.8646341723786247,0.8624010421372525,0.8885355443336993,0.8933947772657449,0.8949614726443003,0.9833274416088896,0.9833413931948388,0.9833878273806153,0.9614561766735681,0.9689213524901608,0.5315775831510932,0.538232843261808,0.5238953542493576,0.6357142857142857,0.6737378250344115
I02T-gNSC-vs_r1-Tr-N14-VS-N70,0.9775659756492007,0.9761213903869979,0.9066116812183355,0.9164889836531628,0.9023842402106264,0.7067224868414284,0.7007910669558604,0.7564840089367655,0.7675485008818342,0.7414619955607236,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9347455387882497,0.9295273309962999,0.9158511979205387,0.9244491826581379,0.9132229040343649
I02T-gNSC-vs_r2-Tr-N14-VS-N70,0.9724039196328779,0.9756777306752518,0.905531153795056,0.9164889836531628,0.8793905393958288,0.6951329916511899,0.6955686797984284,0.7549132128128915,0.7675485008818342,0.6974376257524979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9290656347453338,0.9263141018908518,0.9147706704972592,0.9244491826581379,0.9091169075550329
I02U-gNSC-vs_r1-Tr-N14-VS-N70,0.9345890125874473,0.9333585710933426,0.8811695115973605,0.913272921108742,0.8663324910087722,0.8848994582863836,0.8838210373978941,0.8646697943757667,0.8880586080586079,0.8433505551553766,0.8768433843428114,0.88538227117272,0.8770911207845431,0.9115201465201463,0.8590755570857844,0.9400160534179032,0.9390905579426105,0.9231778278461206,0.9332282913165266,0.9048458519371345,0.933189918331541,0.9322784675084586,0.9376090865236593,0.9187455579246624,0.9029851625495036
I02U-gNSC-vs_r2-Tr-N14-VS-N70,0.9429186720049886,0.9425338499699576,0.8831433042207535,0.913272921108742,0.8664766339183988,0.9185029770272573,0.9277419106083453,0.8648077370904141,0.8880586080586079,0.8517075482010124,0.8819463589457663,0.885180320645035,0.8787682508076085,0.9115201465201463,0.856602589732256,0.9524060316674454,0.9512920849879802,0.9251075086216172,0.9332282913165266,0.9049405340444384,0.9475832409770821,0.9589457892393641,0.9343131220750478,0.9187455579246624,0.9096957696748481
I03T-gNSC-vs_r1-Di-N14-VS-N70,0.5800815538738319,0.5816856871154044,0.5855753366147347,0.5836146316234003,0.6281158776113914,0.7197137989827068,0.7212338566432973,0.6964686874910868,0.6848581499489428,0.6919869385839414,0.7703778070787095,0.7751643486363974,0.7561648879288132,0.741909201909202,0.7569004601813065,0.8596775174369806,0.8639272093064364,0.8725739818687976,0.7730881942219703,0.9206229767268769,0.7145282545341178,0.7154547573115679,0.7071356131647067,0.685441735418179,0.7838276920127929
I03T-gNSC-vs_r2-Di-N14-VS-N70,0.5704515417568449,0.5748408543843664,0.5953735281640957,0.5836146316234003,0.6090385643868919,0.6853050792074077,0.6869711439708033,0.6907098736337365,0.6848581499489428,0.6595303990307329,0.7689305477905992,0.7686265731030402,0.7508729579712982,0.741909201909202,0.743701725184805,0.8593381707018368,0.863245317980526,0.8873169438877629,0.7730881942219703,0.9232892222961518,0.7100878104379359,0.7129343450174257,0.7476996816028616,0.685441735418179,0.7972194572993441
I03U-gNSC-vs_r1-Di-N14-VS-N70,0.6355129117575931,0.6267385514814597,0.6103803211900334,0.6275695047705918,0.5824153814042239,0.841918795294867,0.8460405860474556,0.8105181591689853,0.7912761117859961,0.7971041778603234,0.6133683064392661,0.6166457623974844,0.6646113526135695,0.6579381556544186,0.6715352983971022,0.8095321608027963,0.8139267440924994,0.792453910411064,0.7308583591874481,0.7809054859402329,0.6283421364354694,0.6236150464072384,0.5905500895588696,0.618201072040586,0.5790795462918183
I03U-gNSC-vs_r2-Di-N14-VS-N70,0.5967427863893344,0.5944358196401234,0.6087910063155855,0.6275695047705918,0.5622000316968563,0.8283565244967412,0.8366298589511094,0.8093661879339284,0.7912761117859961,0.7867188586675675,0.6228306534005532,0.6278600254000181,0.6667181907141675,0.6579381556544186,0.6704647209154488,0.8098578269724523,0.8121398795967409,0.7997798001024192,0.7308583591874481,0.7729650846585773,0.5913196338127029,0.5915740120222897,0.5882052754996396,0.618201072040586,0.5603152690059721
I04T-gNSC-vs_r1-In-N14-VS-N70,0.7005922575800393,0.700584997990237,0.6244402934897816,0.5952893765895609,0.5360454577541186,0.6992177756909155,0.6999109482590881,0.7313373592659792,0.6679232135501095,0.6363095132003612,0.7016453834431482,0.7040136560599225,0.6775166721430101,0.6567765567765567,0.6494761990217184,0.8869639474186413,0.8866249060168876,0.8551124753411066,0.8192026814028995,0.8323711532507018,0.8282780383464494,0.8284372185483482,0.8071254348296947,0.7750873083177626,0.7551020219381985
I04T-gNSC-vs_r2-In-N14-VS-N70,0.6553171474957099,0.6329667145733294,0.6159781252379752,0.5952893765895609,0.5388161440040946,0.7056285504067106,0.736197917164671,0.7302380869395756,0.6679232135501095,0.6415958508742429,0.6962276392100539,0.697209262822551,0.6990445745538973,0.6567765567765567,0.6638624648198681,0.8705485340874668,0.8596772510467203,0.843051600148019,0.8192026814028995,0.8340315823993366,0.8022075537902497,0.8093200587464157,0.7955465696745609,0.7750873083177626,0.7559586684839038
I04U-gNSC-vs_r1-In-N14-VS-N70,0.8236602512286736,0.8092520773633173,0.8045412917713188,0.7963216672894091,0.7532656906353183,0.6094241892631185,0.6524312717399896,0.6654521073207166,0.5919642857142857,0.643132432228464,0.6622781177704187,0.6963162711712829,0.7268603516248101,0.7226351351351351,0.7485416859641032,0.9800415000823709,0.9783009783215302,0.9740347481971998,0.9590071437897524,0.9633160928117493,0.9800415000823709,0.9783009783215302,0.9740347481971998,0.9590071437897524,0.9633160928117493
I04U-gNSC-vs_r2-In-N14-VS-N70,0.8977268408508743,0.8931319265208658,0.8221904862699755,0.7963216672894091,0.7668009691527176,0.5788125941805007,0.6163753606540955,0.6375412296684145,0.5919642857142857,0.6156547993769245,0.6532021834558317,0.6713981874919347,0.6728276177392059,0.7226351351351351,0.7159765128624371,0.9822983736038561,0.9800280402202727,0.9762436232716625,0.9590071437897524,0.9603524259970829,0.9822983736038561,0.9800280402202727,0.9762436232716625,0.9590071437897524,0.9603524259970829
I05T-gNSC-vs_r1-Di-N14-VS-N70,0.8317851696381051,0.8248897179312523,0.808568687189688,0.828961292119187,0.7831702892834153,0.8036682044671077,0.8051589667229101,0.8584028806010469,0.8858395989974939,0.8697546575389732,0.813252140457293,0.8070557625249457,0.7808987269995558,0.8538018433179724,0.7878318172062213,0.9054780462677579,0.9012944162541826,0.8713417532981029,0.8715153267784845,0.8848230589480606,0.9529169548680251,0.9529701231820656,0.958282424748518,0.9574352548036759,0.9577837647923091
I05T-gNSC-vs_r2-Di-N14-VS-N70,0.8111585060224549,0.8100411508678325,0.7928358122014088,0.828961292119187,0.8113621431810536,0.8097246127527098,0.8050208639917272,0.862544454682231,0.8858395989974939,0.8627955200179707,0.8001946997141224,0.7962418697795254,0.773354251770626,0.8538018433179724,0.7848721304726904,0.8736802190896684,0.8710596437809788,0.86831707800231,0.8715153267784845,0.897951975963845,0.9528812891040644,0.9528840168950721,0.9461739878303701,0.9574352548036759,0.9645437993590856
I05U-gNSC-vs_r1-Di-N14-VS-N70,0.8181959576734055,0.8178968513342455,0.7625609991311693,0.81687058987818,0.7360220091751449,0.9312427140922885,0.9371663078741741,0.933297403470803,0.9281359309893112,0.9375091123057585,0.7980948466592146,0.802755134574247,0.8470932807473874,0.8682539682539683,0.8482554909392309,0.891765753579518,0.8917723335205759,0.8797625610439691,0.8806092501279666,0.8617471829628688,0.917018815212549,0.9170236765122858,0.9093605763587633,0.9159393381957035,0.9089380769127299
I05U-gNSC-vs_r2-Di-N14-VS-N70,0.8128694030048751,0.8155547632413888,0.7656557026743108,0.81687058987818,0.8319344707997307,0.9331921987130505,0.9368649640783893,0.9405238333656402,0.9281359309893112,0.9398970498405788,0.8040938855870606,0.809473184291797,0.8642015950460921,0.8682539682539683,0.8699390162384776,0.8836842965967022,0.8850938235449879,0.8799087893381772,0.8806092501279666,0.9143997950463858,0.9109610035582437,0.9094656037668523,0.906404497921001,0.9159393381957035,0.9061474374693314
I06T-gNSC-vs_r1-Tr-N14-VS-N70,0.7365581257291076,0.7352872766123107,0.7355016507225176,0.7523418710918711,0.7197510951046008,0.7505599373051873,0.750082741904473,0.7247720134444545,0.7856042262821923,0.7818100982865187,0.6144458394178764,0.6175639510306687,0.6356763645927644,0.6795918367346939,0.6391648285744602,0.931685813594384,0.9340498590810281,0.9298671846718286,0.9007196162046909,0.924388927879668,0.9772226112973466,0.9790802316415085,0.9859087137855337,0.9533437375828682,0.9750020475840552
I06T-gNSC-vs_r2-Tr-N14-VS-N70,0.7331776778171972,0.7289520751199525,0.7328098662614387,0.7523418710918711,0.731167093742745,0.7411101220922244,0.7425272684021178,0.7298904251956687,0.7856042262821923,0.8038026344140685,0.6285580125699917,0.6372225843228786,0.6476127523928673,0.6795918367346939,0.6592961617697661,0.9422474137216286,0.9412231522466387,0.9288068008642105,0.9007196162046909,0.9370203686876971,0.9905412783356304,0.9920226210292297,0.9859061394154971,0.9533437375828682,0.9790225775103822
I06U-gNSC-vs_r1-Tr-N14-VS-N70,0.589747427622345,0.5914621574068909,0.6809885613577442,0.5651138548489524,0.6237408796269707,0.7198864037508371,0.722113907884796,0.7747071723321532,0.7064905434229641,0.7484694148969809,0.650565847367711,0.6606952658657432,0.6728723849842522,0.5660094465754136,0.6136706802399343,0.8093109930663515,0.8099618269669456,0.8103316675778256,0.7534336536952732,0.7637575228783592,0.8373839010072288,0.8373367196923215,0.8412254926128329,0.758621068433786,0.8222403074381642
I06U-gNSC-vs_r2-Tr-N14-VS-N70,0.5733076976816047,0.5660986477155334,0.7178894237791267,0.5651138548489524,0.6350684427564224,0.692904167794165,0.688473043195746,0.7780109512321498,0.7064905434229641,0.754058715042236,0.6104533859189795,0.6262427125181106,0.6604985798600533,0.5660094465754136,0.5980468829949946,0.8259219589660227,0.8183052896211347,0.825735184380777,0.7534336536952732,0.7631068691460363,0.8460793425305362,0.8388523880266197,0.8634159828578949,0.758621068433786,0.8237254400275613
