Source,Core_Anno_AP,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_BERT_AP,Answer_Anno_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_BERT_AP,Gramm_Anno_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_BERT_AP,Interp_Anno_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_BERT_AP,Verif_Anno_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_BERT_AP
I01T-gNSC-vs_r1-In-N50-VS-N70,0.8633981403212173,0.8357513955837876,0.8303294075662072,0.8250168533999068,0.8307941164003797,0.8610837438423646,0.8532357503478584,0.8585529770218676,0.8548089824544284,0.8513200376290212,0.9447105133672299,0.956799350057857,0.9520818026131607,0.9392603728115486,0.9646421613636419,0.962669214843128,0.9766322505137157,0.9730020208872151,0.9728292622347651,0.9820061104962929,0.7167582417582419,0.6358340111959638,0.6343748001265418,0.6308926856376091,0.6302366585620564
I01T-gNSC-vs_r2-In-N50-VS-N70,0.8633981403212173,0.8363144220745948,0.8361305628266251,0.8321968651357383,0.8333827708072441,0.8610837438423646,0.8521529795076789,0.8563630555371113,0.8972735556940549,0.8832750027132674,0.9447105133672299,0.9376613563363946,0.9375228786918383,0.9486239294148714,0.9699070538536892,0.962669214843128,0.9585326688932811,0.958498028745113,0.9773440734050204,0.9803916051237521,0.7167582417582419,0.6361162282434685,0.63401086764807,0.6462731783245161,0.6455214221509606
I01U-gNSC-vs_r1-In-N50-VS-N70,0.8994227994227995,0.9085055769390483,0.9111514639907213,0.8946021519974392,0.8645850914273174,0.9364845938375349,0.9591000791767328,0.9620617812153345,0.96773291485036,0.9599170844607608,0.8933947772657449,0.8739955642612448,0.8776991105133936,0.8976924441346694,0.8909564072910859,0.9614561766735681,0.9832974498121473,0.9833046037389072,0.9812178625604653,0.9660249470773066,0.6357142857142857,0.5236808811310949,0.5239834607070754,0.5152739880076712,0.5455497382085708
I01U-gNSC-vs_r2-In-N50-VS-N70,0.8994227994227995,0.9036089442255042,0.8997781860165982,0.8760858249042041,0.8628229282545818,0.9364845938375349,0.9638009780069247,0.963722873230601,0.9706801331302242,0.9571853614629072,0.8933947772657449,0.883602919822376,0.9002821615650378,0.9117754167724907,0.8779301874248622,0.9614561766735681,0.9833090843403898,0.9832705979288682,0.9826655953173274,0.9636226877358472,0.6357142857142857,0.5166702345609574,0.513295675762353,0.5140764580309314,0.5360697268928087
I02T-gNSC-vs_r1-Tr-N50-VS-N70,0.9164889836531628,0.9698679010974417,0.975611035494558,0.9088656436215713,0.9018989755579625,0.7675485008818342,0.7094740962630208,0.7132137782503296,0.753121959553648,0.7298759396775318,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9244491826581379,0.9437968842289745,0.9453065485008403,0.9181051603237745,0.9141887173253161
I02T-gNSC-vs_r2-Tr-N50-VS-N70,0.9164889836531628,0.9751428930905299,0.9759691507256725,0.9048525271301702,0.8986150691994563,0.7675485008818342,0.699538002996026,0.7025717792928259,0.760110022240638,0.7298651951493227,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9244491826581379,0.9376993031333218,0.9375704467201126,0.9140920438323734,0.912943858155111
I02U-gNSC-vs_r1-Tr-N50-VS-N70,0.913272921108742,0.9380230112857489,0.9369563531752734,0.8803256628443824,0.8663619760813738,0.8880586080586079,0.8920627270074726,0.8954792436682035,0.8629465042440323,0.8438903608718183,0.9115201465201463,0.8684794161504061,0.8742366800598176,0.8762976700441865,0.8611757949574481,0.9332282913165266,0.9455154308619511,0.9447931582056004,0.9222733949817694,0.9048652195828633,0.9187455579246624,0.9357644997764547,0.936874112643143,0.9366911546613328,0.9103895695492659
I02U-gNSC-vs_r2-Tr-N50-VS-N70,0.913272921108742,0.9254019632496416,0.924317212333185,0.8811695115973605,0.8664367143958697,0.8880586080586079,0.8734708860583236,0.8746066766568832,0.8637399549843889,0.8434029732723533,0.9115201465201463,0.8625555778436842,0.8721206985908233,0.8767142754076975,0.859642498677347,0.9332282913165266,0.9330804012948437,0.9323335971906419,0.9231778278461206,0.904914312397287,0.9187455579246624,0.9335416852779398,0.9340875222840685,0.9376090865236593,0.9039019440252786
I03T-gNSC-vs_r1-Di-N50-VS-N70,0.5836146316234003,0.5716820470370834,0.5765408665379977,0.5941145974096347,0.6201705720661408,0.6848581499489428,0.7146667509915899,0.716847147096666,0.6949697634132155,0.6790775367949184,0.741909201909202,0.7733269287817689,0.7737745414157958,0.7565265998948032,0.7517674134134475,0.7730881942219703,0.8371532178756655,0.8451758691075276,0.8859724036400846,0.912908624460698,0.685441735418179,0.6945694017545873,0.697087821995502,0.7176311917717404,0.7814992229524125
I03T-gNSC-vs_r2-Di-N50-VS-N70,0.5836146316234003,0.5789909289601186,0.5851879366000934,0.5870830004557529,0.6172156004720492,0.6848581499489428,0.7218012097855955,0.721109142765339,0.6944289674736049,0.6731249532662207,0.741909201909202,0.7657015721604853,0.7660524752461988,0.7550703288930778,0.7449256649932688,0.7730881942219703,0.8450212430488236,0.8567624584774026,0.8776646719452561,0.9138037687438326,0.685441735418179,0.6898716617705989,0.6943801295428487,0.7071504532358028,0.7806477682575377
I03U-gNSC-vs_r1-Di-N50-VS-N70,0.6275695047705918,0.5903554580497301,0.5878799501000195,0.6017723313554056,0.5595398543381093,0.7912761117859961,0.8064847873391661,0.8116746077165359,0.7939844821752482,0.778804710049823,0.6579381556544186,0.613294930857941,0.616343626914557,0.6748058302129157,0.6527810834998579,0.7308583591874481,0.7908877595016363,0.7963629903176673,0.824268987114601,0.7681167424426177,0.618201072040586,0.5894591565704609,0.5871105471698769,0.580879903682495,0.5617508807745342
I03U-gNSC-vs_r2-Di-N50-VS-N70,0.6275695047705918,0.5831265430200179,0.582329138491726,0.6122661857374593,0.5585481015906473,0.7912761117859961,0.7895580692304238,0.8034721398522567,0.7909253711148176,0.7800352564902454,0.6579381556544186,0.6082350386809219,0.6163894182227588,0.6767867985023611,0.6515339113728031,0.7308583591874481,0.7689694047365491,0.7719316291521808,0.8177314415339021,0.7641725446490039,0.618201072040586,0.5814364951353448,0.5855432444993134,0.5967250271350326,0.5597189295101089
