BQ01,BQ02,BQ03,BQ04,BQ05,BQ06,BQ07,BQ08,BQ09,BQ10,BQ11,I01T-1,I01T-2,I02T-1,I02T-2,I03T-1,I03T-2,I04T-1,I04T-2,I05T-1,I05T-2,I06T-1,I06T-2,I07T-1,I07T-2,I08T-1,I08T-2,I09T-1,I09T-2,I10T-1,I10T-2,I11T-1,I11T-2,I12T-1,I12T-2,I13T-1,I13T-2,I14T-1,I14T-2,I15T-1,I15T-2,I16T-1,I16T-2,I17T-1,I17T-2,I18T-1,I18T-2,I19T-1,I19T-2,I20T-1,I20T-2,I21T-1,I21T-2,I22T-1,I22T-2,I23T-1,I23T-2,I24T-1,I24T-2,I25T-1,I25T-2,I26T-1,I26T-2,I27T-1,I27T-2,I28T-1,I28T-2,I29T-1,I29T-2,I30T-1,I30T-2,I01U-1,I01U-2,I02U-1,I02U-2,I03U-1,I03U-2,I04U-1,I04U-2,I05U-1,I05U-2,I06U-1,I06U-2,I07U-1,I07U-2,I08U-1,I08U-2,I09U-1,I09U-2,I10U-1,I10U-2,I11U-1,I11U-2,I12U-1,I12U-2,I13U-1,I13U-2,I14U-1,I14U-2,I15U-1,I15U-2,I16U-1,I16U-2,I17U-1,I17U-2,I18U-1,I18U-2,I19U-1,I19U-2,I20U-1,I20U-2,I21U-1,I21U-2,I22U-1,I22U-2,I23U-1,I23U-2,I24U-1,I24U-2,I25U-1,I25U-2,I26U-1,I26U-2,I27U-1,I27U-2,I28U-1,I28U-2,I29U-1,I29U-2,I30U-1,I30U-2
RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,Yrs Eng,Eng residence,What is the boy doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the teacher doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the bird doing?,Your second sentence:,What is the waiter doing?,Your second sentence:,What is the girl doing?,Your second sentence:,What is the baby doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the woman doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the frog doing?,Your second sentence:,What is the girl doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the woman doing?,Your second sentence:,What is the girl doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the woman doing?,Your second sentence:,What is the doctor doing?,Your second sentence:,What is the boy doing?,Your second sentence:,What is the dog doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the girl doing?,Your second sentence:,What is the man doing?,Your second sentence:,What is the woman doing?,Your second sentence:,What is the woman doing?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:,What is happening?,Your second sentence:
5116683677,no,NNSv1,No,Chinese,0,China,18,female,10 yrs+,na,The boy is dancing.,0,The kid is eating the pizza.,0,The man is delivering the package to the woman.,0,The boy is stretching.,0,The teacher is teaching math.,0,The boy holding a package of fruit.,0,The bird is flying.,0,The waiter is holding a dish.,0,The girl is riding a horse.,0,The baby is crying.,0,The boy is asking a question to the man.,0,The woman is cutting a piece of paper.,0,The man is swimming. ,0,The man is giving the key to the woman.,0,The man is planting.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The frog is catching an insect.,0,The girl is feeding a horse.,0,The man is coughing.,0,The woman is taking a picture.,0,The girl is laughing.,0,The two kids are playing a ball.,0,The woman is reporting the weather condition.,0,The girl is getting shot from the doctor.,0,The boy is sleeping.,0,The dog is chasing another dog.,0,The men is reading a book for the girl.,0,The girl is singing.,0,The man is pointing out direction for the woman.,0,The woman is hugging a cute dog.,0,The woman is running.,0
5116684016,no,NNSv1,No,Chinese,0,China,19,female,5-6 yrs,"USA, 3 yrs",The boy is dancing.,0,The boy is eating.,0,The man is handing package to the woman.,0,The boy is starching.,0,The teacher is pointing the numbers.,0,The boy is carrying a bag of fruits.,0,The bird is flying.,0,The waiter is handing the food.,0,The girl is riding the horse.,0,The baby is crying.,0,The boy is questioning.,0,The woman is cutting.,0,The man is swimming.,0,The man is handing the key to the woman.,0,The man is planting.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The frog is eating the fly.,0,The girl is feeding the horse.,0,The man is coughing.,0,The woman is taking the picture.,0,The girl is laughing. ,0,Two children is playing the ball.,0,The woman is broadcasting the weather.,0,The doctor is giving a shoot to a girl.,0,the boy is yawning.,0,The black and white dog is chasing the yellow dog.,0,The man is reading a book with a girl.,0,The girl is singing.,0,The girl is asking the route.,0,the woman is hugging a cat.,0,The woman is running.,0
5116684093,no,NNSv1,No,Chinese,0,China,18,female,4-5 yrs,"USA, 1 year",he is singing and dancing,0,he is eating the pizza,0,he is passing the box to the girl,0,he is getting up,0,she is teaching math,0,he is laughing,0,the bird is flipping the wings,0,he is passing the chicken to the customer,0,she is riding horse,0,the baby is crying,0,he is asking the question,0,she is cutting paper,0,he is swimming ,0,he is buying the car,0,he is planting trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the frog is hunting,0,the horse is eating,0,the man is coughing,0,the girl is taking the picture,0,the girl is laughing,0,they are playing the ball ,0,she is hosting the weather forecast,0,the doctor is giving the injection,0,the boy is going to sleep,0,he dog is pursuing the cat,0,the father is telling the story ,0,she is singing,0,the girl is asking the direction,0,she is laughing ,0,she is running,0
5116818520,no,NNSv1,No,Thai,0,Thailand,18,male,4-5 yrs,na,The boy is dancing.,0,The boy is eating a pizza.,0,He is handing a package.,0,The boy is waking up.,0,She is teaching.,0,The boy is holding a bag.,0,The bird is flying.,0,The waiter is serving. ,0,The girl is riding a horse.,0,The baby is crying.,0,The boy is asking.,0,The woman is cutting a paper.,0,The man is swimming. ,0,The man is selling a car.,0,The man is digging up a tree.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The frog is catching a fly with its tongue.,0,The girl is feeding the horse with a carrot.,0,The man is coughing. ,0,The woman is taking a photo.,0,The girl is laughing. ,0,The children are passing the ball.,0,The woman is forecasting the weather.,0,The girl is getting an injection from a doctor.,0,The boy is yawning.,0,The dog is chasing a cat.,0,The father is reading her daughter a book.,0,The girl is singing.,0,The man is giving a direction to a woman.,0,The woman is hugging a dog.,0,The woman is jogging.,0
5116852624,no,NNSv1,No,Chinese,0,China,19,male,3-4 yrs,"USA, 1 year",The boy is dancing,0,The boy is eating pizza,0,the woman get a package,0,the boy is wake up,0,She is teaching the calculate,0,The boy bought a lots of fruits,0,The bird is flying,0,The waiter is serving ,0,The girl is riding on the horse,0,The baby is crying,0,The boy is asking questions,0,the woman is cutting the paper,0,the man is swimming ,0,the man is selling the red car,0,the man is planting ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the frog is eating the fly,0,the girl is feeding the horse,0,the man is coughing,0,the man is taking the photo,0,the girl is laughing ,0,the boy is playing the ball with girl,0,the woman is introduce the weather,0,the doctor is injection to his patient ,0,the boy was sleeping ,0,the dog is chasing the cat,0,the father is reading the story to his daughter,0,the girl is singing song,0,the man is giving direction to tourist ,0,the woman is hugging a dog,0,the girl is running ,0
5116920410,no,NNSv1,No,"Korean, English",0,South Korea,19,male,5-6 yrs,"USA, 2 yrs; Singapore 2.5 yrs",A boy is dancing along with music ,0,A boy is trying to eat a pizza,0,The man is handing a package to his client,0,The boy is stretching after he woke up,0,The teacher is teaching addition to a student,0,The boy is holding his groceries ,0,The bird is flying ,0,The waiter is serving a chicken to a woman,0,The girl is riding a horse,0,The baby is crying,0,The boy is questioning to an adult ,0,The woman is cutting a paper with scissor ,0,The man is swimming,0,The man parked someone else's car for money,0,The man is planting a tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A frog is truing to eat a fly,0,A girl is feeding her horse a carrot ,0,A man is coughing,0,A woman is taking a picture with her camera,0,A girl is giggling ,0,A boy and a girl are playing with a ball ,0,A woman is forecasting weather,0,A girl is about to get a shot by the doctor,0,A boy is about to sleep ,0,A dog is chasing a cat,0,A father is reading a book for his daughter,0,A girl is singing,0,A man is helping a tourist to get to her destination,0,A woman is strolling her dog,0,A woman is running ,0
5117046222,no,NNSv1,No,Chinese,0,China,18,female,3-4 yrs,na,The boy is dancing.,0,The boy is eating pizza.,0,The woman is receiving a package.,0,The boy just woke up.,0,The teacher is teaching math.,0,The boy is carrying a bag of fruits.,0,The bird is flying in the sky.,0,The waiter is offering the woman a turkey leg.,0,The girl is riding a horse.,0,The baby is crying.,0,The boy is asking questions.,0,The girl is cutting a paper.,0,The man is swimming.,0,The man is asking the woman to help him to park the car.,0,The man is planting a tree.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The frog is eating a mosquitos on the lake.,0,The girl is feeding the horse with a carrot.,0,The man is coughing.,0,The girl is taking a photo.,0,The girl is laughing.,0,Two kids are playing balls together on the playground.,0,The weather reporter is telling us that tomorrow is cloudy.,0,The girl is preparing to get vaccine. ,0,The boy is preparing to sleep.,0,The dog is catching the cat.,0,Father is reading his daughter a story.,0,The girl is singing.,0,The girl is asking the man to help her to find a place.,0,The girl and the dog are laughing happily.,0,The girl is running.,0
5117046245,no,NNSv1,No,Chinese,0,Beijing,18,female,4-5 yrs,na,He is dancing.,0,He is eating a pizza.,0,He is sending a box to a woman.,0,He is just weak up.,0,The teacher is teaching a Math class.,0,"He has already buy some fruit, and bring it to home.",0,The bird is flying.,0,He is take a turkey to a women. ,0,She is riding a hourse.,0,The baby is crying.,0,He is asking a question to his father.,0,She is cutting a paper.,0,He is swimming.,0,The man is buying a car.,0,He is plant a tree.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The fog is eating something.,0,The girl is feeding the horse. ,0,He is have a ill.,0,The woman is taking a picture.,0,She is laughing.,0,The girl is playing a ball game with a boy.,0,She is report the weather.,0,The doctor is helping the girl to fix her ill.,0,The boy is sleeping in his bed.,0,A dog is catching a cat.,0,The girl is reading a book with her father.,0,The girl is singing a song.,0,The man and a woman is looking a map.,0,The woman gives a huge to her dog.,0,The woman is running.,0
5117049359,no,NNSv1,No,Chinese,0,China,18,female,8-10 yrs,"USA, 0.5 yrs",The boy is singing and dancing.,0,The boy is eating a piece of pizza.,0,The deliver is handing the package to the woman. ,0,"The boy is getting up in the morning, when the clock is ringing. ",0,The teacher is teaching simple Math problem in the classroom. ,0,"The boy is holding a package, which contains many fruits. ",0,The bird is flying in the sky. ,0,The waiter is holding a chicken and giving it to the woman. ,0,The girl is riding a house in the grass.,0,The baby is crying sadly. ,0,The boy is asking his teacher a question. ,0,The woman is cutting a paper with a red sizzler. ,0,The man is swimming. ,0,The man is selling a red car and getting the money in the exchange of the key of the car. ,0,The man is planting the tree. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The frog is eating a insect with his tongue. ,0,The girl is feeding the house a carrot. ,0,The man is sneezing. ,0,The woman is taking a photo. ,0,The girl is laughing. ,0,A girl and a boy are playing a ball in the grass.,0,The women is reporting the weather. ,0,The girl is ready for the injection and she feels nervous. ,0,The boy feels sleepy and he is going to sleep. ,0,The white animal is catching up to a yellow animal. ,0,The man is reading a story book for his daughter in the sofa. ,0,The girl is singing and dancing. ,0,The man is telling the way to the woman who gets lost and holds a map.,0,The woman is holding her cute dog. ,0,The woman is running.,0
