Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p
I01T-gNSF-r2-In-F14-VS-N70-W,0.8291866792009038,7.676658882272807e-19,0.8360780128137366,2.1338951886002319e-19,0.409602561279265,0.0004297423102181651
I01U-gNSF-r2-In-F14-VS-N70-W,0.6699750596657373,2.2565308944088405e-10,0.6670532495602591,2.8808626266297747e-10,0.5717392287807239,2.3438935637924335e-07
I02T-gNSF-r2-Tr-F14-VS-N70-W,0.06447961693853177,0.5958942842151594,0.07801436190531554,0.5209109213368313,0.23583546280832202,0.04936421226342797
I02U-gNSF-r2-Tr-F14-VS-N70-W,0.18950910022351827,0.11611917822799313,0.10768108243025759,0.37492466716396966,0.3213090375886007,0.006684185918638152
I03T-gNSF-r2-Di-F14-VS-N70-W,0.16540632180985734,0.1711814612652115,0.19379344479897648,0.10794964777113514,0.16103476460547947,0.18293755677917187
I03U-gNSF-r2-Di-F14-VS-N70-W,0.5300632855233464,2.3689241776188366e-06,0.5117028898562496,5.972401048827592e-06,0.34221790550368303,0.003734597650441881
I04T-gNSF-r2-In-F14-VS-N70-W,-0.0030109381212807297,0.9802641231229634,0.0021768681328489165,0.9857305449238355,0.4690763700700314,4.2039831245505115e-05
I04U-gNSF-r2-In-F14-VS-N70-W,-0.0643130867767295,0.5968460611011474,0.06162346408649359,0.6123108690335889,0.3588642926548439,0.002282893131556416
I05T-gNSF-r2-Di-F14-VS-N70-W,0.6424399499063317,2.033923443078773e-09,0.667497726870169,2.776267785760523e-10,0.7161147784343541,3.1976020491734337e-12
I05U-gNSF-r2-Di-F14-VS-N70-W,0.26387506918681186,0.027295425997477012,0.25377436000481673,0.034019976595851556,0.3391699481533866,0.004075359859320619
I06T-gNSF-r2-Tr-F14-VS-N70-W,0.47563378791761796,3.1660452363548975e-05,0.4456544382352543,0.00011055717807149526,0.48875417048811975,1.763766633013452e-05
I06U-gNSF-r2-Tr-F14-VS-N70-W,0.23353781614246524,0.05168678226122678,0.24668974494827312,0.039520461954956385,0.3048081607228198,0.010298052155625362
I07T-gNSF-r2-In-F14-VS-N70-W,0.5208655884573945,3.79019149911762e-06,0.5208655884573945,3.79019149911762e-06,0.5145359533149645,5.196340823808107e-06
I07U-gNSF-r2-In-F14-VS-N70-W,0.5806798043698982,1.3675461397096687e-07,0.5806798043698982,1.3675461397096687e-07,0.5529673471484131,6.907532670435018e-07
I08T-gNSF-r2-Di-F14-VS-N70-W,0.3218780447148354,0.006582533327520671,0.31562117464409667,0.0077786130923079766,0.18816364387311965,0.11878038621858027
I08U-gNSF-r2-Di-F14-VS-N70-W,0.18406331125708963,0.12717918496286398,0.19750223758812468,0.10124322504833941,0.3576181539866604,0.002370732680206117
I09T-gNSF-r2-Tr-F14-VS-N70-W,0.6945179258362172,2.5885863791926563e-11,0.715889360387231,3.2714066229902893e-12,0.7756542012296395,3.1608091218815866e-15
I09U-gNSF-r2-Tr-F14-VS-N70-W,0.5810830726511207,1.3342038308223647e-07,0.5795598112045167,1.4643277118215006e-07,0.2191830273293551,0.06829816238965235
I10T-gNSF-r2-In-F14-VS-N70-W,0.628800694849885,5.5808266070621966e-09,0.6362924264797667,3.225421398053226e-09,0.6109098758794612,1.951494446068448e-08
I10U-gNSF-r2-In-F14-VS-N70-W,0.4394663204341385,0.00014110189718852885,0.44157346767016054,0.00012992254632199202,0.45896996202182255,6.435836433202296e-05
I11T-gNSF-r2-Di-F14-VS-N70-W,0.17810721154883577,0.14017396812438732,0.2732840916041931,0.0220763517995543,0.12667726157922238,0.2960269230336851
I11U-gNSF-r2-Di-F14-VS-N70-W,0.026443005018906913,0.8279804219169511,0.08841445864161149,0.46671381577858395,0.04607152407082052,0.7048937746333539
I12T-gNSF-r2-Tr-F14-VS-N70-W,0.37043169257064607,0.0015964372109782594,0.38495127662983586,0.0009999739756436107,0.144273621811182,0.23342146479106915
I12U-gNSF-r2-Tr-F14-VS-N70-W,0.4389068489467911,0.00014421543290466467,0.43767814617342904,0.00015127652672192329,0.29453556256238894,0.01332133054176043
I13T-gNSF-r2-In-F14-VS-N70-W,0.4001841901905676,0.0005979688230429507,0.4001841901905676,0.0005979688230429507,0.404376288879107,0.0005168196980877554
I13U-gNSF-r2-In-F14-VS-N70-W,0.30514290602481825,0.010210514587874302,0.30514290602481825,0.010210514587874302,0.26542016086182413,0.026373045712157046
I14T-gNSF-r2-Di-F14-VS-N70-W,0.18496731957165038,0.12528973345437944,0.166860739199392,0.16739557744625266,-0.1799662856196652,0.13601501223512458
I14U-gNSF-r2-Di-F14-VS-N70-W,0.25134623854639937,0.0358282418048144,0.3379480111445155,0.004219540320181837,0.40298906104720966,0.0005424885988508174
I15T-gNSF-r2-Tr-F14-VS-N70-W,0.7030468498232219,1.158940697930035e-11,0.7038601975479225,1.0718580703823023e-11,0.7402992678728761,2.4154902040723344e-13
I15U-gNSF-r2-Tr-F14-VS-N70-W,0.48814817674756256,1.813037776159831e-05,0.4933564567390971,1.4283079602196586e-05,0.2829006218682983,0.01764448842510771
I16T-gNSF-r2-Tr-F14-VS-N70-W,0.19760009956676605,0.10107076478938613,0.2651790366988412,0.026515232514372315,0.3281656148928256,0.005546561310558171
I16U-gNSF-r2-Tr-F14-VS-N70-W,0.33454276404489514,0.004645484553494622,0.3834639006403506,0.0010500953943918092,0.4660227763802764,4.7879990764937906e-05
I17T-gNSF-r2-Di-F14-VS-N70-W,0.47105734811401634,3.8612151231748786e-05,0.5044212302338832,8.493071411742428e-06,0.3036700227454227,0.01060058398176637
I17U-gNSF-r2-Di-F14-VS-N70-W,0.2695689795208035,0.024025635667587076,0.37324935625957406,0.0014603190842217627,0.3274001780890425,0.005664463327445823
I18T-gNSF-r2-In-F14-VS-N70-W,0.8239957166739067,1.9403351293106796e-18,0.8210863662869748,3.2200720321600696e-18,0.8438705671739306,4.6629032028721144e-20
