Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p,BERT_spear,BERT_p
I01T-gNSF-r2-In-F14-VS-N70-W,0.7859722654697061,7.667320546877952e-16,0.7840633835018235,1.0022455310070396e-15,0.3928105961571772,0.0007693075569438942,0.6082737630851716,2.3315020961301527e-08
I01U-gNSF-r2-In-F14-VS-N70-W,0.6542853396472793,8.119788849205383e-10,0.6636111171072302,3.828144012183833e-10,0.5581306784089611,5.165137884489879e-07,0.5868308650655584,9.350746396966441e-08
I02T-gNSF-r2-Tr-F14-VS-N70-W,-0.0069856748215658074,0.9542308139422474,0.00013787516095195674,0.9990961760483488,0.23250347975198304,0.05276113287997816,0.310300218706737,0.008941425578830271
I02U-gNSF-r2-Tr-F14-VS-N70-W,0.2776869935416554,0.01994188593881346,0.33310963355617296,0.004835840826159072,0.35185780849609444,0.002817349578430493,0.5060651011631648,7.849634858333332e-06
I03T-gNSF-r2-Di-F14-VS-N70-W,0.16497307441188142,0.17232123970855778,0.24303295342111145,0.04263665240006447,0.18424155253318453,0.12680494067849096,0.44139988758921517,0.0001308116574472406
I03U-gNSF-r2-Di-F14-VS-N70-W,0.4609204427353927,5.9342019102323315e-05,0.3890073009133815,0.000874103213832004,0.3410906803794804,0.003857552100780085,0.565179213968845,3.445638708413047e-07
I04T-gNSF-r2-In-F14-VS-N70-W,0.27125650363706816,0.02312283588596372,0.34800865217144683,0.0031562263010123225,-0.032052977528664886,0.7922319207655971,0.5815453809350988,1.2969258482634718e-07
I04U-gNSF-r2-In-F14-VS-N70-W,0.048831062934843635,0.6881010727382626,0.046902798836305916,0.6998199362733077,0.3403934708854207,0.003935389045548824,0.4118339116830895,0.0003968238346836233
I05T-gNSF-r2-Di-F14-VS-N70-W,0.6468353878988846,1.4533878123449709e-09,0.6649409485417834,3.43146790992251e-10,0.7146572238668755,3.704550771787707e-12,0.673422108517626,1.6855876097183805e-10
I05U-gNSF-r2-Di-F14-VS-N70-W,0.3796115722727058,0.0011906461598251733,0.2590164675817275,0.030375088941296983,0.3513629402522048,0.0028590154155243176,0.46179696705764767,5.720777244286396e-05
I06T-gNSF-r2-Tr-F14-VS-N70-W,0.2577683436527793,0.031211733971702488,0.2547860185076292,0.03328941918264453,0.4623692341928447,5.5852945060923704e-05,0.5592335895963721,4.851089276451781e-07
I06U-gNSF-r2-Tr-F14-VS-N70-W,0.273704025307017,0.02186472499636964,0.2812636519751753,0.018340064195546457,0.3102895358200578,0.008943905048814508,0.2557968609803363,0.03257260590449596
I07T-gNSF-r2-In-F14-VS-N70-W,0.5211284232697696,3.7403397091299683e-06,0.5211284232697696,3.7403397091299683e-06,0.4950577910026922,1.3201313323812387e-05,0.544586075957331,1.0959281698054694e-06
I07U-gNSF-r2-In-F14-VS-N70-W,0.5817308781405559,1.2822470135390807e-07,0.5817308781405559,1.2822470135390807e-07,0.5442254896900168,1.1175962455497713e-06,0.5353535648618661,1.7964185427010985e-06
I08T-gNSF-r2-Di-F14-VS-N70-W,0.3271489837441244,0.005703634143833239,0.33858199178247417,0.004144179907908132,0.2726619169957891,0.022393099436958497,0.3899550762542217,0.0008468433721780994
I08U-gNSF-r2-Di-F14-VS-N70-W,0.2017967705203563,0.093888040776555,0.1965952026153689,0.1028526000891078,0.3937483044230747,0.0007452878415265447,0.3608942997997985,0.0021460265451470986
I09T-gNSF-r2-Tr-F14-VS-N70-W,0.7240244667552678,1.4156226415190314e-12,0.7475437841757304,1.0533235660745966e-13,0.7756273526937714,3.1721693472683713e-15,0.7243464579070941,1.3686226993540663e-12
I09U-gNSF-r2-Tr-F14-VS-N70-W,0.16805278986587371,0.1643387918672974,0.1884109732535941,0.11828771300119155,0.6535557022639954,8.602339553811224e-10,0.5957085368076782,5.326570042340991e-08
I10T-gNSF-r2-In-F14-VS-N70-W,0.6327856584828008,4.176765781929987e-09,0.6402773901126825,2.394906782446619e-09,0.6105379530119055,2.00129818894358e-08,0.5097094679184839,6.5820460457905e-06
I10U-gNSF-r2-In-F14-VS-N70-W,0.4394784649167638,0.00014103500299923334,0.4415734676701605,0.00012992254632199202,0.4594715685376934,6.303212937056755e-05,0.5706886426756027,2.494483425699816e-07
I11T-gNSF-r2-Di-F14-VS-N70-W,0.2164667710654085,0.07187847108878848,0.2430518711936896,0.0426200234360028,0.15890891848962446,0.18886129834686666,-0.026473899082315042,0.8277825261480231
I11U-gNSF-r2-Di-F14-VS-N70-W,0.1034709033598038,0.3939902490150992,0.20385355131664312,0.09051713990610023,0.07745372044543326,0.5239199034905253,0.05005729661840999,0.6806864408651336
I12T-gNSF-r2-Tr-F14-VS-N70-W,0.3650485085250675,0.001888631516073084,0.3714825930416952,0.0015443885765676205,0.1505790246374772,0.2134042681266593,0.6840733641645895,6.674164474498062e-11
I12U-gNSF-r2-Tr-F14-VS-N70-W,0.44927705678827856,9.563465044396276e-05,0.4512416776485526,8.834207326730951e-05,0.3233567206797713,0.00632469782621335,0.49310235102589467,1.4451566602697379e-05
I13T-gNSF-r2-In-F14-VS-N70-W,0.4001841901905676,0.0005979688230429508,0.4001841901905676,0.0005979688230429508,0.4043762888791071,0.0005168196980877554,0.36113768096419435,0.0021301212490409784
I13U-gNSF-r2-In-F14-VS-N70-W,0.2943094300712745,0.013395708948677656,0.2943094300712745,0.013395708948677656,0.2690313195130054,0.02431948023695499,0.2415420572912659,0.043964139796333436
I14T-gNSF-r2-Di-F14-VS-N70-W,-0.035521528389455014,0.7703360352934266,0.2046877087723863,0.08917746191863495,-0.2635296614414885,0.027505306104989614,0.5450377157446697,1.0693457873801573e-06
I14U-gNSF-r2-Di-F14-VS-N70-W,0.3993107352376961,0.0006162714073308513,0.3214631831733017,0.006656512609408677,0.27234071239283736,0.022558130291464633,0.335984319120196,0.004460730838815498
I15T-gNSF-r2-Tr-F14-VS-N70-W,0.70489136406308,9.70429556411332e-12,0.7170651580461429,2.9036059249757343e-12,0.7402992678728761,2.4154902040723344e-13,0.7346483316230542,4.528943133025951e-13
I15U-gNSF-r2-Tr-F14-VS-N70-W,0.4615112186889666,5.789560453443367e-05,0.4792624707785241,2.6995085540254582e-05,0.4055975657871961,0.0004951428181915598,0.6288706098387101,5.5527202377251305e-09
