source,spearman,p_val
I01U-gNSF-r2-ldh-In-F14-VS-N70-W,0.6542853396472793,8.119788849205383e-10
I01U-gNSF-r2-xdh-In-F14-VS-N70-W,0.6636111171072302,3.828144012183833e-10
I01U-gNSF-r2-xdx-In-F14-VS-N70-W,0.5581306784089611,5.165137884489879e-07
I02U-gNSF-r2-ldh-Tr-F14-VS-N70-W,0.2776869935416554,0.01994188593881346
I02U-gNSF-r2-xdh-Tr-F14-VS-N70-W,0.33310963355617296,0.004835840826159072
I02U-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.35185780849609444,0.0028173495784304934
I03U-gNSF-r2-ldh-Di-F14-VS-N70-W,0.4609204427353927,5.934201910232331e-05
I03U-gNSF-r2-xdh-Di-F14-VS-N70-W,0.3890073009133815,0.000874103213832004
I03U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.3410906803794804,0.003857552100780085
I04U-gNSF-r2-ldh-In-F14-VS-N70-W,0.04883106293484364,0.6881010727382626
I04U-gNSF-r2-xdh-In-F14-VS-N70-W,0.04690279883630592,0.6998199362733077
I04U-gNSF-r2-xdx-In-F14-VS-N70-W,0.3403934708854207,0.003935389045548824
I05U-gNSF-r2-ldh-Di-F14-VS-N70-W,0.3796115722727058,0.0011906461598251736
I05U-gNSF-r2-xdh-Di-F14-VS-N70-W,0.2590164675817275,0.030375088941296983
I05U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.35136294025220477,0.0028590154155243176
I06U-gNSF-r2-ldh-Tr-F14-VS-N70-W,0.273704025307017,0.021864724996369638
I06U-gNSF-r2-xdh-Tr-F14-VS-N70-W,0.2812636519751753,0.018340064195546457
I06U-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.3102895358200578,0.008943905048814508
I07U-gNSF-r2-ldh-In-F14-VS-N70-W,0.5817308781405559,1.2822470135390807e-07
I07U-gNSF-r2-xdh-In-F14-VS-N70-W,0.5817308781405559,1.2822470135390807e-07
I07U-gNSF-r2-xdx-In-F14-VS-N70-W,0.5442254896900168,1.1175962455497713e-06
I08U-gNSF-r2-ldh-Di-F14-VS-N70-W,0.2017967705203563,0.09388804077655499
I08U-gNSF-r2-xdh-Di-F14-VS-N70-W,0.1965952026153689,0.10285260008910779
I08U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.39374830442307474,0.0007452878415265448
I09U-gNSF-r2-ldh-Tr-F14-VS-N70-W,0.16805278986587371,0.1643387918672974
I09U-gNSF-r2-xdh-Tr-F14-VS-N70-W,0.1884109732535941,0.11828771300119155
