source,spearman,p_val
I01T-gNSF-r2-xdx-In-F14-VS-N70-W,0.3928105961571772,0.0007693075569438942
I01U-gNSF-r2-xdx-In-F14-VS-N70-W,0.5581306784089611,5.165137884489879e-07
I02T-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.23250347975198304,0.052761132879978155
I02U-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.35185780849609444,0.0028173495784304934
I03T-gNSF-r2-xdx-Di-F14-VS-N70-W,0.18424155253318455,0.12680494067849096
I03U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.3410906803794804,0.003857552100780085
I04T-gNSF-r2-xdx-In-F14-VS-N70-W,-0.03205297752866489,0.792231920765597
I04U-gNSF-r2-xdx-In-F14-VS-N70-W,0.3403934708854207,0.003935389045548824
I05T-gNSF-r2-xdx-Di-F14-VS-N70-W,0.7146572238668755,3.704550771787707e-12
I05U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.35136294025220477,0.0028590154155243176
I06T-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.4623692341928447,5.585294506092371e-05
I06U-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.3102895358200578,0.008943905048814508
I07T-gNSF-r2-xdx-In-F14-VS-N70-W,0.49505779100269215,1.3201313323812387e-05
I07U-gNSF-r2-xdx-In-F14-VS-N70-W,0.5442254896900168,1.1175962455497713e-06
I08T-gNSF-r2-xdx-Di-F14-VS-N70-W,0.2726619169957891,0.022393099436958497
I08U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.39374830442307474,0.0007452878415265448
I09T-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.7756273526937714,3.172169347268371e-15
I09U-gNSF-r2-xdx-Tr-F14-VS-N70-W,0.6535557022639954,8.602339553811224e-10
I10T-gNSF-r2-xdx-In-F14-VS-N70-W,0.6105379530119055,2.0012981889435796e-08
I10U-gNSF-r2-xdx-In-F14-VS-N70-W,0.4594715685376934,6.303212937056755e-05
I11T-gNSF-r2-xdx-Di-F14-VS-N70-W,0.15890891848962443,0.18886129834686663
I11U-gNSF-r2-xdx-Di-F14-VS-N70-W,0.07745372044543326,0.5239199034905253
