source,spearman,p_val
I01T-gNSF-r2-bert-In-F14-VS-N70,0.6320455209387296,4.409121703984292e-09
I02T-gNSF-r2-bert-Tr-F14-VS-N70,0.362694533524271,0.0020308547404362153
I03T-gNSF-r2-bert-Di-F14-VS-N70,0.34128294129396153,0.0038363298850954963
I04T-gNSF-r2-bert-In-F14-VS-N70,0.6096109829330889,2.130728504776887e-08
I05T-gNSF-r2-bert-Di-F14-VS-N70,0.6849863118693882,6.153487315192297e-11
I06T-gNSF-r2-bert-Tr-F14-VS-N70,0.6219049767607894,9.126692222315153e-09
I07T-gNSF-r2-bert-In-F14-VS-N70,0.5085427435165825,6.9653678956127914e-06
I08T-gNSF-r2-bert-Di-F14-VS-N70,0.42421288279763064,0.0002524479983935364
I09T-gNSF-r2-bert-Tr-F14-VS-N70,0.7205887703957956,2.0236829578423037e-12
I10T-gNSF-r2-bert-In-F14-VS-N70,0.516403079387156,4.737616866058724e-06
I11T-gNSF-r2-bert-Di-F14-VS-N70,0.1465862750165335,0.2259338134976269
I12T-gNSF-r2-bert-Tr-F14-VS-N70,0.703153922875792,1.1471014042550478e-11
I13T-gNSF-r2-bert-In-F14-VS-N70,0.35467436676349284,0.0025903651343496172
I14T-gNSF-r2-bert-Di-F14-VS-N70,0.6590209423707795,5.560957937696541e-10
I15T-gNSF-r2-bert-Tr-F14-VS-N70,0.7203507940303012,2.073991659029949e-12
I16T-gNSF-r2-bert-Tr-F14-VS-N70,0.5732826290679294,2.1381524758532802e-07
I17T-gNSF-r2-bert-Di-F14-VS-N70,0.36141828774459916,0.0021119144199755104
I18T-gNSF-r2-bert-In-F14-VS-N70,0.8775420965921339,2.150742847554211e-23
I19T-gNSF-r2-bert-Tr-F14-VS-N70,0.4579473282549664,6.71425167859583e-05
I20T-gNSF-r2-bert-In-F14-VS-N70,0.5184820177055917,4.271580548708241e-06
I21T-gNSF-r2-bert-Di-F14-VS-N70,0.6259577994936123,6.845404740794732e-09
I22T-gNSF-r2-bert-Tr-F14-VS-N70,0.5562518916821972,5.744651344913633e-07
I23T-gNSF-r2-bert-Di-F14-VS-N70,0.7257581958814346,1.1796367467524366e-12
I24T-gNSF-r2-bert-In-F14-VS-N70,-0.011267664519130756,0.9262392016758426
I25T-gNSF-r2-bert-Tr-F14-VS-N70,0.7687106506617186,7.865959171157332e-15
I26T-gNSF-r2-bert-Di-F14-VS-N70,0.46799501396281606,4.402789902749769e-05
I27T-gNSF-r2-bert-In-F14-VS-N70,0.46795330331933455,4.4106301974295295e-05
I28T-gNSF-r2-bert-Di-F14-VS-N70,0.5518078996553542,7.368516961938246e-07
I29T-gNSF-r2-bert-Tr-F14-VS-N70,0.6159138615220083,1.3858944520836571e-08
I30T-gNSF-r2-bert-In-F14-VS-N70,0.6073805902929825,2.4754631164186892e-08
