source,spearman,p_val
I03T-gNSF-r2-bert-Di-F14-VS-N70,0.44139988758921517,0.0001308116574472406
I03U-gNSF-r2-bert-Di-F14-VS-N70,0.565179213968845,3.445638708413047e-07
I05T-gNSF-r2-bert-Di-F14-VS-N70,0.673422108517626,1.6855876097183805e-10
I05U-gNSF-r2-bert-Di-F14-VS-N70,0.46179696705764767,5.720777244286396e-05
I08T-gNSF-r2-bert-Di-F14-VS-N70,0.3899550762542217,0.0008468433721780994
I08U-gNSF-r2-bert-Di-F14-VS-N70,0.3608942997997985,0.0021460265451470986
I11T-gNSF-r2-bert-Di-F14-VS-N70,-0.026473899082315042,0.8277825261480231
I11U-gNSF-r2-bert-Di-F14-VS-N70,0.05005729661840999,0.6806864408651336
I14T-gNSF-r2-bert-Di-F14-VS-N70,0.5450377157446697,1.0693457873801573e-06
I14U-gNSF-r2-bert-Di-F14-VS-N70,0.335984319120196,0.004460730838815498
I17T-gNSF-r2-bert-Di-F14-VS-N70,0.6399105356110945,2.461897251010131e-09
I17U-gNSF-r2-bert-Di-F14-VS-N70,0.32450612060774975,0.0061304587927644765
I21T-gNSF-r2-bert-Di-F14-VS-N70,0.48752537623469144,1.86500862829873e-05
I21U-gNSF-r2-bert-Di-F14-VS-N70,0.35961088910595246,0.0022316731298992615
I23T-gNSF-r2-bert-Di-F14-VS-N70,0.6816836670893035,8.24391491439843e-11
I23U-gNSF-r2-bert-Di-F14-VS-N70,0.6770861394720861,1.2309029971676866e-10
I26T-gNSF-r2-bert-Di-F14-VS-N70,0.486885296613318,1.919864144310233e-05
I26U-gNSF-r2-bert-Di-F14-VS-N70,0.5599864540642843,4.6471475229193453e-07
I28T-gNSF-r2-bert-Di-F14-VS-N70,0.5634034366435827,3.8189773312687985e-07
I28U-gNSF-r2-bert-Di-F14-VS-N70,0.3080845601009349,0.009468700898535055
