source,spearman,p_val
I02T-gNSF-r2-bert-Tr-F14-VS-N70,0.362694533524271,0.0020308547404362153
I02U-gNSF-r2-bert-Tr-F14-VS-N70,0.4552318952176053,7.508512558064381e-05
I06T-gNSF-r2-bert-Tr-F14-VS-N70,0.6219049767607894,9.126692222315153e-09
I06U-gNSF-r2-bert-Tr-F14-VS-N70,0.23847908388969064,0.046798550265723195
I09T-gNSF-r2-bert-Tr-F14-VS-N70,0.7205887703957956,2.0236829578423037e-12
I09U-gNSF-r2-bert-Tr-F14-VS-N70,0.5999068402333374,4.057671258343783e-08
I12T-gNSF-r2-bert-Tr-F14-VS-N70,0.703153922875792,1.1471014042550478e-11
I12U-gNSF-r2-bert-Tr-F14-VS-N70,0.5398491298749007,1.4148072314649367e-06
I15T-gNSF-r2-bert-Tr-F14-VS-N70,0.7203507940303012,2.073991659029949e-12
I15U-gNSF-r2-bert-Tr-F14-VS-N70,0.6337062735504199,3.9039804711498685e-09
I16T-gNSF-r2-bert-Tr-F14-VS-N70,0.5732826290679294,2.1381524758532802e-07
I16U-gNSF-r2-bert-Tr-F14-VS-N70,0.6504383722097837,1.0989370909236613e-09
I19T-gNSF-r2-bert-Tr-F14-VS-N70,0.4579473282549664,6.71425167859583e-05
I19U-gNSF-r2-bert-Tr-F14-VS-N70,0.4787234630941255,2.7645096854008822e-05
I22T-gNSF-r2-bert-Tr-F14-VS-N70,0.5562518916821972,5.744651344913633e-07
I22U-gNSF-r2-bert-Tr-F14-VS-N70,0.4323588694703964,0.00018566857741944356
I25T-gNSF-r2-bert-Tr-F14-VS-N70,0.7687106506617186,7.865959171157332e-15
I25U-gNSF-r2-bert-Tr-F14-VS-N70,0.7334915313426789,5.140780126000115e-13
I29T-gNSF-r2-bert-Tr-F14-VS-N70,0.6159138615220083,1.3858944520836571e-08
I29U-gNSF-r2-bert-Tr-F14-VS-N70,0.5560347346361294,5.81544949289207e-07
