source,spearman,p_val
I01T-gNSF-r2-bert-In-F14-VS-N70,0.6320455209387296,4.409121703984292e-09
I01U-gNSF-r2-bert-In-F14-VS-N70,0.5955701333327902,5.374209421601157e-08
I02T-gNSF-r2-bert-Tr-F14-VS-N70,0.362694533524271,0.0020308547404362153
I02U-gNSF-r2-bert-Tr-F14-VS-N70,0.4552318952176053,7.508512558064381e-05
I03T-gNSF-r2-bert-Di-F14-VS-N70,0.34128294129396153,0.0038363298850954963
I03U-gNSF-r2-bert-Di-F14-VS-N70,0.5474110891297189,9.393389847391891e-07
I04T-gNSF-r2-bert-In-F14-VS-N70,0.6096109829330889,2.130728504776887e-08
I04U-gNSF-r2-bert-In-F14-VS-N70,0.43030344015873095,0.00020078226414916236
I05T-gNSF-r2-bert-Di-F14-VS-N70,0.6849863118693882,6.153487315192297e-11
I05U-gNSF-r2-bert-Di-F14-VS-N70,0.46880058912064715,4.2538787807415195e-05
I06T-gNSF-r2-bert-Tr-F14-VS-N70,0.6219049767607894,9.126692222315153e-09
I06U-gNSF-r2-bert-Tr-F14-VS-N70,0.23847908388969064,0.046798550265723195
I07T-gNSF-r2-bert-In-F14-VS-N70,0.5085427435165825,6.9653678956127914e-06
I07U-gNSF-r2-bert-In-F14-VS-N70,0.547964956260261,9.112182186107823e-07
I08T-gNSF-r2-bert-Di-F14-VS-N70,0.42421288279763064,0.0002524479983935364
I08U-gNSF-r2-bert-Di-F14-VS-N70,0.32109930828428057,0.006722000361880435
I09T-gNSF-r2-bert-Tr-F14-VS-N70,0.7205887703957956,2.0236829578423037e-12
I09U-gNSF-r2-bert-Tr-F14-VS-N70,0.5999068402333374,4.057671258343783e-08
I10T-gNSF-r2-bert-In-F14-VS-N70,0.516403079387156,4.737616866058724e-06
I10U-gNSF-r2-bert-In-F14-VS-N70,0.5683720660867024,2.859431286789863e-07
I11T-gNSF-r2-bert-Di-F14-VS-N70,0.1465862750165335,0.2259338134976269
I11U-gNSF-r2-bert-Di-F14-VS-N70,-0.02548479641626657,0.8341235886838889
I12T-gNSF-r2-bert-Tr-F14-VS-N70,0.703153922875792,1.1471014042550478e-11
I12U-gNSF-r2-bert-Tr-F14-VS-N70,0.5398491298749007,1.4148072314649367e-06
I13T-gNSF-r2-bert-In-F14-VS-N70,0.35467436676349284,0.0025903651343496172
I13U-gNSF-r2-bert-In-F14-VS-N70,0.2415420572912659,0.043964139796333436
