source,spearman,p_val
I01T-gNSF-r2-xdh-In-F14-VS-N70,0.7995403152107357,1.0525108872808888e-16
I01U-gNSF-r2-xdh-In-F14-VS-N70,0.6616899269008883,4.479213891409513e-10
I02T-gNSF-r2-xdh-Tr-F14-VS-N70,0.19265755823686756,0.11007093736048594
I02U-gNSF-r2-xdh-Tr-F14-VS-N70,0.1444463281163069,0.23285642386661998
I03T-gNSF-r2-xdh-Di-F14-VS-N70,0.22076780453382625,0.06627638922418258
I03U-gNSF-r2-xdh-Di-F14-VS-N70,0.5158105746308862,4.878909427078736e-06
I04T-gNSF-r2-xdh-In-F14-VS-N70,0.31448488292557353,0.008015153432881172
I04U-gNSF-r2-xdh-In-F14-VS-N70,-0.06517303416748521,0.5919384613256744
I05T-gNSF-r2-xdh-Di-F14-VS-N70,0.6772513579682418,1.2134493299406678e-10
I05U-gNSF-r2-xdh-Di-F14-VS-N70,0.23800832723614126,0.04724722036503001
I06T-gNSF-r2-xdh-Tr-F14-VS-N70,0.44540123655276403,0.00011167654051812205
I06U-gNSF-r2-xdh-Tr-F14-VS-N70,0.24911246867565878,0.03756186727721244
I07T-gNSF-r2-xdh-In-F14-VS-N70,0.5206027536450194,3.840665274207167e-06
I07U-gNSF-r2-xdh-In-F14-VS-N70,0.593395233400293,6.177916882433014e-08
I08T-gNSF-r2-xdh-Di-F14-VS-N70,0.29389277130753133,0.013533694320097411
I08U-gNSF-r2-xdh-Di-F14-VS-N70,0.20262976182186673,0.09251116540535853
I09T-gNSF-r2-xdh-Tr-F14-VS-N70,0.7008273317652225,1.4323813865029015e-11
I09U-gNSF-r2-xdh-Tr-F14-VS-N70,0.5809801495804042,1.342639722107509e-07
I10T-gNSF-r2-xdh-In-F14-VS-N70,0.6402773901126825,2.3949067824466188e-09
I10U-gNSF-r2-xdh-In-F14-VS-N70,0.4394784649167638,0.00014103500299923334
I11T-gNSF-r2-xdh-Di-F14-VS-N70,0.276246219752191,0.02062008294209546
I11U-gNSF-r2-xdh-Di-F14-VS-N70,0.0694693120757862,0.5676961744376703
I12T-gNSF-r2-xdh-Tr-F14-VS-N70,0.39921349730836064,0.0006183401617516891
I12U-gNSF-r2-xdh-Tr-F14-VS-N70,0.51317357645993,5.556935584747972e-06
I13T-gNSF-r2-xdh-In-F14-VS-N70,0.4001841901905676,0.0005979688230429507
I13U-gNSF-r2-xdh-In-F14-VS-N70,0.30514290602481825,0.010210514587874302
I14T-gNSF-r2-xdh-Di-F14-VS-N70,0.18778705148074842,0.1195335664132561
I14U-gNSF-r2-xdh-Di-F14-VS-N70,0.28014266042966723,0.018829816477802956
I15T-gNSF-r2-xdh-Tr-F14-VS-N70,0.705834115785674,8.857899917830749e-12
I15U-gNSF-r2-xdh-Tr-F14-VS-N70,0.4933564567390971,1.4283079602196586e-05
I16T-gNSF-r2-xdh-Tr-F14-VS-N70,0.22944969237447224,0.056039941651722054
I16U-gNSF-r2-xdh-Tr-F14-VS-N70,0.39112076212102675,0.0008143739957519352
I17T-gNSF-r2-xdh-Di-F14-VS-N70,0.46676237075157084,4.6400250793667846e-05
I17U-gNSF-r2-xdh-Di-F14-VS-N70,0.38636623560496314,0.0009543127949233597
I18T-gNSF-r2-xdh-In-F14-VS-N70,0.8214416206696195,3.028425176230775e-18
I18U-gNSF-r2-xdh-In-F14-VS-N70,0.8807441641434504,9.225316219457492e-24
I19T-gNSF-r2-xdh-Tr-F14-VS-N70,0.19240865768192847,0.11054003632228399
I19U-gNSF-r2-xdh-Tr-F14-VS-N70,0.3162484881321653,0.007650664035549298
I20T-gNSF-r2-xdh-In-F14-VS-N70,0.509886261147156,6.525712537373937e-06
I20U-gNSF-r2-xdh-In-F14-VS-N70,0.4197640645457765,0.0002976010858365083
I21T-gNSF-r2-xdh-Di-F14-VS-N70,0.5217934478988144,3.6169346618349626e-06
I21U-gNSF-r2-xdh-Di-F14-VS-N70,0.01356348647799964,0.9112657983999609
I22T-gNSF-r2-xdh-Tr-F14-VS-N70,0.36249268878762286,0.0020434860074697537
I22U-gNSF-r2-xdh-Tr-F14-VS-N70,0.273216794153968,0.022110427965513126
I23T-gNSF-r2-xdh-Di-F14-VS-N70,0.21506106509743458,0.07378950309744277
I23U-gNSF-r2-xdh-Di-F14-VS-N70,-0.06823587695414818,0.5746082631636968
I24T-gNSF-r2-xdh-In-F14-VS-N70,0.5888061533033798,8.262292029531418e-08
I24U-gNSF-r2-xdh-In-F14-VS-N70,0.2897217789645143,0.014984045042549767
I25T-gNSF-r2-xdh-Tr-F14-VS-N70,0.10666461830547493,0.3794758319355397
I25U-gNSF-r2-xdh-Tr-F14-VS-N70,0.219055572063293,0.06846289337485995
I26T-gNSF-r2-xdh-Di-F14-VS-N70,0.5639241491331667,3.705726230210409e-07
I26U-gNSF-r2-xdh-Di-F14-VS-N70,0.4331344361351417,0.00018024279104222096
I27T-gNSF-r2-xdh-In-F14-VS-N70,0.4806678773298741,2.5366445769930582e-05
I27U-gNSF-r2-xdh-In-F14-VS-N70,0.3296438486210196,0.005324978732375573
I28T-gNSF-r2-xdh-Di-F14-VS-N70,0.3405701613317327,0.003915532420936893
I28U-gNSF-r2-xdh-Di-F14-VS-N70,0.1962544348826025,0.10346234787686777
I29T-gNSF-r2-xdh-Tr-F14-VS-N70,0.39494798359405026,0.0007155509161725897
I29U-gNSF-r2-xdh-Tr-F14-VS-N70,0.3723263626792709,0.0015037099027389075
I30T-gNSF-r2-xdh-In-F14-VS-N70,0.2702606481968357,0.023652053061677773
I30U-gNSF-r2-xdh-In-F14-VS-N70,0.07911988287421914,0.5150031577471896
