source,spearman,p_val
I01T-gNSF-r2-xdx-In-F14-VS-N70,0.27312232427492233,0.022158338388236054
I01U-gNSF-r2-xdx-In-F14-VS-N70,0.5620931680760332,4.118563699612661e-07
I02T-gNSF-r2-xdx-Tr-F14-VS-N70,0.2541039216344563,0.03378053003195449
I02U-gNSF-r2-xdx-Tr-F14-VS-N70,0.3451344108815194,0.0034324842152721794
I03T-gNSF-r2-xdx-Di-F14-VS-N70,0.1926238744713572,0.11013433049569078
I03U-gNSF-r2-xdx-Di-F14-VS-N70,0.2502439775729813,0.036675178847281276
I04T-gNSF-r2-xdx-In-F14-VS-N70,0.13898693481869293,0.2511792059177954
I04U-gNSF-r2-xdx-In-F14-VS-N70,0.3659051504580399,0.001839137090852916
I05T-gNSF-r2-xdx-Di-F14-VS-N70,0.7169574271686777,2.9355826868713353e-12
I05U-gNSF-r2-xdx-Di-F14-VS-N70,0.3300950112859455,0.005258925936679846
I06T-gNSF-r2-xdx-Tr-F14-VS-N70,0.48559966149931194,2.0346117782817406e-05
I06U-gNSF-r2-xdx-Tr-F14-VS-N70,0.29803383668237954,0.012215348138434853
I07T-gNSF-r2-xdx-In-F14-VS-N70,0.5137474819769864,5.402270291525614e-06
I07U-gNSF-r2-xdx-In-F14-VS-N70,0.5645804305168985,3.5674992171937163e-07
I08T-gNSF-r2-xdx-Di-F14-VS-N70,0.1503792466701849,0.21401928609983706
I08U-gNSF-r2-xdx-Di-F14-VS-N70,0.32887321360359106,0.005439499512407951
I09T-gNSF-r2-xdx-Tr-F14-VS-N70,0.7762180204828697,2.931086851719066e-15
I09U-gNSF-r2-xdx-Tr-F14-VS-N70,0.21173146310196717,0.07847822454242484
I10T-gNSF-r2-xdx-In-F14-VS-N70,0.6109098758794612,1.951494446068448e-08
I10U-gNSF-r2-xdx-In-F14-VS-N70,0.45663896703630513,7.086703623588033e-05
I11T-gNSF-r2-xdx-Di-F14-VS-N70,0.15093368465218346,0.2123155187980012
I11U-gNSF-r2-xdx-Di-F14-VS-N70,-0.007052067516545403,0.9537962915780313
I12T-gNSF-r2-xdx-Tr-F14-VS-N70,0.144273621811182,0.23342146479106915
I12U-gNSF-r2-xdx-Tr-F14-VS-N70,0.15166836720035679,0.2100726558844024
I13T-gNSF-r2-xdx-In-F14-VS-N70,0.404376288879107,0.0005168196980877554
I13U-gNSF-r2-xdx-In-F14-VS-N70,0.26180900221064285,0.028571216486146
I14T-gNSF-r2-xdx-Di-F14-VS-N70,-0.017113467247041478,0.8881751103910094
I14U-gNSF-r2-xdx-Di-F14-VS-N70,0.4162744147081067,0.00033806759085958777
I15T-gNSF-r2-xdx-Tr-F14-VS-N70,0.7421847540764169,1.9514102277114687e-13
I15U-gNSF-r2-xdx-Tr-F14-VS-N70,0.444128374466996,0.00011746364797138698
I16T-gNSF-r2-xdx-Tr-F14-VS-N70,0.3301648746029427,0.005248762510835214
I16U-gNSF-r2-xdx-Tr-F14-VS-N70,0.45629845099851785,7.186723583868256e-05
I17T-gNSF-r2-xdx-Di-F14-VS-N70,0.32591280668741945,0.005899901776018603
I17U-gNSF-r2-xdx-Di-F14-VS-N70,0.3290654660628789,0.005410728053123067
I18T-gNSF-r2-xdx-In-F14-VS-N70,0.8438705671739306,4.6629032028721144e-20
I18U-gNSF-r2-xdx-In-F14-VS-N70,0.9002788864076213,2.9297099489901905e-26
I19T-gNSF-r2-xdx-Tr-F14-VS-N70,-0.054591268873763615,0.6535367528660552
I19U-gNSF-r2-xdx-Tr-F14-VS-N70,0.05924519444149212,0.6261278810874489
I20T-gNSF-r2-xdx-In-F14-VS-N70,0.4282841708646912,0.00021672260949388898
I20U-gNSF-r2-xdx-In-F14-VS-N70,0.37091234305132287,0.0015724389555584486
I21T-gNSF-r2-xdx-Di-F14-VS-N70,0.3613051203861588,0.002119240291582312
I21U-gNSF-r2-xdx-Di-F14-VS-N70,0.23304649311810455,0.052194859510474464
I22T-gNSF-r2-xdx-Tr-F14-VS-N70,0.1231858298912976,0.30964606514076687
I22U-gNSF-r2-xdx-Tr-F14-VS-N70,0.13976799625509018,0.24849920777444534
I23T-gNSF-r2-xdx-Di-F14-VS-N70,0.21916166450742014,0.06832575076146423
I23U-gNSF-r2-xdx-Di-F14-VS-N70,-0.009643766703819638,0.9368460563049714
I24T-gNSF-r2-xdx-In-F14-VS-N70,0.5122321481503667,5.819649836732281e-06
I24U-gNSF-r2-xdx-In-F14-VS-N70,0.3985871455514522,0.0006318179976295702
