source,spearman,p_val
I01T-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.7597116493913209,2.4486589514305526e-14
I01T-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.7546114193344007,4.560279299007628e-14
I01T-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.8040923539486512,5.223944910676542e-17
I01T-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.7594014491839619,2.5441576374907865e-14
I01T-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.7640141817717162,1.4317207330525282e-14
I01T-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.7850951789490842,8.67443468023318e-16
I01U-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.3671571454752195,0.001768894869363487
I01U-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.32450959957923714,0.006129878938991864
I01U-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.3507403732581108,0.0029122136154395234
I01U-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.6746379483957128,1.519364614031758e-10
I01U-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.5717942351624783,2.3362504294415213e-07
I01U-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.5105607898300195,6.314895282223645e-06
I02T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.02033658624041362,0.8672900301529256
I02T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.007881863367753527,0.9483666739182768
I02T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.22997576846786386,0.05546356256127953
I02T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.10761156312300224,0.37523488127712223
I02T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.13277377999673434,0.2732000040869554
I02T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.2473250595543184,0.038998835351824836
I02U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.2749361975910638,0.021253702501693703
I02U-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.30356926951334,0.01062773407992508
I02U-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.2280085556117397,0.05764389421951348
I02U-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.2547356053774916,0.033325511136045136
I02U-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.2425405318747141,0.04307138775940128
I02U-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.3535920181982666,0.002675581235938293
I03T-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.08499109344951729,0.4842082552846697
I03T-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.11914199159312874,0.3259177123936741
I03T-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.3189614772563556,0.007118308384706417
I03T-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.13223464059961265,0.2751698699516865
I03T-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.14268908868120594,0.23864994271140905
I03T-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.31820801011584565,0.0072627936640827
I03U-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.36405868905841904,0.001947307456876459
I03U-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.3771269726226257,0.001290089017725069
I03U-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.2595292557147181,0.030036857168797112
I03U-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.3831992256971511,0.0010592488680010238
I03U-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.4308865801040957,0.0001963835005560015
I03U-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.2222352990631331,0.06444749254214081
I04T-gNSC-r1-s_ldh-In-N14-VS-N70-W,-0.03030658123196736,0.8033184988499427
I04T-gNSC-r1-s_xdh-In-N14-VS-N70-W,-0.02393134461174372,0.8441038265661601
I04T-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.20945994992840608,0.0818108009273418
I04T-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.06254319196826226,0.6070031190715374
I04T-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.07838883135142195,0.5189059894543637
I04T-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.10996329925227312,0.3648270165958497
I04U-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.15319943402251324,0.2054525658102412
I04U-gNSC-r1-s_xdh-In-N14-VS-N70-W,-0.047566938041851366,0.6957756221494522
I04U-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.33057284584563823,0.005189758234718702
I04U-gNSC-r2-s_ldh-In-N14-VS-N70-W,-0.07485516895545034,0.5379792587187398
I04U-gNSC-r2-s_xdh-In-N14-VS-N70-W,-0.11435850756863696,0.34585404276128
I04U-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.13893349800228555,0.2513632775992937
I05T-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.6428959999915179,1.9647170525697144e-09
I05T-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.6434023092500306,1.8905109696834168e-09
I05T-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.6746655704216801,1.5157765381716619e-10
I05T-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.6645825912790747,3.5343201277721553e-10
I05T-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.6800464746099575,9.516711606356169e-11
I05T-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.7223321596362553,1.6891960168467568e-12
I05U-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.2887179621728602,0.015352439925859513
I05U-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.25897098090416343,0.030405245517074124
I05U-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.3051040312971463,0.010220647174027998
I05U-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.2509599905747023,0.0361231452792025
I05U-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.26222340261459065,0.028311375954879293
I05U-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.3034751964747851,0.010653138615029487
I06T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.3058652074349818,0.010023832696288345
I06T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.30038904483375584,0.011516357412966385
I06T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.5520001284859449,7.290137338565828e-07
I06T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.33208603843506435,0.004975992236468336
I06T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.3223274346649492,0.006503213318614996
I06T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.5266666951869392,2.82243583325098e-06
I06U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.19795776742367144,0.10044239939608827
I06U-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.18774164971752366,0.1196246159256377
I06U-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.28175360632712804,0.01812945518564853
I06U-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.08883183274733586,0.4646046207511601
I06U-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.15366195258753995,0.20407119599528584
I06U-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.2373380785458544,0.04789212016212215
I07T-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.5207195691171861,3.818155237673923e-06
I07T-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.5207195691171861,3.818155237673923e-06
I07T-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.4678117258792289,4.4373389607543686e-05
I07T-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.5211284232697696,3.7403397091299683e-06
I07T-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.5211284232697696,3.7403397091299683e-06
I07T-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.484311218692473,2.155987809643128e-05
I07U-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.3702343267277414,0.0016063865197334837
I07U-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.3702343267277414,0.0016063865197334837
I07U-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.3461109018938677,0.0033363059184800823
I07U-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.4884929438995369,1.7848510839540867e-05
I07U-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.4962349994785273,1.2498064963108995e-05
I07U-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.5402519181180184,1.3846237150213205e-06
I08T-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.2854459967120341,0.016607846080086572
I08T-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.2760038109689193,0.0207360996872458
I08T-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.4875950384657698,1.8591273788568808e-05
I08T-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.30075580479501346,0.011410692350918995
I08T-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.2966052061213373,0.012657011663467518
I08T-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.4794807775511406,2.673588531236702e-05
I08U-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.3488785163793076,0.0030766184207534127
I08U-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.3695510739088328,0.0016412620083190786
I08U-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.3771454637768331,0.001289322060361586
I08U-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.3133733874919379,0.008252599918102196
I08U-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.3470429794498727,0.0032467478201712017
I08U-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.34329195704107396,0.0036206960541172906
I09T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.7386032217316505,2.9219614420853645e-13
I09T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.7496379699734429,8.243118749334108e-14
I09T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.7759763836600567,3.0275017436242862e-15
I09T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.7437849891541953,1.6258441204791e-13
I09T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.7522691264885174,6.037106120339441e-14
I09T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.7764596573056826,2.837628385770355e-15
I09U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.12890085376532354,0.2875608139160454
I09U-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.1412722068654448,0.24339317743714434
I09U-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.18153410199263545,0.13258061181147954
I09U-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.4278717895825638,0.0002201175221794589
I09U-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.481865232480431,2.405146906069968e-05
I09U-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.5821688935883566,1.2482066978474894e-07
I10T-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.632732525634362,4.193050326820308e-09
I10T-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.6402242572642436,2.4045006485484237e-09
I10T-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.6227051439648015,8.625666964324298e-09
I10T-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.6473971918034919,1.3917345973236595e-09
I10T-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.6530965554279299,8.91987930243642e-10
I10T-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.6105379530119055,2.00129818894358e-08
I10U-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.19834659870890872,0.09976274324954454
I10U-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.19834659870890872,0.09976274324954454
I10U-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.1356107968789647,0.2629899007699359
I10U-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.5093961699996622,6.682993916714362e-06
I10U-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.5093961699996622,6.682993916714362e-06
I10U-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.17500166150764576,0.1473337102745478
I11T-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.20182809729969675,0.09383597070904116
I11T-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.2775421508169401,0.020009193864589044
I11T-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.12295608809330005,0.31055619290908704
I11T-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.2089003656268521,0.08264876803880855
I11T-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.2651752657990488,0.026517461281179856
I11T-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.1146991558807559,0.34440968993325105
I11U-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.11185114681305554,0.3566010915616392
I11U-gNSC-r1-s_xdh-Di-N14-VS-N70-W,-0.01921200452003784,0.8745675320521955
I11U-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.10094077512782357,0.4057187065606689
I11U-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.1500771217902229,0.2149517526600127
I11U-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.08741191423813591,0.4718013190554991
I11U-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.08380157306229549,0.4903674292914666
I12T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.4475763659250123,0.00010239206257811686
I12T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.4201242719874008,0.00029368720005099855
I12T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.6435371333531036,1.87120528377167e-09
I12T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.27312688773084626,0.02215602200301316
I12T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.28985550747407834,0.014935546873303675
I12T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.3811551667650256,0.0011324069206514243
I12U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.4205311368039985,0.00028932307192226775
I12U-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.4239449444233295,0.0002549786733179147
I12U-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.35915688650656924,0.00226269570450973
I12U-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.3501072052435044,0.002967221828011854
I12U-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.40241244282158267,0.0005534956908141349
I12U-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.36944675452864295,0.0016466463370262445
I13T-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.3694958779962601,0.0016441089076168658
I13T-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.3694958779962601,0.0016441089076168658
I13T-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.4043762888791071,0.0005168196980877554
I13T-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.4152327495853244,0.0003510875140087789
I13T-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.4152327495853244,0.0003510875140087789
I13T-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.4195323379838263,0.0003001441250895793
I13U-gNSC-r1-s_ldh-In-N14-VS-N70-W,0.2798647954665493,0.01895292866679309
I13U-gNSC-r1-s_xdh-In-N14-VS-N70-W,0.2798647954665493,0.01895292866679309
I13U-gNSC-r1-s_xdx-In-N14-VS-N70-W,0.2762536368153681,0.020616541880768856
I13U-gNSC-r2-s_ldh-In-N14-VS-N70-W,0.2979205887224557,0.012249865018503805
I13U-gNSC-r2-s_xdh-In-N14-VS-N70-W,0.2979205887224557,0.012249865018503805
I13U-gNSC-r2-s_xdx-In-N14-VS-N70-W,0.2437532089547365,0.04200731228876247
I14T-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.24620338423904334,0.03992369123487758
I14T-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.25806753925279546,0.031009435063900723
I14T-gNSC-r1-s_xdx-Di-N14-VS-N70-W,-0.17920371661280224,0.13770955044193056
I14T-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.04261519356957584,0.7261258279428042
I14T-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.4835219528399855,2.23363203505742e-05
I14T-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.21149762734530225,0.07881621983638519
I14U-gNSC-r1-s_ldh-Di-N14-VS-N70-W,0.3463862795673733,0.003309620248118669
I14U-gNSC-r1-s_xdh-Di-N14-VS-N70-W,0.27941793897992795,0.019152358127333256
I14U-gNSC-r1-s_xdx-Di-N14-VS-N70-W,0.2847765264318811,0.016875297576106025
I14U-gNSC-r2-s_ldh-Di-N14-VS-N70-W,0.23232807239364656,0.05294512293929012
I14U-gNSC-r2-s_xdh-Di-N14-VS-N70-W,0.24924918880801056,0.03745379050765497
I14U-gNSC-r2-s_xdx-Di-N14-VS-N70-W,0.17632465981231354,0.14425087128194256
I15T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.7380106419698642,3.1218237826766053e-13
I15T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.7387894368711374,2.8617325346294467e-13
I15T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.7159109137183796,3.264279857388831e-12
I15T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.7412077999856178,2.1800068117141158e-13
I15T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.7474791484011354,1.0612834673080711e-13
I15T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.7535796489586859,5.162111497799228e-14
I15U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.4745701016047502,3.316374408971262e-05
I15U-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.475445101567236,3.1922415359403234e-05
I15U-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.6773400409558624,1.2041786006382493e-10
I15U-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.4777499795171984,2.8856058300177558e-05
I15U-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.4825304671171203,2.334856450176242e-05
I15U-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.6707902301780669,2.1068454691689043e-10
I16T-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.2785920777459616,0.01952565740019921
I16T-gNSC-r1-s_xdh-Tr-N14-VS-N70-W,0.32870870701348515,0.005464225787093889
I16T-gNSC-r1-s_xdx-Tr-N14-VS-N70-W,0.2039739770584264,0.09032276124072047
I16T-gNSC-r2-s_ldh-Tr-N14-VS-N70-W,0.3298416394453008,0.005295931385981574
I16T-gNSC-r2-s_xdh-Tr-N14-VS-N70-W,0.28861762207728353,0.01538968906545141
I16T-gNSC-r2-s_xdx-Tr-N14-VS-N70-W,0.2189269182409795,0.06862949712455663
I16U-gNSC-r1-s_ldh-Tr-N14-VS-N70-W,0.3056595182767866,0.010076688849428262
