source,spearman,p_val
I01T-gNSC-r1-ldh-In-N14-VS-N70-W,0.7597116493913209,2.4486589514305532e-14
I01T-gNSC-r2-ldh-In-N14-VS-N70-W,0.7594014491839619,2.5441576374907865e-14
I01U-gNSC-r1-ldh-In-N14-VS-N70-W,0.3671571454752195,0.0017688948693634873
I01U-gNSC-r2-ldh-In-N14-VS-N70-W,0.6746379483957128,1.5193646140317578e-10
I02T-gNSC-r1-ldh-Tr-N14-VS-N70-W,0.02033658624041362,0.8672900301529256
I02T-gNSC-r2-ldh-Tr-N14-VS-N70-W,0.10761156312300225,0.37523488127712223
I02U-gNSC-r1-ldh-Tr-N14-VS-N70-W,0.2749361975910638,0.021253702501693703
I02U-gNSC-r2-ldh-Tr-N14-VS-N70-W,0.25473560537749157,0.033325511136045136
I03T-gNSC-r1-ldh-Di-N14-VS-N70-W,0.08499109344951729,0.4842082552846697
I03T-gNSC-r2-ldh-Di-N14-VS-N70-W,0.13223464059961265,0.2751698699516865
I03U-gNSC-r1-ldh-Di-N14-VS-N70-W,0.36405868905841904,0.001947307456876459
I03U-gNSC-r2-ldh-Di-N14-VS-N70-W,0.3831992256971511,0.0010592488680010238
I04T-gNSC-r1-ldh-In-N14-VS-N70-W,-0.030306581231967358,0.8033184988499427
I04T-gNSC-r2-ldh-In-N14-VS-N70-W,0.06254319196826226,0.6070031190715374
I04U-gNSC-r1-ldh-In-N14-VS-N70-W,0.15319943402251324,0.2054525658102412
I04U-gNSC-r2-ldh-In-N14-VS-N70-W,-0.07485516895545034,0.5379792587187398
I05T-gNSC-r1-ldh-Di-N14-VS-N70-W,0.6428959999915179,1.9647170525697144e-09
I05T-gNSC-r2-ldh-Di-N14-VS-N70-W,0.6645825912790747,3.534320127772155e-10
I05U-gNSC-r1-ldh-Di-N14-VS-N70-W,0.2887179621728602,0.015352439925859513
I05U-gNSC-r2-ldh-Di-N14-VS-N70-W,0.2509599905747023,0.0361231452792025
I06T-gNSC-r1-ldh-Tr-N14-VS-N70-W,0.3058652074349818,0.010023832696288346
I06T-gNSC-r2-ldh-Tr-N14-VS-N70-W,0.33208603843506435,0.004975992236468336
