source,spearman,p_val
I01T-gNSC-r1-xdx-In-N14-VS-N70-W,0.8366647200288456,1.9083281077512423e-19
I01T-gNSC-r2-xdx-In-N14-VS-N70-W,0.4817270861711242,2.4199884055031468e-05
I01U-gNSC-r1-xdx-In-N14-VS-N70-W,0.35452274975849785,0.0026021543226443667
I01U-gNSC-r2-xdx-In-N14-VS-N70-W,0.28515916801065966,0.016721984427423574
I02T-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.22687357734644478,0.05893319529087567
I02T-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.277198011093909,0.02016989234189188
I02U-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.32544446072454963,0.005975801024371819
I02U-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.3144255590784405,0.008027673908101841
I03T-gNSC-r1-xdx-Di-N14-VS-N70-W,0.2854321895036647,0.01661332504778855
I03T-gNSC-r2-xdx-Di-N14-VS-N70-W,0.22170770609503956,0.06510026967527982
I03U-gNSC-r1-xdx-Di-N14-VS-N70-W,0.2631975137460215,0.02770841102265445
I03U-gNSC-r2-xdx-Di-N14-VS-N70-W,0.1828015252266212,0.12985256503859577
I04T-gNSC-r1-xdx-In-N14-VS-N70-W,0.1793116484837875,0.137468748235972
I04T-gNSC-r2-xdx-In-N14-VS-N70-W,0.11972249671148179,0.323549048581091
I04U-gNSC-r1-xdx-In-N14-VS-N70-W,0.11739030191874042,0.3331318364180832
I04U-gNSC-r2-xdx-In-N14-VS-N70-W,0.22044285703824534,0.06668696212538938
I05T-gNSC-r1-xdx-Di-N14-VS-N70-W,0.7206013135873743,2.0210640056109448e-12
I05T-gNSC-r2-xdx-Di-N14-VS-N70-W,0.6998539352909204,1.5708742360885848e-11
I05U-gNSC-r1-xdx-Di-N14-VS-N70-W,0.31464434954240483,0.007981582221583858
I05U-gNSC-r2-xdx-Di-N14-VS-N70-W,0.35734309095715955,0.002390524542772341
I06T-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.5464310570612596,9.91107759046101e-07
I06T-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.4678604165066953,4.428136541789497e-05
I06U-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.2450593511080766,0.04088564873080906
I06U-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.32735281976062913,0.005671830106048745
I07T-gNSC-r1-xdx-In-N14-VS-N70-W,0.4676365100263449,4.470601264334749e-05
I07T-gNSC-r2-xdx-In-N14-VS-N70-W,0.512666984217535,5.6968932087270986e-06
I07U-gNSC-r1-xdx-In-N14-VS-N70-W,0.506053566653207,7.853986504791636e-06
I07U-gNSC-r2-xdx-In-N14-VS-N70-W,0.36126174575871295,0.0021220541750515765
I08T-gNSC-r1-xdx-Di-N14-VS-N70-W,0.3114511175362831,0.008677795380789428
I08T-gNSC-r2-xdx-Di-N14-VS-N70-W,0.06876267368542116,0.5716513681682946
I08U-gNSC-r1-xdx-Di-N14-VS-N70-W,0.40239214676621277,0.0005538868019665982
I08U-gNSC-r2-xdx-Di-N14-VS-N70-W,0.44266838003959275,0.0001244412794557568
I09T-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.7771308707023855,2.592814839395728e-15
I09T-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.7764596573056826,2.8376283857703544e-15
I09U-gNSC-r1-xdx-Tr-N14-VS-N70-W,0.1880799512310591,0.11894745529931812
I09U-gNSC-r2-xdx-Tr-N14-VS-N70-W,0.5980394903267987,4.5819131977481726e-08
