source,spearman,p_val
I01T-gNSC-r1-bert-In-N14-VS-N70,0.7689101523253851,7.665977123048102e-15
I01T-gNSC-r2-bert-In-N14-VS-N70,0.6867306796435529,5.2645901194304783e-11
I01U-gNSC-r1-bert-In-N14-VS-N70,0.5323554262556286,2.1025475217482207e-06
I01U-gNSC-r2-bert-In-N14-VS-N70,0.23040070871116064,0.055001524160469245
I04T-gNSC-r1-bert-In-N14-VS-N70,0.7039788501162535,1.0596900718152963e-11
I04T-gNSC-r2-bert-In-N14-VS-N70,0.6746985224503916,1.511506681873609e-10
I04U-gNSC-r1-bert-In-N14-VS-N70,0.28192546585045924,0.01805607280396603
I04U-gNSC-r2-bert-In-N14-VS-N70,0.34296634312936125,0.003654896215817641
I07T-gNSC-r1-bert-In-N14-VS-N70,0.5543981843986892,6.376058015220639e-07
I07T-gNSC-r2-bert-In-N14-VS-N70,0.5120289940802742,5.87784548938304e-06
I07U-gNSC-r1-bert-In-N14-VS-N70,0.44311384817400534,0.00012227283090789835
I07U-gNSC-r2-bert-In-N14-VS-N70,0.45554868009282284,7.411572132549069e-05
I10T-gNSC-r1-bert-In-N14-VS-N70,0.51956897670342,4.045361275112211e-06
I10T-gNSC-r2-bert-In-N14-VS-N70,0.5095737866049297,6.625587676463329e-06
I10U-gNSC-r1-bert-In-N14-VS-N70,0.5644338858855719,3.59793622081516e-07
I10U-gNSC-r2-bert-In-N14-VS-N70,0.47950239669501243,2.6710342732051117e-05
I13T-gNSC-r1-bert-In-N14-VS-N70,0.3709752253726149,0.0015693234611174709
I13T-gNSC-r2-bert-In-N14-VS-N70,0.39682848217542077,0.0006711013482834287
I13U-gNSC-r1-bert-In-N14-VS-N70,0.2485943801318868,0.03797377155200729
I13U-gNSC-r2-bert-In-N14-VS-N70,0.1992281202475405,0.09823517482507071
I18T-gNSC-r1-bert-In-N14-VS-N70,0.8784883036351201,1.6789588788040444e-23
I18T-gNSC-r2-bert-In-N14-VS-N70,0.879508722995203,1.28247489691563e-23
I18U-gNSC-r1-bert-In-N14-VS-N70,0.8819891514494429,6.594763380668063e-24
I18U-gNSC-r2-bert-In-N14-VS-N70,0.879599104457873,1.2520902981017763e-23
I20T-gNSC-r1-bert-In-N14-VS-N70,0.4273918436145701,0.00022413007647084518
I20T-gNSC-r2-bert-In-N14-VS-N70,0.5055942595580983,8.02911361884003e-06
I20U-gNSC-r1-bert-In-N14-VS-N70,0.4099974935534801,0.0004237403337608992
I20U-gNSC-r2-bert-In-N14-VS-N70,0.36340686928603916,0.0019868351914723555
I24T-gNSC-r1-bert-In-N14-VS-N70,0.26629875747410076,0.025860389385869053
I24T-gNSC-r2-bert-In-N14-VS-N70,0.5564764776215895,5.672285903300577e-07
I24U-gNSC-r1-bert-In-N14-VS-N70,0.5151549213969695,5.039853726578376e-06
I24U-gNSC-r2-bert-In-N14-VS-N70,0.5629133849378897,3.928534774492679e-07
I27T-gNSC-r1-bert-In-N14-VS-N70,0.4358336289717566,0.00016247553754754367
I27T-gNSC-r2-bert-In-N14-VS-N70,0.4451726827799828,0.00011269590294895342
I27U-gNSC-r1-bert-In-N14-VS-N70,0.4788513600647131,2.748955768288155e-05
I27U-gNSC-r2-bert-In-N14-VS-N70,0.4269268916509017,0.00022808117345109576
I30T-gNSC-r1-bert-In-N14-VS-N70,0.6460195460659723,1.547568593070459e-09
I30T-gNSC-r2-bert-In-N14-VS-N70,0.4636404301185848,5.294903338873083e-05
I30U-gNSC-r1-bert-In-N14-VS-N70,0.2130593628847194,0.07658064114156365
I30U-gNSC-r2-bert-In-N14-VS-N70,0.19956536010016854,0.09765563373882992
