source,spearman,p_val
I01T-gNSC-r1-ldh-In-N14-VS-N70,0.7569389052730745,3.4400849981715816e-14
I01T-gNSC-r1-xdh-In-N14-VS-N70,0.7690215931460164,7.55640501060459e-15
I01T-gNSC-r1-xdx-In-N14-VS-N70,0.8330635516050725,3.7626273601173287e-19
I01U-gNSC-r1-ldh-In-N14-VS-N70,0.5089352930987325,6.834127141043612e-06
I01U-gNSC-r1-xdh-In-N14-VS-N70,0.6190034820037315,1.1185370568209905e-08
I01U-gNSC-r1-xdx-In-N14-VS-N70,0.35608373053643533,0.00248304171256572
I02T-gNSC-r1-ldh-Tr-N14-VS-N70,-0.03816844039020002,0.7537454971068318
I02T-gNSC-r1-xdh-Tr-N14-VS-N70,0.0034238998303069254,0.9775579278828803
I02T-gNSC-r1-xdx-Tr-N14-VS-N70,0.22321988558121797,0.06324342058321614
I02U-gNSC-r1-ldh-Tr-N14-VS-N70,0.3257178712798724,0.005931388819641148
I02U-gNSC-r1-xdh-Tr-N14-VS-N70,0.28646476264957277,0.016207836907123848
I02U-gNSC-r1-xdx-Tr-N14-VS-N70,0.3035667383279165,0.010628416939373244
I03T-gNSC-r1-ldh-Di-N14-VS-N70,0.1039031186763159,0.39200697144343344
I03T-gNSC-r1-xdh-Di-N14-VS-N70,0.1794570361909466,0.1371448819054638
I03T-gNSC-r1-xdx-Di-N14-VS-N70,0.28919952520621434,0.015174747681693983
I03U-gNSC-r1-ldh-Di-N14-VS-N70,0.36512541268874976,0.0018841398396319644
I03U-gNSC-r1-xdh-Di-N14-VS-N70,0.37330257121686367,0.0014578521403635111
I03U-gNSC-r1-xdx-Di-N14-VS-N70,0.2893338522190585,0.015125499222094177
I04T-gNSC-r1-ldh-In-N14-VS-N70,0.3994750889052927,0.0006127890623606549
I04T-gNSC-r1-xdh-In-N14-VS-N70,0.36804522697154135,0.0017205414114526882
I04T-gNSC-r1-xdx-In-N14-VS-N70,0.3519841403317564,0.0028068002001071634
I04U-gNSC-r1-ldh-In-N14-VS-N70,-0.06634865483115598,0.5852588349794727
I04U-gNSC-r1-xdh-In-N14-VS-N70,-0.0899035245727571,0.45921266665763283
I04U-gNSC-r1-xdx-In-N14-VS-N70,-0.05625371065618407,0.6436909329581155
I05T-gNSC-r1-ldh-Di-N14-VS-N70,0.6479976261782154,1.3285987832903513e-09
I05T-gNSC-r1-xdh-Di-N14-VS-N70,0.661093318398533,4.702018813999416e-10
I05T-gNSC-r1-xdx-Di-N14-VS-N70,0.7196447934024665,2.230391111718103e-12
I05U-gNSC-r1-ldh-Di-N14-VS-N70,0.22998833230558374,0.055449856654615895
I05U-gNSC-r1-xdh-Di-N14-VS-N70,0.21970442654461342,0.06762758878170909
I05U-gNSC-r1-xdx-Di-N14-VS-N70,0.3107584150376288,0.008835642765099672
I06T-gNSC-r1-ldh-Tr-N14-VS-N70,0.3851695370969931,0.000992804088770728
I06T-gNSC-r1-xdh-Tr-N14-VS-N70,0.3778244731788859,0.0012614421520509528
I06T-gNSC-r1-xdx-Tr-N14-VS-N70,0.538116394479649,1.5518442419084024e-06
I06U-gNSC-r1-ldh-Tr-N14-VS-N70,0.19046912597291277,0.11424849936432974
I06U-gNSC-r1-xdh-Tr-N14-VS-N70,0.19172568680015545,0.11183515143165154
I06U-gNSC-r1-xdx-Tr-N14-VS-N70,0.2567664873747461,0.031897210207461196
I07T-gNSC-r1-ldh-In-N14-VS-N70,0.47092697410612067,3.8829511792212794e-05
I07T-gNSC-r1-xdh-In-N14-VS-N70,0.47092697410612067,3.8829511792212794e-05
I07T-gNSC-r1-xdx-In-N14-VS-N70,0.47727338193496527,2.9466724412677616e-05
I07U-gNSC-r1-ldh-In-N14-VS-N70,0.555848750176646,5.876737364440839e-07
I07U-gNSC-r1-xdh-In-N14-VS-N70,0.5447225460637107,1.0878310652250127e-06
I07U-gNSC-r1-xdx-In-N14-VS-N70,0.5086684331070382,6.923091953425971e-06
I08T-gNSC-r1-ldh-Di-N14-VS-N70,0.27870025268097093,0.019476410085928115
I08T-gNSC-r1-xdh-Di-N14-VS-N70,0.28376373713019654,0.017286926089785642
I08T-gNSC-r1-xdx-Di-N14-VS-N70,0.4323877305606288,0.00018546400893437834
I08U-gNSC-r1-ldh-Di-N14-VS-N70,0.28101062632603396,0.018449645855202586
I08U-gNSC-r1-xdh-Di-N14-VS-N70,0.32176845791409403,0.00660200456664389
I08U-gNSC-r1-xdx-Di-N14-VS-N70,0.38664073384541947,0.0009456764551576972
I09T-gNSC-r1-ldh-Tr-N14-VS-N70,0.7063044330823165,8.462536720216245e-12
I09T-gNSC-r1-xdh-Tr-N14-VS-N70,0.7346027898873023,4.551649482123303e-13
I09T-gNSC-r1-xdx-Tr-N14-VS-N70,0.7755468070861671,3.206486094728601e-15
I09U-gNSC-r1-ldh-Tr-N14-VS-N70,0.17249753653456007,0.1533031997564134
I09U-gNSC-r1-xdh-Tr-N14-VS-N70,0.1936995010489511,0.10812388015087251
I09U-gNSC-r1-xdx-Tr-N14-VS-N70,0.18336611640213138,0.12865112558680236
I10T-gNSC-r1-ldh-In-N14-VS-N70,0.628800694849885,5.5808266070621966e-09
I10T-gNSC-r1-xdh-In-N14-VS-N70,0.6398523273251715,2.4726890987127355e-09
I10T-gNSC-r1-xdx-In-N14-VS-N70,0.6105379530119055,2.0012981889435796e-08
I10U-gNSC-r1-ldh-In-N14-VS-N70,0.5000565022790651,1.0448583697423009e-05
I10U-gNSC-r1-xdh-In-N14-VS-N70,0.5021376286523546,9.468964729491691e-06
I10U-gNSC-r1-xdx-In-N14-VS-N70,0.45787823019316254,6.733459910169604e-05
I11T-gNSC-r1-ldh-Di-N14-VS-N70,0.19423744281243577,0.10712912767509764
I11T-gNSC-r1-xdh-Di-N14-VS-N70,0.22851892996757492,0.057071644904716855
I11T-gNSC-r1-xdx-Di-N14-VS-N70,0.1273252271115969,0.293543192352418
I11U-gNSC-r1-ldh-Di-N14-VS-N70,0.17042992424303746,0.15836615642363602
I11U-gNSC-r1-xdh-Di-N14-VS-N70,-0.08084514653734046,0.5058520459985245
I11U-gNSC-r1-xdx-Di-N14-VS-N70,0.07725535005115632,0.5249866471849828
I12T-gNSC-r1-ldh-Tr-N14-VS-N70,0.47434215751418357,3.349439905907138e-05
I12T-gNSC-r1-xdh-Tr-N14-VS-N70,0.5344150599510976,1.8874265765808327e-06
I12T-gNSC-r1-xdx-Tr-N14-VS-N70,0.5254502355245964,3.003786485147857e-06
I12U-gNSC-r1-ldh-Tr-N14-VS-N70,0.4402984222944313,0.00013658546423859106
