source,spearman,p_val
I01T-gNSC-r1-ldh-In-N14-VS-N70,0.7569389052730745,3.4400849981715816e-14
I01T-gNSC-r2-ldh-In-N14-VS-N70,0.7556302406386799,4.032465835514111e-14
I01U-gNSC-r1-ldh-In-N14-VS-N70,0.5089352930987325,6.834127141043612e-06
I01U-gNSC-r2-ldh-In-N14-VS-N70,0.7117009094597233,4.979175462237854e-12
I02T-gNSC-r1-ldh-Tr-N14-VS-N70,-0.03816844039020002,0.7537454971068318
I02T-gNSC-r2-ldh-Tr-N14-VS-N70,0.20437694691778385,0.08967471634379665
I02U-gNSC-r1-ldh-Tr-N14-VS-N70,0.3257178712798724,0.005931388819641148
I02U-gNSC-r2-ldh-Tr-N14-VS-N70,0.23844049397403672,0.04683519727152415
I03T-gNSC-r1-ldh-Di-N14-VS-N70,0.1039031186763159,0.39200697144343344
I03T-gNSC-r2-ldh-Di-N14-VS-N70,0.12144112933699469,0.31660091483749153
I03U-gNSC-r1-ldh-Di-N14-VS-N70,0.36512541268874976,0.0018841398396319644
I03U-gNSC-r2-ldh-Di-N14-VS-N70,0.3814161972719889,0.0011228168582033266
I04T-gNSC-r1-ldh-In-N14-VS-N70,0.3994750889052927,0.0006127890623606549
I04T-gNSC-r2-ldh-In-N14-VS-N70,0.12449720233200248,0.30448404805181856
I04U-gNSC-r1-ldh-In-N14-VS-N70,-0.06634865483115598,0.5852588349794727
I04U-gNSC-r2-ldh-In-N14-VS-N70,0.17159576303217655,0.15549636620142845
I05T-gNSC-r1-ldh-Di-N14-VS-N70,0.6479976261782154,1.3285987832903513e-09
I05T-gNSC-r2-ldh-Di-N14-VS-N70,0.6384146944496426,2.753966800381901e-09
I05U-gNSC-r1-ldh-Di-N14-VS-N70,0.22998833230558374,0.055449856654615895
I05U-gNSC-r2-ldh-Di-N14-VS-N70,0.2831172384323994,0.0175541603207683
I06T-gNSC-r1-ldh-Tr-N14-VS-N70,0.3851695370969931,0.000992804088770728
I06T-gNSC-r2-ldh-Tr-N14-VS-N70,0.49863569013668924,1.1170859613405539e-05
I06U-gNSC-r1-ldh-Tr-N14-VS-N70,0.19046912597291277,0.11424849936432974
I06U-gNSC-r2-ldh-Tr-N14-VS-N70,0.2223416918595572,0.06431649765969691
I07T-gNSC-r1-ldh-In-N14-VS-N70,0.47092697410612067,3.8829511792212794e-05
I07T-gNSC-r2-ldh-In-N14-VS-N70,0.5187757805192483,4.209301331646321e-06
I07U-gNSC-r1-ldh-In-N14-VS-N70,0.555848750176646,5.876737364440839e-07
I07U-gNSC-r2-ldh-In-N14-VS-N70,0.39884769331053815,0.0006261794103085979
I08T-gNSC-r1-ldh-Di-N14-VS-N70,0.27870025268097093,0.019476410085928115
I08T-gNSC-r2-ldh-Di-N14-VS-N70,0.15489680293325303,0.2004155631621426
I08U-gNSC-r1-ldh-Di-N14-VS-N70,0.28101062632603396,0.018449645855202586
I08U-gNSC-r2-ldh-Di-N14-VS-N70,0.3286798566582072,0.005468572367218705
I09T-gNSC-r1-ldh-Tr-N14-VS-N70,0.7063044330823165,8.462536720216245e-12
I09T-gNSC-r2-ldh-Tr-N14-VS-N70,0.7462550544540612,1.223395181871411e-13
I09U-gNSC-r1-ldh-Tr-N14-VS-N70,0.17249753653456007,0.1533031997564134
I09U-gNSC-r2-ldh-Tr-N14-VS-N70,0.45673141861146577,7.059770819617771e-05
I10T-gNSC-r1-ldh-In-N14-VS-N70,0.628800694849885,5.5808266070621966e-09
I10T-gNSC-r2-ldh-In-N14-VS-N70,0.6327856584828008,4.176765781929987e-09
I10U-gNSC-r1-ldh-In-N14-VS-N70,0.5000565022790651,1.0448583697423009e-05
I10U-gNSC-r2-ldh-In-N14-VS-N70,0.15635802239787372,0.1961504594860851
I11T-gNSC-r1-ldh-Di-N14-VS-N70,0.19423744281243577,0.10712912767509764
I11T-gNSC-r2-ldh-Di-N14-VS-N70,0.2040682660630104,0.09017079909973955
I11U-gNSC-r1-ldh-Di-N14-VS-N70,0.17042992424303746,0.15836615642363602
I11U-gNSC-r2-ldh-Di-N14-VS-N70,0.07164146789311876,0.5556190743539883
I12T-gNSC-r1-ldh-Tr-N14-VS-N70,0.47434215751418357,3.349439905907138e-05
I12T-gNSC-r2-ldh-Tr-N14-VS-N70,0.5411065078483904,1.322576599354649e-06
