source,spearman,p_val
I01T-gNSC-r1-xdh-In-N14-VS-N70,0.7690215931460164,7.55640501060459e-15
I01T-gNSC-r2-xdh-In-N14-VS-N70,0.758922328072988,2.6987267016213752e-14
I01U-gNSC-r1-xdh-In-N14-VS-N70,0.6190034820037315,1.1185370568209905e-08
I01U-gNSC-r2-xdh-In-N14-VS-N70,0.3008864036703017,0.011373269947909947
I02T-gNSC-r1-xdh-Tr-N14-VS-N70,0.0034238998303069254,0.9775579278828803
I02T-gNSC-r2-xdh-Tr-N14-VS-N70,0.1806853984275393,0.1344315055319159
I02U-gNSC-r1-xdh-Tr-N14-VS-N70,0.28646476264957277,0.016207836907123848
I02U-gNSC-r2-xdh-Tr-N14-VS-N70,0.22883564023892947,0.05671886751389534
I03T-gNSC-r1-xdh-Di-N14-VS-N70,0.1794570361909466,0.1371448819054638
I03T-gNSC-r2-xdh-Di-N14-VS-N70,0.1980128977183943,0.10034581565798514
I03U-gNSC-r1-xdh-Di-N14-VS-N70,0.37330257121686367,0.0014578521403635111
I03U-gNSC-r2-xdh-Di-N14-VS-N70,0.3753979087884726,0.0013636508887102231
I04T-gNSC-r1-xdh-In-N14-VS-N70,0.36804522697154135,0.0017205414114526882
I04T-gNSC-r2-xdh-In-N14-VS-N70,0.1520865182015392,0.2088036242464341
I04U-gNSC-r1-xdh-In-N14-VS-N70,-0.0899035245727571,0.45921266665763283
I04U-gNSC-r2-xdh-In-N14-VS-N70,0.389990370527674,0.000845843292202963
I05T-gNSC-r1-xdh-Di-N14-VS-N70,0.661093318398533,4.702018813999416e-10
I05T-gNSC-r2-xdh-Di-N14-VS-N70,0.668203736271137,2.617541620084117e-10
I05U-gNSC-r1-xdh-Di-N14-VS-N70,0.21970442654461342,0.06762758878170909
I05U-gNSC-r2-xdh-Di-N14-VS-N70,0.24586313316978153,0.04020780876737463
I06T-gNSC-r1-xdh-Tr-N14-VS-N70,0.3778244731788859,0.0012614421520509528
I06T-gNSC-r2-xdh-Tr-N14-VS-N70,0.48697806243618574,1.911822011725737e-05
I06U-gNSC-r1-xdh-Tr-N14-VS-N70,0.19172568680015545,0.11183515143165154
I06U-gNSC-r2-xdh-Tr-N14-VS-N70,0.27145554115274906,0.02301827778686237
I07T-gNSC-r1-xdh-In-N14-VS-N70,0.47092697410612067,3.8829511792212794e-05
I07T-gNSC-r2-xdh-In-N14-VS-N70,0.5187757805192483,4.209301331646321e-06
I07U-gNSC-r1-xdh-In-N14-VS-N70,0.5447225460637107,1.0878310652250127e-06
I07U-gNSC-r2-xdh-In-N14-VS-N70,0.4020265796693572,0.0005609746143655193
I08T-gNSC-r1-xdh-Di-N14-VS-N70,0.28376373713019654,0.017286926089785642
I08T-gNSC-r2-xdh-Di-N14-VS-N70,0.2736194198204048,0.0219072227938974
I08U-gNSC-r1-xdh-Di-N14-VS-N70,0.32176845791409403,0.00660200456664389
I08U-gNSC-r2-xdh-Di-N14-VS-N70,0.3944306367240978,0.0007282398679315687
I09T-gNSC-r1-xdh-Tr-N14-VS-N70,0.7346027898873023,4.551649482123303e-13
I09T-gNSC-r2-xdh-Tr-N14-VS-N70,0.7555714964002948,4.061233438973977e-14
I09U-gNSC-r1-xdh-Tr-N14-VS-N70,0.1936995010489511,0.10812388015087251
I09U-gNSC-r2-xdh-Tr-N14-VS-N70,0.47657498664560377,3.03832961881393e-05
I10T-gNSC-r1-xdh-In-N14-VS-N70,0.6398523273251715,2.4726890987127355e-09
I10T-gNSC-r2-xdh-In-N14-VS-N70,0.6473971918034919,1.3917345973236597e-09
I10U-gNSC-r1-xdh-In-N14-VS-N70,0.5021376286523546,9.468964729491691e-06
I10U-gNSC-r2-xdh-In-N14-VS-N70,0.15007301413768367,0.21496445005452208
I11T-gNSC-r1-xdh-Di-N14-VS-N70,0.22851892996757492,0.057071644904716855
I11T-gNSC-r2-xdh-Di-N14-VS-N70,0.2885575648673072,0.015412021220333121
I11U-gNSC-r1-xdh-Di-N14-VS-N70,-0.08084514653734046,0.5058520459985245
I11U-gNSC-r2-xdh-Di-N14-VS-N70,-0.08753093647470207,0.4711957707554414
I12T-gNSC-r1-xdh-Tr-N14-VS-N70,0.5344150599510976,1.8874265765808327e-06
I12T-gNSC-r2-xdh-Tr-N14-VS-N70,0.5136758608591676,5.421349500779874e-06
I12U-gNSC-r1-xdh-Tr-N14-VS-N70,0.4250168056756288,0.0002449925026833603
I12U-gNSC-r2-xdh-Tr-N14-VS-N70,0.4147891248309426,0.00035677036274746045
I13T-gNSC-r1-xdh-In-N14-VS-N70,0.3694958779962601,0.0016441089076168658
I13T-gNSC-r2-xdh-In-N14-VS-N70,0.3658412278575334,0.0018427897298502797
I13U-gNSC-r1-xdh-In-N14-VS-N70,0.2762536368153681,0.020616541880768856
I13U-gNSC-r2-xdh-In-N14-VS-N70,0.28347595411773063,0.017405449062888087
I14T-gNSC-r1-xdh-Di-N14-VS-N70,0.1944373625871117,0.10676125163988982
I14T-gNSC-r2-xdh-Di-N14-VS-N70,0.3663378109292514,0.0018145846803765873
I14U-gNSC-r1-xdh-Di-N14-VS-N70,0.35278819479048096,0.0027404799602899804
I14U-gNSC-r2-xdh-Di-N14-VS-N70,0.37966619421201697,0.0011885399826846576
I15T-gNSC-r1-xdh-Tr-N14-VS-N70,0.7367809658099589,3.579228602364368e-13
I15T-gNSC-r2-xdh-Tr-N14-VS-N70,0.7275174054053384,9.789686380589314e-13
I15U-gNSC-r1-xdh-Tr-N14-VS-N70,0.6583200937267496,5.883875386123313e-10
I15U-gNSC-r2-xdh-Tr-N14-VS-N70,0.7080658691059466,7.126665305344855e-12
I16T-gNSC-r1-xdh-Tr-N14-VS-N70,0.24935075162572887,0.03737367306871835
I16T-gNSC-r2-xdh-Tr-N14-VS-N70,0.13424016444536657,0.26789003456718635
I16U-gNSC-r1-xdh-Tr-N14-VS-N70,0.29998278223315533,0.01163439339366007
I16U-gNSC-r2-xdh-Tr-N14-VS-N70,0.3932420499809522,0.0007581697936356031
I17T-gNSC-r1-xdh-Di-N14-VS-N70,0.6658044859107022,3.1952238786821566e-10
I17T-gNSC-r2-xdh-Di-N14-VS-N70,0.470185903431781,4.008674883870036e-05
I17U-gNSC-r1-xdh-Di-N14-VS-N70,0.40881320825863754,0.00044197161325629355
I17U-gNSC-r2-xdh-Di-N14-VS-N70,0.40995380646258445,0.0004244004830137289
I18T-gNSC-r1-xdh-In-N14-VS-N70,0.8208432974988497,3.3578794018812596e-18
I18T-gNSC-r2-xdh-In-N14-VS-N70,0.8358474550771976,2.2293987080254958e-19
I18U-gNSC-r1-xdh-In-N14-VS-N70,0.9011277678233508,2.2222334501065382e-26
I18U-gNSC-r2-xdh-In-N14-VS-N70,0.894103468040529,2.03639798277775e-25
I19T-gNSC-r1-xdh-Tr-N14-VS-N70,0.02166777464156543,0.8586897543855521
I19T-gNSC-r2-xdh-Tr-N14-VS-N70,-0.047101173935938524,0.6986110413427232
I19U-gNSC-r1-xdh-Tr-N14-VS-N70,0.22207115430060806,0.0646500161003952
I19U-gNSC-r2-xdh-Tr-N14-VS-N70,0.3729312772618648,0.0014751432045590179
I20T-gNSC-r1-xdh-In-N14-VS-N70,0.4346629610208289,0.00016997363878534831
I20T-gNSC-r2-xdh-In-N14-VS-N70,0.34126271742132297,0.0038385573530799787
I20U-gNSC-r1-xdh-In-N14-VS-N70,0.4163171623918091,0.0003375428382441507
I20U-gNSC-r2-xdh-In-N14-VS-N70,0.41627436619083125,0.00033806818686093814
I21T-gNSC-r1-xdh-Di-N14-VS-N70,0.24127291309376517,0.04420738221877616
I21T-gNSC-r2-xdh-Di-N14-VS-N70,0.24530959268483557,0.04067360919391004
I21U-gNSC-r1-xdh-Di-N14-VS-N70,-0.10331642778076582,0.39470051868655964
I21U-gNSC-r2-xdh-Di-N14-VS-N70,-0.19957223482130174,0.09764384748956849
I22T-gNSC-r1-xdh-Tr-N14-VS-N70,0.05087391388814358,0.6757652575238664
I22T-gNSC-r2-xdh-Tr-N14-VS-N70,0.03345199795437858,0.7833799997535466
I22U-gNSC-r1-xdh-Tr-N14-VS-N70,0.2172004401734154,0.07089692097877207
I22U-gNSC-r2-xdh-Tr-N14-VS-N70,0.24561696237897937,0.04041441068962155
I23T-gNSC-r1-xdh-Di-N14-VS-N70,0.02665062064450819,0.8266507200068711
I23T-gNSC-r2-xdh-Di-N14-VS-N70,-0.03606931388433437,0.7668938604687626
I23U-gNSC-r1-xdh-Di-N14-VS-N70,-0.1732811722202889,0.1514161017248139
I23U-gNSC-r2-xdh-Di-N14-VS-N70,-0.05170850924352207,0.6707496935377735
I24T-gNSC-r1-xdh-In-N14-VS-N70,0.5841635522609884,1.1037134402650183e-07
I24T-gNSC-r2-xdh-In-N14-VS-N70,0.6295609921663718,5.282311573666959e-09
I24U-gNSC-r1-xdh-In-N14-VS-N70,0.3675662199087838,0.0017464722701293778
I24U-gNSC-r2-xdh-In-N14-VS-N70,0.007376995175992724,0.9516699233063195
I25T-gNSC-r1-xdh-Tr-N14-VS-N70,0.49863510655309795,1.1171165626190069e-05
I25T-gNSC-r2-xdh-Tr-N14-VS-N70,0.04079097941407266,0.7374165968607753
I25U-gNSC-r1-xdh-Tr-N14-VS-N70,-0.007079630111211435,0.9536159057328237
I25U-gNSC-r2-xdh-Tr-N14-VS-N70,0.15882940236248141,0.18908552429961004
I26T-gNSC-r1-xdh-Di-N14-VS-N70,0.5573316081545744,5.404533489903358e-07
I26T-gNSC-r2-xdh-Di-N14-VS-N70,0.5219305661873396,3.591969438015666e-06
I26U-gNSC-r1-xdh-Di-N14-VS-N70,0.43188379527097776,0.00018906585514929245
I26U-gNSC-r2-xdh-Di-N14-VS-N70,0.39386003870198866,0.0007424716010392159
I27T-gNSC-r1-xdh-In-N14-VS-N70,0.41574370764432717,0.0003446447518366467
I27T-gNSC-r2-xdh-In-N14-VS-N70,0.44756383784296244,0.00010244343573162954
I27U-gNSC-r1-xdh-In-N14-VS-N70,0.4442694541400421,0.00011680886986594835
I27U-gNSC-r2-xdh-In-N14-VS-N70,0.44676282078577306,0.00010577792225903307
I28T-gNSC-r1-xdh-Di-N14-VS-N70,0.37010265913337814,0.0016130549385757937
I28T-gNSC-r2-xdh-Di-N14-VS-N70,0.23441305271243879,0.05079172679512007
I28U-gNSC-r1-xdh-Di-N14-VS-N70,0.2692057634874917,0.024223810309652632
I28U-gNSC-r2-xdh-Di-N14-VS-N70,0.1084777969632897,0.37138058459970646
I29T-gNSC-r1-xdh-Tr-N14-VS-N70,0.3322107372974172,0.004958728462019882
I29T-gNSC-r2-xdh-Tr-N14-VS-N70,0.3982455402302396,0.0006392807243166124
I29U-gNSC-r1-xdh-Tr-N14-VS-N70,0.16970224847924598,0.16017714293131727
I29U-gNSC-r2-xdh-Tr-N14-VS-N70,0.40293062846574823,0.0005435948732292435
I30T-gNSC-r1-xdh-In-N14-VS-N70,0.542573908911622,1.222092086795136e-06
I30T-gNSC-r2-xdh-In-N14-VS-N70,0.2355578125600167,0.04964024347935533
I30U-gNSC-r1-xdh-In-N14-VS-N70,0.09034932821722057,0.45697985165088795
I30U-gNSC-r2-xdh-In-N14-VS-N70,0.1479277587504533,0.221668144244524
