source,spearman,p_val
I03T-gNSC-r1-ldh-Di-N14-VS-N70,0.08719498483550875,0.47290606666436197
I03T-gNSC-r1-xdh-Di-N14-VS-N70,0.16864478272462952,0.1628361064217746
I03T-gNSC-r1-xdx-Di-N14-VS-N70,0.31568389519513745,0.007765736602067192
I03T-gNSC-r2-ldh-Di-N14-VS-N70,0.12628219808829105,0.2975479782290929
I03T-gNSC-r2-xdh-Di-N14-VS-N70,0.16116803204704924,0.18257073983115066
I03T-gNSC-r2-xdx-Di-N14-VS-N70,0.158604833077335,0.1897198188535816
I03U-gNSC-r1-ldh-Di-N14-VS-N70,0.36661884987362914,0.001798794584744996
I03U-gNSC-r1-xdh-Di-N14-VS-N70,0.3790375403951706,0.0012129850934338542
I03U-gNSC-r1-xdx-Di-N14-VS-N70,0.33111760385687417,0.005111884568116169
I03U-gNSC-r2-ldh-Di-N14-VS-N70,0.40123482768439295,0.0005766094373209577
I03U-gNSC-r2-xdh-Di-N14-VS-N70,0.3947198485767134,0.0007211214173213638
I03U-gNSC-r2-xdx-Di-N14-VS-N70,0.3142092269938349,0.008073476603071032
I05T-gNSC-r1-ldh-Di-N14-VS-N70,0.6323794527962053,4.302806272330302e-09
I05T-gNSC-r1-xdh-Di-N14-VS-N70,0.6473650716941742,1.3951913074359585e-09
I05T-gNSC-r1-xdx-Di-N14-VS-N70,0.6885123388127272,4.484074159654832e-11
I05T-gNSC-r2-ldh-Di-N14-VS-N70,0.6661707602080935,3.099779213099875e-10
I05T-gNSC-r2-xdh-Di-N14-VS-N70,0.6831376063451498,7.251403641253879e-11
I05T-gNSC-r2-xdx-Di-N14-VS-N70,0.695709014489653,2.317656900252706e-11
I05U-gNSC-r1-ldh-Di-N14-VS-N70,0.37461337669952405,0.0013982588290008785
I05U-gNSC-r1-xdh-Di-N14-VS-N70,0.3474944688604048,0.0032041415911973565
I05U-gNSC-r1-xdx-Di-N14-VS-N70,0.31448146606016875,0.00801587410833728
I05U-gNSC-r2-ldh-Di-N14-VS-N70,0.24127270685441746,0.044207569035093534
I05U-gNSC-r2-xdh-Di-N14-VS-N70,0.27383588734166564,0.021798629816519772
