source,spearman,p_val
I02T-gNSC-r1-ldh-Tr-N14-VS-N70,-0.006962695628073816,0.9543812096995219
I02T-gNSC-r1-xdh-Tr-N14-VS-N70,0.004205192409034681,0.972438725064279
I02T-gNSC-r1-xdx-Tr-N14-VS-N70,0.21276435254236123,0.07699902175074286
I02T-gNSC-r2-ldh-Tr-N14-VS-N70,-0.018383354793594233,0.879936651266092
I02T-gNSC-r2-xdh-Tr-N14-VS-N70,-0.05763181727791791,0.6355750993559954
I02T-gNSC-r2-xdx-Tr-N14-VS-N70,0.05866588098505759,0.6295132881143901
I02U-gNSC-r1-ldh-Tr-N14-VS-N70,0.3196015080356927,0.006997563674319186
I02U-gNSC-r1-xdh-Tr-N14-VS-N70,0.349936837749073,0.0029821803370568664
I02U-gNSC-r1-xdx-Tr-N14-VS-N70,0.23435843113661614,0.05084721135558362
I02U-gNSC-r2-ldh-Tr-N14-VS-N70,0.2647691888283544,0.02675839827330641
I02U-gNSC-r2-xdh-Tr-N14-VS-N70,0.09007218391589437,0.4583672315906073
I02U-gNSC-r2-xdx-Tr-N14-VS-N70,0.3305670493832734,0.005190592448053362
I06T-gNSC-r1-ldh-Tr-N14-VS-N70,0.3058652074349818,0.010023832696288346
I06T-gNSC-r1-xdh-Tr-N14-VS-N70,0.3032329186816778,0.01071880923333296
I06T-gNSC-r1-xdx-Tr-N14-VS-N70,0.543140242128491,1.1852666438495888e-06
I06T-gNSC-r2-ldh-Tr-N14-VS-N70,0.3344811705288554,0.00465352727051446
I06T-gNSC-r2-xdh-Tr-N14-VS-N70,0.3238462856227131,0.006241313099340168
I06T-gNSC-r2-xdx-Tr-N14-VS-N70,0.5262188327996393,2.887974763266374e-06
I06U-gNSC-r1-ldh-Tr-N14-VS-N70,0.2213401116922878,0.06555822852790147
I06U-gNSC-r1-xdh-Tr-N14-VS-N70,0.22370748299674276,0.0626538929338256
I06U-gNSC-r1-xdx-Tr-N14-VS-N70,0.34252220665763644,0.003702008051251008
I06U-gNSC-r2-ldh-Tr-N14-VS-N70,0.17851956876222494,0.13924332433693548
I06U-gNSC-r2-xdh-Tr-N14-VS-N70,0.2366117267089247,0.04859914925800874
I06U-gNSC-r2-xdx-Tr-N14-VS-N70,0.30866609652496074,0.009327749124005864
I09T-gNSC-r1-ldh-Tr-N14-VS-N70,0.7369117639719597,3.5276774282476625e-13
I09T-gNSC-r1-xdh-Tr-N14-VS-N70,0.7479465122137521,1.0050035700335442e-13
I09T-gNSC-r1-xdx-Tr-N14-VS-N70,0.7757884439089799,3.104592342953913e-15
I09T-gNSC-r2-ldh-Tr-N14-VS-N70,0.741476015069538,2.1148094760575643e-13
I09T-gNSC-r2-xdh-Tr-N14-VS-N70,0.7501480921549368,7.762433809027822e-14
I09T-gNSC-r2-xdx-Tr-N14-VS-N70,0.7771308707023855,2.592814839395728e-15
I09U-gNSC-r1-ldh-Tr-N14-VS-N70,0.13015651522806462,0.2828512825140156
I09U-gNSC-r1-xdh-Tr-N14-VS-N70,0.14026356077242327,0.2468089902916442
I09U-gNSC-r1-xdx-Tr-N14-VS-N70,0.17083019757760307,0.1573764702488994
I09U-gNSC-r2-ldh-Tr-N14-VS-N70,0.431700527813217,0.00019039160494414156
I09U-gNSC-r2-xdh-Tr-N14-VS-N70,0.48676437064653555,1.930394847217087e-05
I09U-gNSC-r2-xdx-Tr-N14-VS-N70,0.5829716864194839,1.1880244281999573e-07
I12T-gNSC-r1-ldh-Tr-N14-VS-N70,0.45454662415135894,7.722237760536257e-05
I12T-gNSC-r1-xdh-Tr-N14-VS-N70,0.4135829527288292,0.00037264923168233197
I12T-gNSC-r1-xdx-Tr-N14-VS-N70,0.6318270995328411,4.48000779325945e-09
I12T-gNSC-r2-ldh-Tr-N14-VS-N70,0.27786666332476206,0.01985866258787563
I12T-gNSC-r2-xdh-Tr-N14-VS-N70,0.28309971873161927,0.017561451195082053
I12T-gNSC-r2-xdx-Tr-N14-VS-N70,0.39488121373383134,0.0007171772142821758
I12U-gNSC-r1-ldh-Tr-N14-VS-N70,0.4485149445765992,9.861018916594126e-05
I12U-gNSC-r1-xdh-Tr-N14-VS-N70,0.4432146278257776,0.00012178711095079653
I12U-gNSC-r1-xdx-Tr-N14-VS-N70,0.2888189692167925,0.015315021587901403
I12U-gNSC-r2-ldh-Tr-N14-VS-N70,0.36096730425993495,0.0021412444630062913
I12U-gNSC-r2-xdh-Tr-N14-VS-N70,0.40153113468080315,0.0005707123727801234
I12U-gNSC-r2-xdx-Tr-N14-VS-N70,0.4073668237210996,0.0004652074226087532
I15T-gNSC-r1-ldh-Tr-N14-VS-N70,0.742314508529533,1.9228380744685938e-13
I15T-gNSC-r1-xdh-Tr-N14-VS-N70,0.7413717568069387,2.139926973333954e-13
I15T-gNSC-r1-xdx-Tr-N14-VS-N70,0.7595640182134028,2.4936712837403307e-14
