source,spearman,p_val
I01T-gNSC-r2-ldh-In-N50-VS-N70-W,0.7666512143867036,1.0246054031021191e-14
I01T-gNSC-r2-xdh-In-N50-VS-N70-W,0.7711355934861437,5.741781088356846e-15
I01T-gNSC-r2-xdx-In-N50-VS-N70-W,0.7697396349398498,6.88567193609652e-15
I01U-gNSC-r2-ldh-In-N50-VS-N70-W,0.48726186608343913,1.887412583883155e-05
I01U-gNSC-r2-xdh-In-N50-VS-N70-W,0.5976702657541444,4.6928975671536646e-08
I01U-gNSC-r2-xdx-In-N50-VS-N70-W,0.32550451734812125,0.005966020532458821
I02T-gNSC-r2-ldh-Tr-N50-VS-N70-W,-0.02438092429500435,0.8412128865487756
I02T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.006411194984265988,0.9579911723242387
I02T-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.22818339137548843,0.057447339474534134
I02U-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.2837167072753616,0.017306247822284362
I02U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.34358696222419655,0.0035899567932762854
I02U-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.35249813207843494,0.00276424185669138
I03T-gNSC-r2-ldh-Di-N50-VS-N70-W,0.10991201912188239,0.36505206423055514
I03T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.1705096138973915,0.15816875527156232
I03T-gNSC-r2-xdx-Di-N50-VS-N70-W,0.30204613995190815,0.01104560006535155
I03U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.41376804262467964,0.0003701713659429646
I03U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4104054727626515,0.0004176205141971156
I03U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.31008243670861857,0.008992090978532674
I04T-gNSC-r2-ldh-In-N50-VS-N70-W,0.007381980921009525,0.9516372985341944
I04T-gNSC-r2-xdh-In-N50-VS-N70-W,-0.01453008499499754,0.9049705216757775
I04T-gNSC-r2-xdx-In-N50-VS-N70-W,0.05817424953844274,0.632392283024797
I04U-gNSC-r2-ldh-In-N50-VS-N70-W,-0.006693386898622681,0.9561439164109166
I04U-gNSC-r2-xdh-In-N50-VS-N70-W,-0.017849031729660486,0.883401602289425
I04U-gNSC-r2-xdx-In-N50-VS-N70-W,0.004663425298220721,0.9694367844103718
I05T-gNSC-r2-ldh-Di-N50-VS-N70-W,0.6558599590025973,7.164812258680223e-10
I05T-gNSC-r2-xdh-Di-N50-VS-N70-W,0.6914980994665746,3.417934937210853e-11
I05T-gNSC-r2-xdx-Di-N50-VS-N70-W,0.7028601415863451,1.1798656839514839e-11
I05U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.27545682734168125,0.02099993134183089
I05U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.26556755959204326,0.026286444821404475
I05U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.3139462774756786,0.008129457164363684
I06T-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.35198705469404384,0.0028065572521111504
I06T-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.37357891826539297,0.001445101492296155
I06T-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.5122182651270912,5.823609554537627e-06
I06U-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.15426020670577834,0.2022942531204828
I06U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.15320400413359853,0.20543888417928302
I06U-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.3027295096537432,0.01085638684457356
