source,spearman,p_val
I01U-gNSC-r1-ldh-In-N50-VS-N70-W,0.3625245894571012,0.002041485014930751
I01U-gNSC-r1-xdh-In-N50-VS-N70-W,0.3331463892184578,0.004830873816076475
I01U-gNSC-r1-xdx-In-N50-VS-N70-W,0.3546028000548023,0.002595923939806161
I01U-gNSC-r2-ldh-In-N50-VS-N70-W,0.48726186608343913,1.887412583883155e-05
I01U-gNSC-r2-xdh-In-N50-VS-N70-W,0.5976702657541444,4.6928975671536646e-08
I01U-gNSC-r2-xdx-In-N50-VS-N70-W,0.32550451734812125,0.005966020532458821
I02U-gNSC-r1-ldh-Tr-N50-VS-N70-W,0.2707501547329668,0.023390649603051882
I02U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.30233945146176394,0.010964039176265717
I02U-gNSC-r1-xdx-Tr-N50-VS-N70-W,0.3027396537007267,0.010853599482352731
I02U-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.2837167072753616,0.017306247822284362
I02U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.34358696222419655,0.0035899567932762854
I02U-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.35249813207843494,0.00276424185669138
I03U-gNSC-r1-ldh-Di-N50-VS-N70-W,0.41489526774888236,0.00035540306754530405
I03U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.41806678250511337,0.0003166938097608077
I03U-gNSC-r1-xdx-Di-N50-VS-N70-W,0.3003195208023891,0.011536483005405176
I03U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.41376804262467964,0.0003701713659429646
I03U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.4104054727626515,0.0004176205141971156
I03U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.31008243670861857,0.008992090978532674
I04U-gNSC-r1-ldh-In-N50-VS-N70-W,-0.02684669936387458,0.8253953537824648
I04U-gNSC-r1-xdh-In-N50-VS-N70-W,-0.01539844745530136,0.8993200018032499
I04U-gNSC-r1-xdx-In-N50-VS-N70-W,0.056217134771492136,0.6439069052192437
I04U-gNSC-r2-ldh-In-N50-VS-N70-W,-0.007973542862840135,0.9477669251670799
I04U-gNSC-r2-xdh-In-N50-VS-N70-W,-0.017849031729660486,0.883401602289425
I04U-gNSC-r2-xdx-In-N50-VS-N70-W,0.0073151769383854445,0.9520744443207616
I05U-gNSC-r1-ldh-Di-N50-VS-N70-W,0.2760618178393062,0.020708287107495716
I05U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.2638898923510569,0.02728644931624581
I05U-gNSC-r1-xdx-Di-N50-VS-N70-W,0.3106886078309562,0.008851688089567626
I05U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.27545682734168125,0.02099993134183089
I05U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.26556755959204326,0.026286444821404475
I05U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.3139462774756786,0.008129457164363684
I06U-gNSC-r1-ldh-Tr-N50-VS-N70-W,0.20058743676828572,0.0959155188354982
I06U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.1974552498300973,0.101326112049323
I06U-gNSC-r1-xdx-Tr-N50-VS-N70-W,0.2555828120783377,0.03272330475835313
I06U-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.15426020670577834,0.2022942531204828
I06U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.15320400413359853,0.20543888417928302
I06U-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.3027295096537432,0.01085638684457356
I07U-gNSC-r1-ldh-In-N50-VS-N70-W,0.41048276136024064,0.0004164702917185289
I07U-gNSC-r1-xdh-In-N50-VS-N70-W,0.40845752165580285,0.00044758529086985426
I07U-gNSC-r1-xdx-In-N50-VS-N70-W,0.34969993428147905,0.00300309258443698
I07U-gNSC-r2-ldh-In-N50-VS-N70-W,0.4129950840315686,0.00038062010585621314
I07U-gNSC-r2-xdh-In-N50-VS-N70-W,0.40663736951637136,0.0004773437039011897
I07U-gNSC-r2-xdx-In-N50-VS-N70-W,0.36126174575871295,0.0021220541750515765
I08U-gNSC-r1-ldh-Di-N50-VS-N70-W,0.27638326125018703,0.020554740103912818
I08U-gNSC-r1-xdh-Di-N50-VS-N70-W,0.3150680332842676,0.00789298483362128
I08U-gNSC-r1-xdx-Di-N50-VS-N70-W,0.51067154228518,6.280895561750295e-06
I08U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.27321814353830776,0.022109744263532106
I08U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.2700530258264284,0.023763672487761376
I08U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.4831111969983864,2.2750618546636085e-05
I09U-gNSC-r1-ldh-Tr-N50-VS-N70-W,0.4978550618884093,1.1587263268759047e-05
I09U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.5220417689800689,3.5718413437112756e-06
I09U-gNSC-r1-xdx-Tr-N50-VS-N70-W,0.5684802465960554,2.841322853827969e-07
I09U-gNSC-r2-ldh-Tr-N50-VS-N70-W,0.525273524736146,3.0310218879200812e-06
I09U-gNSC-r2-xdh-Tr-N50-VS-N70-W,0.526220408588245,2.8877416852659876e-06
I09U-gNSC-r2-xdx-Tr-N50-VS-N70-W,0.5989452053157631,4.3201025709079135e-08
I10U-gNSC-r1-ldh-In-N50-VS-N70-W,0.5099862953124513,6.4940376313051434e-06
I10U-gNSC-r1-xdh-In-N50-VS-N70-W,0.5099862953124513,6.4940376313051434e-06
I10U-gNSC-r1-xdx-In-N50-VS-N70-W,0.1356107968789647,0.2629899007699359
I10U-gNSC-r2-ldh-In-N50-VS-N70-W,0.4963839068526597,1.2411642415497472e-05
I10U-gNSC-r2-xdh-In-N50-VS-N70-W,0.4982132953223063,1.139440786554012e-05
I10U-gNSC-r2-xdx-In-N50-VS-N70-W,0.462451701367279,5.566017384703965e-05
I11U-gNSC-r1-ldh-Di-N50-VS-N70-W,0.20956840303387875,0.0816491766729953
I11U-gNSC-r1-xdh-Di-N50-VS-N70-W,-0.03188776176144639,0.7932790333048355
I11U-gNSC-r1-xdx-Di-N50-VS-N70-W,0.24944085228354476,0.03730271693622327
I11U-gNSC-r2-ldh-Di-N50-VS-N70-W,0.02738503292993228,0.8219510022201008
I11U-gNSC-r2-xdh-Di-N50-VS-N70-W,0.0223462293152531,0.8543127643172589
I11U-gNSC-r2-xdx-Di-N50-VS-N70-W,0.08792767726325595,0.46918030734307625
I12U-gNSC-r1-ldh-Tr-N50-VS-N70-W,0.41907836040048463,0.0003051839684405393
I12U-gNSC-r1-xdh-Tr-N50-VS-N70-W,0.4222061472807105,0.0002719748645356112
I12U-gNSC-r1-xdx-Tr-N50-VS-N70-W,0.2684059671452251,0.024665076372334394
