source,spearman,p_val
I02T-gNSC-r1-bert-Tr-N50-VS-N70,0.3827242759709565,0.0010758555593299776
I02T-gNSC-r2-bert-Tr-N50-VS-N70,0.3999746619542831,0.0006023136586142445
I02U-gNSC-r1-bert-Tr-N50-VS-N70,0.5393760530131143,1.4510474301213864e-06
I02U-gNSC-r2-bert-Tr-N50-VS-N70,0.5394560633057884,1.4448575449113366e-06
I06T-gNSC-r1-bert-Tr-N50-VS-N70,0.5591751819662095,4.867258827747207e-07
I06T-gNSC-r2-bert-Tr-N50-VS-N70,0.5123517317858978,5.78564630815437e-06
I06U-gNSC-r1-bert-Tr-N50-VS-N70,0.22230854124353566,0.06435729089912084
I06U-gNSC-r2-bert-Tr-N50-VS-N70,0.23174135778712607,0.05356435804162395
I09T-gNSC-r1-bert-Tr-N50-VS-N70,0.7318879279818528,6.121359381465957e-13
I09T-gNSC-r2-bert-Tr-N50-VS-N70,0.6650324043433349,3.4056801369061656e-10
I09U-gNSC-r1-bert-Tr-N50-VS-N70,0.6501840836967192,1.1209714128233467e-09
I09U-gNSC-r2-bert-Tr-N50-VS-N70,0.6229463102521987,8.47985968535086e-09
I12T-gNSC-r1-bert-Tr-N50-VS-N70,0.7452553576975921,1.3731731063651455e-13
I12T-gNSC-r2-bert-Tr-N50-VS-N70,0.6255896314594338,7.0278234605316e-09
I12U-gNSC-r1-bert-Tr-N50-VS-N70,0.505479298582658,8.073513904814991e-06
I12U-gNSC-r2-bert-Tr-N50-VS-N70,0.5108823122276297,6.2166640423786796e-06
I15T-gNSC-r1-bert-Tr-N50-VS-N70,0.7515194259825027,6.59994884926401e-14
I15T-gNSC-r2-bert-Tr-N50-VS-N70,0.7472097396509728,1.0950875163584987e-13
I15U-gNSC-r1-bert-Tr-N50-VS-N70,0.6534323730968664,8.686557679832721e-10
I15U-gNSC-r2-bert-Tr-N50-VS-N70,0.5757635189431475,1.8427822301722883e-07
I16T-gNSC-r1-bert-Tr-N50-VS-N70,0.47603321408931126,3.111248156746693e-05
I16T-gNSC-r2-bert-Tr-N50-VS-N70,0.5373163789119861,1.6192380088423301e-06
I16U-gNSC-r1-bert-Tr-N50-VS-N70,0.6087101852903456,2.264082878508276e-08
I16U-gNSC-r2-bert-Tr-N50-VS-N70,0.6461972823146499,1.5265684145243169e-09
I19T-gNSC-r1-bert-Tr-N50-VS-N70,0.46724835675655807,4.545111669452871e-05
I19T-gNSC-r2-bert-Tr-N50-VS-N70,0.4676589981915069,4.466319305747804e-05
I19U-gNSC-r1-bert-Tr-N50-VS-N70,0.493923302322455,1.3913803957954782e-05
I19U-gNSC-r2-bert-Tr-N50-VS-N70,0.478104033909272,2.841004233539126e-05
I22T-gNSC-r1-bert-Tr-N50-VS-N70,0.5775558476428688,1.6538510495170129e-07
I22T-gNSC-r2-bert-Tr-N50-VS-N70,0.564816840897938,3.518908708224764e-07
I22U-gNSC-r1-bert-Tr-N50-VS-N70,0.43149733566075216,0.00019187146943578577
I22U-gNSC-r2-bert-Tr-N50-VS-N70,0.38443136905996783,0.001017242141792951
I25T-gNSC-r1-bert-Tr-N50-VS-N70,0.7625285420711887,1.72540281969664e-14
I25T-gNSC-r2-bert-Tr-N50-VS-N70,0.7716989810982285,5.333919384969319e-15
I25U-gNSC-r1-bert-Tr-N50-VS-N70,0.7266250541372554,1.0762752325997897e-12
I25U-gNSC-r2-bert-Tr-N50-VS-N70,0.7444852980812812,1.5003897067049298e-13
I29T-gNSC-r1-bert-Tr-N50-VS-N70,0.650097998657148,1.1285256470129277e-09
I29T-gNSC-r2-bert-Tr-N50-VS-N70,0.619098137309939,1.1111757972515822e-08
I29U-gNSC-r1-bert-Tr-N50-VS-N70,0.5324472343003473,2.0924877074327786e-06
I29U-gNSC-r2-bert-Tr-N50-VS-N70,0.5038939444201903,8.70967947241276e-06
