item_model,T_ldh_r1,T_xdh_r1,T_xdx_r1,T_ldh_r2,T_xdh_r2,T_xdx_r2,U_ldh_r1,U_xdh_r1,U_xdx_r1,U_ldh_r2,U_xdh_r2,U_xdx_r2
i01_in_dance,0.758093304,0.645224311,0.800288873,0.763151171,0.777710761,0.479435046,0.36457489,0.335187654,0.347938613,0.516660079,0.513378045,0.341054287
i02_tr_eat,0.005170273,-0.02422007,0.233652439,0.018682084,0.013304953,0.131567151,0.288999377,0.39510633,0.249672758,0.363997276,0.392171514,0.236199361
i03_di_deliver,0.176951758,0.209030621,0.303932683,0.121515413,0.204359125,0.314798571,0.414685107,0.41871637,0.326341226,0.415678594,0.414398524,0.338186643
i04_in_wake,0.023669704,0.013459947,0.267634199,0.012841382,0.00789087,0.079742439,-0.072328812,-0.076589903,0.054513493,-0.013386774,0.008467317,0.099697135
i05_di_teach,0.657493756,0.670640607,0.690949188,0.661935998,0.681094101,0.709920172,0.278745054,0.266800809,0.295610251,0.287533368,0.269709418,0.315915856
i06_tr_carry,0.434581844,0.418716053,0.500112846,0.347255208,0.381971543,0.527620837,0.222057486,0.221001283,0.282716292,0.25079348,0.205340348,0.312383749
i07_in_fly,0.51129446,0.51129446,0.467811726,0.518974755,0.518770336,0.495437425,0.414533241,0.414533241,0.341804063,0.427735753,0.431196605,0.39689571
i08_di_serve,0.269457921,0.267201854,0.208316586,0.257172779,0.300512032,0.318541617,0.285286312,0.26544417,0.496826587,0.271813802,0.26579585,0.441446766
i09_tr_ride,0.740697408,0.751373123,0.775761595,0.744966325,0.755893679,0.778392752,0.490094731,0.519509884,0.202694898,0.497587464,0.522247613,0.212532371
i10_in_cry,0.632360596,0.641620078,0.610909876,0.636345559,0.645604966,0.610526345,0.504069465,0.504069465,0.217893202,0.499777127,0.499777127,0.462451701
i11_di_ask,0.216194799,0.289001884,0.130009656,0.19520016,0.21926228,0.140340078,0.250988141,-0.031708952,0.141586869,-0.147696677,0.038176048,0.007052068
i12_tr_cut,0.431962987,0.409894078,0.382791016,0.346110853,0.493236919,0.143886296,0.444561487,0.433615515,0.205620576,0.447554182,0.450399987,0.236678874
i13_in_swim,0.369495878,0.31324308,0.39291289,0.40383884,0.40383884,0.404376289,0.276253637,0.276253637,0.290698271,0.110140339,0.110140339,0.117362656
i14_di_sell,0.271917921,0.331628847,0.225117464,0.265728698,-0.048290126,0.193586123,0.251743895,0.239165572,0.259199961,0.277302385,0.278642396,0.422781527
i15_tr_plant,0.702069412,0.718663737,0.753579649,0.751332134,0.750300543,0.750628453,0.656672313,0.659614831,0.46693537,0.692874894,0.694027018,0.464247174
i16_tr_catch,0.301853914,0.318006632,0.209536274,0.364989444,0.299518105,0.218067768,0.377614176,0.407589783,0.491202572,0.395700746,0.447960359,0.491906034
i17_di_feed,0.371608911,0.388768956,0.613678824,0.646134735,0.507741019,0.495451788,0.448934693,0.439335616,0.380712205,0.398912816,0.402950533,0.374324799
i18_in_cough,0.828050122,0.821706195,0.831163528,0.856826037,0.860287708,0.872302483,0.890300386,0.887957206,0.232910165,0.892495459,0.891596524,0.894906396
i19_tr_photo,0.097865087,0.11102958,-0.016544056,0.082473353,0.156109004,-0.030827317,0.26252828,0.32811898,0.105950446,0.315104344,0.298275896,0.116619237
i20_in_laugh,0.389224668,0.363661845,0.427362705,0.416474015,0.421037576,0.395341766,0.409767132,0.416274366,0.355456265,0.416274366,0.416321443,0.367658726
i21_di_throw,0.204368861,0.22051558,0.296813338,0.363023761,0.32118105,0.298573422,-0.135867086,-0.269021617,-0.075131151,0.135069276,-0.102837742,0.169938045
i22_tr_forecast,0.191578564,0.083049488,0.342154743,0.115076907,0.063599874,0.248558818,0.2228009,0.307706867,0.131676362,0.174794283,0.149339351,0.149826347
i23_di_inject,0.055474618,0.090668001,0.109964325,0.040758682,0.060754517,0.115422408,-0.067240061,0.064677857,0.043130056,-0.030462824,0.019003678,-0.024020452
i24_in_sleep,0.629090099,0.607363131,0.201722346,0.644391068,0.649122293,0.655353887,-0.046756697,-0.018558801,0.398124854,-0.000366073,0.037306518,0.360326633
i25_tr_chase,0.2614564,0.07034888,0.057158465,0.053846829,0.053304244,0.272720048,0.25549627,0.248333602,0.312137255,0.334751266,0.247040197,0.423835552
i26_di_readto,0.596561742,0.538709938,0.454850274,0.467528557,0.480987016,0.389220626,0.46089769,0.491501836,0.412620989,0.435587933,0.438391929,0.339753976
i27_in_sing,0.447563838,0.447563838,0.44766324,0.452630074,0.447906139,0.453631621,0.448836459,0.380468152,0.430555938,0.452026595,0.452026595,0.425569204
i28_di_givedirection,0.310373361,0.373756494,0.164897614,0.38266946,0.396287001,0.166001692,0.129118937,0.067432052,0.051172494,0.086564193,-0.060066454,0.334177192
i29_tr_cuddle,0.38292137,0.391089959,0.395755048,0.390977548,0.384907311,0.395792519,0.169186552,0.149341799,0.438131669,0.348839827,0.351991304,0.428910855
i30_in_run,0.466244091,0.51613626,0.23574939,0.533736283,0.247764015,0.216865355,0.154239735,0.155263085,0.188551929,0.132257912,0.129652387,0.144068334
