item_model,xdx_r2
i01_in_dance,0.4102446665
i02_tr_eat,0.183883256
i03_di_deliver,0.326492607
i04_in_wake,0.089719787
i05_di_teach,0.512918014
i06_tr_carry,0.420002293
i07_in_fly,0.4461665675
i08_di_serve,0.3799941915
i09_tr_ride,0.4954625615
i10_in_cry,0.536489023
i11_di_ask,0.073696073
i12_tr_cut,0.190282585
i13_in_swim,0.2608694725
i14_di_sell,0.308183825
i15_tr_plant,0.6074378134999999
i16_tr_catch,0.35498690099999997
i17_di_feed,0.43488829349999997
i18_in_cough,0.8836044395
i19_tr_photo,0.04289595999999999
i20_in_laugh,0.381500246
i21_di_throw,0.2342557335
i22_tr_forecast,0.1991925825
i23_di_inject,0.045700978
i24_in_sleep,0.50784026
i25_tr_chase,0.34827779999999997
i26_di_readto,0.36448730100000004
i27_in_sing,0.43960041250000004
i28_di_givedirection,0.250089442
i29_tr_cuddle,0.412351687
i30_in_run,0.1804668445
