source,spearman,p_val
I01T-gNSC-r1-ldh-In-N50-VS-N70,0.7582280347537438,2.938815177410899e-14
I01T-gNSC-r1-xdh-In-N50-VS-N70,0.7656124531508065,1.169550585622863e-14
I01T-gNSC-r1-xdx-In-N50-VS-N70,0.8002888726920817,9.391524766737909e-17
I01T-gNSC-r2-ldh-In-N50-VS-N70,0.7631511705779502,1.5958863148786552e-14
I01T-gNSC-r2-xdh-In-N50-VS-N70,0.7777107605520215,2.3977808390983165e-15
I01T-gNSC-r2-xdx-In-N50-VS-N70,0.47946118244380637,2.675905614745528e-05
I02T-gNSC-r1-ldh-Tr-N50-VS-N70,0.005170318535698378,0.9661165586644511
I02T-gNSC-r1-xdh-Tr-N50-VS-N70,-0.0242200699405604,0.8422469926837984
I02T-gNSC-r1-xdx-Tr-N50-VS-N70,0.2336524394265827,0.051568834262579175
I02T-gNSC-r2-ldh-Tr-N50-VS-N70,0.018682084308990137,0.8780004402222616
I02T-gNSC-r2-xdh-Tr-N50-VS-N70,0.013304953031863827,0.9129505185248985
I02T-gNSC-r2-xdx-Tr-N50-VS-N70,0.20182625644017266,0.09383902988270895
I03T-gNSC-r1-ldh-Di-N50-VS-N70,0.1769517579487512,0.14280661392166366
I03T-gNSC-r1-xdh-Di-N50-VS-N70,0.20903062145596044,0.08245310754935538
I03T-gNSC-r1-xdx-Di-N50-VS-N70,0.30394864448169573,0.010525817184849792
I03T-gNSC-r2-ldh-Di-N50-VS-N70,0.12151541308573494,0.3163027729751681
I03T-gNSC-r2-xdh-Di-N50-VS-N70,0.204359125184799,0.08970329918914853
I03T-gNSC-r2-xdx-Di-N50-VS-N70,0.31479857130503835,0.00794923232363822
I04T-gNSC-r1-ldh-In-N50-VS-N70,0.023669704114694528,0.8457872062242872
I04T-gNSC-r1-xdh-In-N50-VS-N70,0.01345994710228317,0.9119404611055387
I04T-gNSC-r1-xdx-In-N50-VS-N70,0.2676341994668488,0.025097313771465263
I04T-gNSC-r2-ldh-In-N50-VS-N70,0.017792931900516815,0.8837655233115003
I04T-gNSC-r2-xdh-In-N50-VS-N70,0.006185716583388465,0.9594673350391196
I04T-gNSC-r2-xdx-In-N50-VS-N70,0.08210060910851007,0.49924584250105475
I05T-gNSC-r1-ldh-Di-N50-VS-N70,0.6575176250444636,6.275563317673916e-10
I05T-gNSC-r1-xdh-Di-N50-VS-N70,0.6706345210709969,2.1346848051315345e-10
I05T-gNSC-r1-xdx-Di-N50-VS-N70,0.6909491878552306,3.593738474895085e-11
I05T-gNSC-r2-ldh-Di-N50-VS-N70,0.6477919080837924,1.3499164088042392e-09
I05T-gNSC-r2-xdh-Di-N50-VS-N70,0.6744439483958232,1.5447944837951774e-10
I05T-gNSC-r2-xdx-Di-N50-VS-N70,0.7088953284673115,6.5699210358902004e-12
I06T-gNSC-r1-ldh-Tr-N50-VS-N70,0.43458184427019125,0.00017050479629494988
I06T-gNSC-r1-xdh-Tr-N50-VS-N70,0.41871605313842825,0.0003092615807931656
I06T-gNSC-r1-xdx-Tr-N50-VS-N70,0.5001259806699947,1.0414407344943597e-05
I06T-gNSC-r2-ldh-Tr-N50-VS-N70,0.34725520836240786,0.0032266577160088264
I06T-gNSC-r2-xdh-Tr-N50-VS-N70,0.3819715434294474,0.0011026576446734576
I06T-gNSC-r2-xdx-Tr-N50-VS-N70,0.527620836794665,2.6874324278955246e-06
I07T-gNSC-r1-ldh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-xdh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-xdx-In-N50-VS-N70,0.46781172587922887,4.437338960754369e-05
I07T-gNSC-r2-ldh-In-N50-VS-N70,0.5189747549213592,4.16760193815178e-06
I07T-gNSC-r2-xdh-In-N50-VS-N70,0.518770336426328,4.210447732304712e-06
I07T-gNSC-r2-xdx-In-N50-VS-N70,0.4954374253506075,1.2970592133772061e-05
I08T-gNSC-r1-ldh-Di-N50-VS-N70,0.2694579214477229,0.02408608375998263
I08T-gNSC-r1-xdh-Di-N50-VS-N70,0.26720185357659937,0.0253422436331311
I08T-gNSC-r1-xdx-Di-N50-VS-N70,0.2083165862849208,0.08353020130530174
I08T-gNSC-r2-ldh-Di-N50-VS-N70,0.2571727787545459,0.031617717309807176
I08T-gNSC-r2-xdh-Di-N50-VS-N70,0.3005120321443647,0.011480830041616135
I08T-gNSC-r2-xdx-Di-N50-VS-N70,0.3185416165598143,0.007198506739310828
I09T-gNSC-r1-ldh-Tr-N50-VS-N70,0.7406974075293629,2.3094380555924073e-13
I09T-gNSC-r1-xdh-Tr-N50-VS-N70,0.7514368218766061,6.664960219405898e-14
I09T-gNSC-r1-xdx-Tr-N50-VS-N70,0.7757615953731118,3.115758214810304e-15
