source,spearman,p_val
I01T-gNSC-r1-s_ldh-In-N50-VS-N70,0.7582280347537438,2.9388151774108985e-14
I01T-gNSC-r1-s_xdh-In-N50-VS-N70,0.7656124531508065,1.169550585622863e-14
I01T-gNSC-r1-s_xdx-In-N50-VS-N70,0.8002888726920817,9.391524766737908e-17
I01T-gNSC-r2-s_ldh-In-N50-VS-N70,0.7631511705779502,1.5958863148786552e-14
I01T-gNSC-r2-s_xdh-In-N50-VS-N70,0.7777107605520215,2.3977808390983165e-15
I01T-gNSC-r2-s_xdx-In-N50-VS-N70,0.4794611824438064,2.675905614745528e-05
I01U-gNSC-r1-s_ldh-In-N50-VS-N70,0.3650461516029248,0.0018887693265510605
I01U-gNSC-r1-s_xdh-In-N50-VS-N70,0.33518765381269605,0.0045620125263425145
I01U-gNSC-r1-s_xdx-In-N50-VS-N70,0.34793861288745376,0.0031627152744217145
I01U-gNSC-r2-s_ldh-In-N50-VS-N70,0.5166600787200651,4.677530198196012e-06
I01U-gNSC-r2-s_xdh-In-N50-VS-N70,0.5133780454508979,5.5013630107533e-06
I01U-gNSC-r2-s_xdx-In-N50-VS-N70,0.34105428740526783,0.003861580959276505
I02T-gNSC-r1-s_ldh-Tr-N50-VS-N70,0.005170318535698378,0.9661165586644512
I02T-gNSC-r1-s_xdh-Tr-N50-VS-N70,-0.0242200699405604,0.8422469926837984
I02T-gNSC-r1-s_xdx-Tr-N50-VS-N70,0.2336524394265827,0.051568834262579175
I02T-gNSC-r2-s_ldh-Tr-N50-VS-N70,0.018682084308990137,0.8780004402222616
I02T-gNSC-r2-s_xdh-Tr-N50-VS-N70,0.013304953031863829,0.9129505185248984
I02T-gNSC-r2-s_xdx-Tr-N50-VS-N70,0.20182625644017266,0.09383902988270897
I02U-gNSC-r1-s_ldh-Tr-N50-VS-N70,0.2889993768296705,0.015248384368499096
I02U-gNSC-r1-s_xdh-Tr-N50-VS-N70,0.3951063304533412,0.0007117074804310988
I02U-gNSC-r1-s_xdx-Tr-N50-VS-N70,0.23836045352624416,0.04691128314005925
I02U-gNSC-r2-s_ldh-Tr-N50-VS-N70,0.3639972764112995,0.001951001298227011
I02U-gNSC-r2-s_xdh-Tr-N50-VS-N70,0.3921715140342806,0.0007860781614568362
I02U-gNSC-r2-s_xdx-Tr-N50-VS-N70,0.23619936143584505,0.04900434328008227
I03T-gNSC-r1-s_ldh-Di-N50-VS-N70,0.1769517579487512,0.14280661392166366
I03T-gNSC-r1-s_xdh-Di-N50-VS-N70,0.20903062145596046,0.08245310754935538
I03T-gNSC-r1-s_xdx-Di-N50-VS-N70,0.3039486444816957,0.010525817184849792
I03T-gNSC-r2-s_ldh-Di-N50-VS-N70,0.12151541308573495,0.3163027729751681
I03T-gNSC-r2-s_xdh-Di-N50-VS-N70,0.20435912518479898,0.08970329918914853
I03T-gNSC-r2-s_xdx-Di-N50-VS-N70,0.31479857130503835,0.007949232323638221
I03U-gNSC-r1-s_ldh-Di-N50-VS-N70,0.4146851071325056,0.00035811494521834823
I03U-gNSC-r1-s_xdh-Di-N50-VS-N70,0.41871636986482347,0.0003092579945010417
I03U-gNSC-r1-s_xdx-Di-N50-VS-N70,0.32634122621194783,0.005831218131947456
I03U-gNSC-r2-s_ldh-Di-N50-VS-N70,0.4156785936826503,0.000345459730769153
I03U-gNSC-r2-s_xdh-Di-N50-VS-N70,0.41439852447381,0.000361843447683887
I03U-gNSC-r2-s_xdx-Di-N50-VS-N70,0.33818664277136523,0.004191033068102078
I04T-gNSC-r1-s_ldh-In-N50-VS-N70,0.023669704114694528,0.8457872062242872
I04T-gNSC-r1-s_xdh-In-N50-VS-N70,0.01345994710228317,0.9119404611055388
I04T-gNSC-r1-s_xdx-In-N50-VS-N70,0.2676341994668488,0.025097313771465263
I04T-gNSC-r2-s_ldh-In-N50-VS-N70,0.017792931900516815,0.8837655233115003
I04T-gNSC-r2-s_xdh-In-N50-VS-N70,0.006185716583388465,0.9594673350391196
I04T-gNSC-r2-s_xdx-In-N50-VS-N70,0.08210060910851008,0.4992458425010548
I04U-gNSC-r1-s_ldh-In-N50-VS-N70,-0.07232881197828607,0.5518231837962471
I04U-gNSC-r1-s_xdh-In-N50-VS-N70,-0.0765899025448956,0.528573036411365
I04U-gNSC-r1-s_xdx-In-N50-VS-N70,0.04240973830028962,0.7273946182599832
I04U-gNSC-r2-s_ldh-In-N50-VS-N70,-0.007991830805186097,0.9476472925909782
I04U-gNSC-r2-s_xdh-In-N50-VS-N70,0.0017190665805205795,0.9887312307873904
I04U-gNSC-r2-s_xdx-In-N50-VS-N70,0.01909261180918601,0.8753407780949765
I05T-gNSC-r1-s_ldh-Di-N50-VS-N70,0.6575176250444636,6.275563317673916e-10
I05T-gNSC-r1-s_xdh-Di-N50-VS-N70,0.6706345210709969,2.1346848051315345e-10
I05T-gNSC-r1-s_xdx-Di-N50-VS-N70,0.6909491878552306,3.593738474895085e-11
I05T-gNSC-r2-s_ldh-Di-N50-VS-N70,0.6477919080837924,1.3499164088042392e-09
I05T-gNSC-r2-s_xdh-Di-N50-VS-N70,0.6744439483958232,1.5447944837951774e-10
I05T-gNSC-r2-s_xdx-Di-N50-VS-N70,0.7088953284673115,6.5699210358902e-12
I05U-gNSC-r1-s_ldh-Di-N50-VS-N70,0.2787426152035598,0.019457153211956863
I05U-gNSC-r1-s_xdh-Di-N50-VS-N70,0.2668078129869673,0.02556723158944637
I05U-gNSC-r1-s_xdx-Di-N50-VS-N70,0.2956102511896695,0.012972707453758323
I05U-gNSC-r2-s_ldh-Di-N50-VS-N70,0.2875333684288862,0.015797181651778222
I05U-gNSC-r2-s_xdh-Di-N50-VS-N70,0.2697070577763072,0.023950660088553982
I05U-gNSC-r2-s_xdx-Di-N50-VS-N70,0.31592414833140303,0.0077165853696570435
I06T-gNSC-r1-s_ldh-Tr-N50-VS-N70,0.4345818442701913,0.00017050479629494988
I06T-gNSC-r1-s_xdh-Tr-N50-VS-N70,0.41871605313842825,0.00030926158079316564
I06T-gNSC-r1-s_xdx-Tr-N50-VS-N70,0.5001259806699947,1.0414407344943596e-05
I06T-gNSC-r2-s_ldh-Tr-N50-VS-N70,0.34725520836240786,0.0032266577160088264
I06T-gNSC-r2-s_xdh-Tr-N50-VS-N70,0.3819715434294474,0.0011026576446734576
I06T-gNSC-r2-s_xdx-Tr-N50-VS-N70,0.527620836794665,2.6874324278955246e-06
I06U-gNSC-r1-s_ldh-Tr-N50-VS-N70,0.22205748560621666,0.06466690381427605
I06U-gNSC-r1-s_xdh-Tr-N50-VS-N70,0.2210012830340368,0.06598264680058001
I06U-gNSC-r1-s_xdx-Tr-N50-VS-N70,0.2827162919498534,0.017721666525562587
I06U-gNSC-r2-s_ldh-Tr-N50-VS-N70,0.2507934797251775,0.0362509002942805
I06U-gNSC-r2-s_xdh-Tr-N50-VS-N70,0.2053403483430948,0.08814023445049786
I06U-gNSC-r2-s_xdx-Tr-N50-VS-N70,0.31238374889707554,0.008469169772096757
I07T-gNSC-r1-s_ldh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-s_xdh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-s_xdx-In-N50-VS-N70,0.4678117258792289,4.4373389607543686e-05
I07T-gNSC-r2-s_ldh-In-N50-VS-N70,0.5189747549213592,4.16760193815178e-06
I07T-gNSC-r2-s_xdh-In-N50-VS-N70,0.518770336426328,4.210447732304712e-06
I07T-gNSC-r2-s_xdx-In-N50-VS-N70,0.4954374253506075,1.297059213377206e-05
I07U-gNSC-r1-s_ldh-In-N50-VS-N70,0.4145332407691164,0.00036008636233652344
I07U-gNSC-r1-s_xdh-In-N50-VS-N70,0.4145332407691164,0.00036008636233652344
I07U-gNSC-r1-s_xdx-In-N50-VS-N70,0.341804063028734,0.0037793277915640147
I07U-gNSC-r2-s_ldh-In-N50-VS-N70,0.4277357527664011,0.0002212481007468258
I07U-gNSC-r2-s_xdh-In-N50-VS-N70,0.4311966054258836,0.000194081112152688
I07U-gNSC-r2-s_xdx-In-N50-VS-N70,0.39689571017856895,0.0006695597780738134
I08T-gNSC-r1-s_ldh-Di-N50-VS-N70,0.2694579214477229,0.02408608375998263
I08T-gNSC-r1-s_xdh-Di-N50-VS-N70,0.26720185357659937,0.0253422436331311
I08T-gNSC-r1-s_xdx-Di-N50-VS-N70,0.2083165862849208,0.08353020130530174
