,AvgWdsPerResp
I01T-gNSC-r1-In-N50,3.72
I01T-gNSC-r2-In-N50,4.48
I01U-gNSC-r1-In-N50,5.48
I01U-gNSC-r2-In-N50,5.88
I02T-gNSC-r1-Tr-N50,4.94
I02T-gNSC-r2-Tr-N50,5.4
I02U-gNSC-r1-Tr-N50,5.98
I02U-gNSC-r2-Tr-N50,5.96
I03T-gNSC-r1-Di-N50,6.18
I03T-gNSC-r2-Di-N50,6.32
I03U-gNSC-r1-Di-N50,7.86
I03U-gNSC-r2-Di-N50,7.76
I04T-gNSC-r1-In-N50,5.16
I04T-gNSC-r2-In-N50,5.98
I04U-gNSC-r1-In-N50,6.56
I04U-gNSC-r2-In-N50,6.96
I05T-gNSC-r1-Di-N50,5.16
I05T-gNSC-r2-Di-N50,5.88
I05U-gNSC-r1-Di-N50,6.46
I05U-gNSC-r2-Di-N50,6.58
I06T-gNSC-r1-Tr-N50,5.52
I06T-gNSC-r2-Tr-N50,6.04
I06U-gNSC-r1-Tr-N50,6.24
I06U-gNSC-r2-Tr-N50,6.7
I07T-gNSC-r1-In-N50,4.02
I07T-gNSC-r2-In-N50,4.32
I07U-gNSC-r1-In-N50,4.46
I07U-gNSC-r2-In-N50,5.62
I08T-gNSC-r1-Di-N50,7.64
I08T-gNSC-r2-Di-N50,7.36
I08U-gNSC-r1-Di-N50,7.28
I08U-gNSC-r2-Di-N50,8.18
I09T-gNSC-r1-Tr-N50,5.38
I09T-gNSC-r2-Tr-N50,5.62
I09U-gNSC-r1-Tr-N50,6.3
I09U-gNSC-r2-Tr-N50,7.08
I10T-gNSC-r1-In-N50,3.94
I10T-gNSC-r2-In-N50,4.76
I10U-gNSC-r1-In-N50,4.4
I10U-gNSC-r2-In-N50,5
I11T-gNSC-r1-Di-N50,6.28
I11T-gNSC-r2-Di-N50,6.58
I11U-gNSC-r1-Di-N50,6.86
I11U-gNSC-r2-Di-N50,7.44
I12T-gNSC-r1-Tr-N50,5.4
I12T-gNSC-r2-Tr-N50,5.88
I12U-gNSC-r1-Tr-N50,6.56
I12U-gNSC-r2-Tr-N50,7.38
I13T-gNSC-r1-In-N50,4.1
I13T-gNSC-r2-In-N50,5.1
I13U-gNSC-r1-In-N50,4.48
I13U-gNSC-r2-In-N50,5.54
I14T-gNSC-r1-Di-N50,7.54
I14T-gNSC-r2-Di-N50,7.8
I14U-gNSC-r1-Di-N50,7.5
I14U-gNSC-r2-Di-N50,8.18
I15T-gNSC-r1-Tr-N50,5.64
I15T-gNSC-r2-Tr-N50,6.26
I15U-gNSC-r1-Tr-N50,6.08
I15U-gNSC-r2-Tr-N50,7.02
I16T-gNSC-r1-Tr-N50,5.26
I16T-gNSC-r2-Tr-N50,5.98
I16U-gNSC-r1-Tr-N50,7.5
I16U-gNSC-r2-Tr-N50,8.12
I17T-gNSC-r1-Di-N50,5.92
I17T-gNSC-r2-Di-N50,6.2
I17U-gNSC-r1-Di-N50,7.94
I17U-gNSC-r2-Di-N50,8.14
I18T-gNSC-r1-In-N50,4.02
I18T-gNSC-r2-In-N50,4.48
I18U-gNSC-r1-In-N50,4.88
I18U-gNSC-r2-In-N50,5.86
I19T-gNSC-r1-Tr-N50,5.34
I19T-gNSC-r2-Tr-N50,5.86
I19U-gNSC-r1-Tr-N50,6.24
I19U-gNSC-r2-Tr-N50,7
I20T-gNSC-r1-In-N50,3.82
I20T-gNSC-r2-In-N50,4.24
I20U-gNSC-r1-In-N50,4.76
I20U-gNSC-r2-In-N50,6.12
I21T-gNSC-r1-Di-N50,6.02
I21T-gNSC-r2-Di-N50,6.14
I21U-gNSC-r1-Di-N50,7.54
I21U-gNSC-r2-Di-N50,8.58
I22T-gNSC-r1-Tr-N50,5.68
I22T-gNSC-r2-Tr-N50,6.12
I22U-gNSC-r1-Tr-N50,7.62
I22U-gNSC-r2-Tr-N50,8.52
I23T-gNSC-r1-Di-N50,7.24
I23T-gNSC-r2-Di-N50,7.3
I23U-gNSC-r1-Di-N50,8.74
I23U-gNSC-r2-Di-N50,10.14
I24T-gNSC-r1-In-N50,4.14
I24T-gNSC-r2-In-N50,4.18
I24U-gNSC-r1-In-N50,5.94
I24U-gNSC-r2-In-N50,7.1
I25T-gNSC-r1-Tr-N50,5.08
I25T-gNSC-r2-Tr-N50,5.4
I25U-gNSC-r1-Tr-N50,6.54
I25U-gNSC-r2-Tr-N50,7.96
I26T-gNSC-r1-Di-N50,6.44
I26T-gNSC-r2-Di-N50,6.7
I26U-gNSC-r1-Di-N50,8.06
I26U-gNSC-r2-Di-N50,9.7
I27T-gNSC-r1-In-N50,3.72
I27T-gNSC-r2-In-N50,4.62
I27U-gNSC-r1-In-N50,5.02
I27U-gNSC-r2-In-N50,6.18
I28T-gNSC-r1-Di-N50,6.04
I28T-gNSC-r2-Di-N50,6.76
I28U-gNSC-r1-Di-N50,7.84
I28U-gNSC-r2-Di-N50,8.62
I29T-gNSC-r1-Tr-N50,5.08
I29T-gNSC-r2-Tr-N50,5.7
I29U-gNSC-r1-Tr-N50,6.18
I29U-gNSC-r2-Tr-N50,7.46
I30T-gNSC-r1-In-N50,3.48
I30T-gNSC-r2-In-N50,4.32
I30U-gNSC-r1-In-N50,4.76
I30U-gNSC-r2-In-N50,5.1
mean,6.146833333
