source,spearman,p_val
I01T-gNSC-r1-ldh-In-N50-VS-N70,0.758093303802295,2.9877244161684406e-14
I01T-gNSC-r1-xdh-In-N50-VS-N70,0.6452243112180411,1.6449439712731042e-09
I01T-gNSC-r1-xdx-In-N50-VS-N70,0.8002888726920817,9.391524766737909e-17
I01U-gNSC-r1-ldh-In-N50-VS-N70,0.3645748903967258,0.001916506295480722
I01U-gNSC-r1-xdh-In-N50-VS-N70,0.335187653812696,0.004562012526342515
I01U-gNSC-r1-xdx-In-N50-VS-N70,0.34793861288745376,0.0031627152744217145
I02T-gNSC-r1-ldh-Tr-N50-VS-N70,0.005170272993265612,0.9661168569491736
I02T-gNSC-r1-xdh-Tr-N50-VS-N70,-0.0242200699405604,0.8422469926837984
I02T-gNSC-r1-xdx-Tr-N50-VS-N70,0.2336524394265827,0.051568834262579175
I02U-gNSC-r1-ldh-Tr-N50-VS-N70,0.28899937682967053,0.015248384368499096
I02U-gNSC-r1-xdh-Tr-N50-VS-N70,0.39510633045334115,0.0007117074804310987
I02U-gNSC-r1-xdx-Tr-N50-VS-N70,0.2496727583965963,0.03712060155053534
I03T-gNSC-r1-ldh-Di-N50-VS-N70,0.1769517579487512,0.14280661392166366
I03T-gNSC-r1-xdh-Di-N50-VS-N70,0.20903062145596044,0.08245310754935538
I03T-gNSC-r1-xdx-Di-N50-VS-N70,0.3039326831675693,0.010530087909700668
I03U-gNSC-r1-ldh-Di-N50-VS-N70,0.4146851071325056,0.00035811494521834823
I03U-gNSC-r1-xdh-Di-N50-VS-N70,0.41871636986482347,0.0003092579945010417
I03U-gNSC-r1-xdx-Di-N50-VS-N70,0.32634122621194783,0.0058312181319474556
I04T-gNSC-r1-ldh-In-N50-VS-N70,0.023669704114694528,0.8457872062242872
I04T-gNSC-r1-xdh-In-N50-VS-N70,0.01345994710228317,0.9119404611055387
I04T-gNSC-r1-xdx-In-N50-VS-N70,0.2676341994668488,0.025097313771465263
I04U-gNSC-r1-ldh-In-N50-VS-N70,-0.07232881197828608,0.5518231837962471
I04U-gNSC-r1-xdh-In-N50-VS-N70,-0.0765899025448956,0.528573036411365
I04U-gNSC-r1-xdx-In-N50-VS-N70,0.054513493205105366,0.6539988437604831
I05T-gNSC-r1-ldh-Di-N50-VS-N70,0.6574937556735722,6.287586398054942e-10
I05T-gNSC-r1-xdh-Di-N50-VS-N70,0.6706406074293174,2.1335900585673008e-10
I05T-gNSC-r1-xdx-Di-N50-VS-N70,0.6909491878552306,3.593738474895085e-11
