item_model,T_ldh_r2
i01_in_dance,10.0
i02_tr_eat,4.0
i03_di_deliver,1.0
i04_in_wake,6.0
i05_di_teach,8.0
i06_tr_carry,7.0
i07_in_fly,12.0
i08_di_serve,2.0
i09_tr_ride,8.0
i10_in_cry,10.0
i11_di_ask,8.0
i12_tr_cut,4.0
i13_in_swim,10.5
i14_di_sell,7.0
i15_tr_plant,11.0
i16_tr_catch,6.0
i17_di_feed,12.0
i18_in_cough,5.0
i19_tr_photo,3.0
i20_in_laugh,10.0
i21_di_throw,12.0
i22_tr_forecast,3.0
i23_di_inject,5.0
i24_in_sleep,10.0
i25_tr_chase,2.0
i26_di_readto,8.0
i27_in_sing,11.0
i28_di_givedirection,11.0
i29_tr_cuddle,7.0
i30_in_run,12.0
