,T_xdx_r2
i01_in_dance,5.0
i02_tr_eat,5.0
i03_di_deliver,6.0
i04_in_wake,10.0
i05_di_teach,12.0
i06_tr_carry,12.0
i07_in_fly,8.0
i08_di_serve,10.0
i09_tr_ride,12.0
i10_in_cry,7.0
i11_di_ask,6.0
i12_tr_cut,1.0
i13_in_swim,12.0
i14_di_sell,2.0
i15_tr_plant,10.0
i16_tr_catch,2.0
i17_di_feed,9.0
i18_in_cough,7.0
i19_tr_photo,1.0
i20_in_laugh,5.0
i21_di_throw,10.0
i22_tr_forecast,10.0
i23_di_inject,12.0
i24_in_sleep,12.0
i25_tr_chase,9.0
i26_di_readto,2.0
i27_in_sing,12.0
i28_di_givedirection,7.0
i29_tr_cuddle,10.0
i30_in_run,7.0
