item_model,T_xdx
i01_in_dance,8.5
i02_tr_eat,5.5
i03_di_deliver,5.5
i04_in_wake,11.0
i05_di_teach,11.5
i06_tr_carry,11.5
i07_in_fly,7.5
i08_di_serve,5.5
i09_tr_ride,11.5
i10_in_cry,7.5
i11_di_ask,5.5
i12_tr_cut,3.0
i13_in_swim,10.5
i14_di_sell,2.5
i15_tr_plant,11.0
i16_tr_catch,1.5
i17_di_feed,10.0
i18_in_cough,5.5
i19_tr_photo,1.5
i20_in_laugh,8.5
i21_di_throw,9.5
i22_tr_forecast,11.0
i23_di_inject,11.5
i24_in_sleep,8.5
i25_tr_chase,6.0
i26_di_readto,4.0
i27_in_sing,9.0
i28_di_givedirection,6.5
i29_tr_cuddle,9.5
i30_in_run,7.5
