,U_ldh_r1
i01_in_dance,0.36457489
i02_tr_eat,0.288999377
i03_di_deliver,0.41468510700000005
i04_in_wake,-0.072328812
i05_di_teach,0.278745054
i06_tr_carry,0.22205748600000003
i07_in_fly,0.414533241
i08_di_serve,0.285286312
i09_tr_ride,0.490094731
i10_in_cry,0.504069465
i11_di_ask,0.250988141
i12_tr_cut,0.44456148700000003
i13_in_swim,0.276253637
i14_di_sell,0.251743895
i15_tr_plant,0.656672313
i16_tr_catch,0.377614176
i17_di_feed,0.448934693
i18_in_cough,0.8903003859999999
i19_tr_photo,0.26252828
i20_in_laugh,0.40976713200000003
i21_di_throw,-0.135867086
i22_tr_forecast,0.2228009
i23_di_inject,-0.06724006099999999
i24_in_sleep,-0.046756697
i25_tr_chase,0.25549627
i26_di_readto,0.46089769
i27_in_sing,0.44883645899999997
i28_di_givedirection,0.129118937
i29_tr_cuddle,0.169186552
i30_in_run,0.154239735
