,U_xdh_r1
i01_in_dance,0.335187654
i02_tr_eat,0.39510633
i03_di_deliver,0.41871637
i04_in_wake,-0.076589903
i05_di_teach,0.26680080899999997
i06_tr_carry,0.22100128300000002
i07_in_fly,0.414533241
i08_di_serve,0.26544417
i09_tr_ride,0.519509884
i10_in_cry,0.504069465
i11_di_ask,-0.031708952
i12_tr_cut,0.433615515
i13_in_swim,0.276253637
i14_di_sell,0.239165572
i15_tr_plant,0.6596148310000001
i16_tr_catch,0.407589783
i17_di_feed,0.43933561600000004
i18_in_cough,0.8879572059999999
i19_tr_photo,0.32811898
i20_in_laugh,0.416274366
i21_di_throw,-0.269021617
i22_tr_forecast,0.307706867
i23_di_inject,0.064677857
i24_in_sleep,-0.018558801
i25_tr_chase,0.248333602
i26_di_readto,0.491501836
i27_in_sing,0.380468152
i28_di_givedirection,0.067432052
i29_tr_cuddle,0.149341799
i30_in_run,0.155263085
