,U_xdx_r1
i01_in_dance,0.34793861299999995
i02_tr_eat,0.249672758
i03_di_deliver,0.32634122600000004
i04_in_wake,0.054513492999999996
i05_di_teach,0.295610251
i06_tr_carry,0.282716292
i07_in_fly,0.341804063
i08_di_serve,0.49682658700000004
i09_tr_ride,0.202694898
i10_in_cry,0.21789320199999998
i11_di_ask,0.141586869
i12_tr_cut,0.20562057600000003
i13_in_swim,0.290698271
i14_di_sell,0.25919996100000003
i15_tr_plant,0.46693537
i16_tr_catch,0.491202572
i17_di_feed,0.380712205
i18_in_cough,0.232910165
i19_tr_photo,0.10595044599999999
i20_in_laugh,0.355456265
i21_di_throw,-0.075131151
i22_tr_forecast,0.131676362
i23_di_inject,0.04313005599999999
i24_in_sleep,0.398124854
i25_tr_chase,0.312137255
i26_di_readto,0.412620989
i27_in_sing,0.43055593799999997
i28_di_givedirection,0.051172494000000006
i29_tr_cuddle,0.438131669
i30_in_run,0.18855192899999998
