source,spearman,p_val
I01T-gNSC-r1-ldh-In-N50-VS-N70,0.758093303802295,2.9877244161684406e-14
I01T-gNSC-r1-xdh-In-N50-VS-N70,0.6452243112180411,1.6449439712731042e-09
I01T-gNSC-r1-xdx-In-N50-VS-N70,0.8002888726920817,9.391524766737909e-17
I01T-gNSC-r2-ldh-In-N50-VS-N70,0.7631511705779502,1.5958863148786552e-14
I01T-gNSC-r2-xdh-In-N50-VS-N70,0.7777107605520215,2.3977808390983165e-15
I01T-gNSC-r2-xdx-In-N50-VS-N70,0.4794350464100748,2.6789990552785027e-05
I01U-gNSC-r1-ldh-In-N50-VS-N70,0.3645748903967258,0.001916506295480722
I01U-gNSC-r1-xdh-In-N50-VS-N70,0.335187653812696,0.004562012526342515
I01U-gNSC-r1-xdx-In-N50-VS-N70,0.34793861288745376,0.0031627152744217145
I01U-gNSC-r2-ldh-In-N50-VS-N70,0.5166600787200651,4.677530198196012e-06
I01U-gNSC-r2-xdh-In-N50-VS-N70,0.5133780454508979,5.5013630107533e-06
I01U-gNSC-r2-xdx-In-N50-VS-N70,0.34105428740526783,0.003861580959276505
I04T-gNSC-r1-ldh-In-N50-VS-N70,0.023669704114694528,0.8457872062242872
I04T-gNSC-r1-xdh-In-N50-VS-N70,0.01345994710228317,0.9119404611055387
I04T-gNSC-r1-xdx-In-N50-VS-N70,0.2676341994668488,0.025097313771465263
I04T-gNSC-r2-ldh-In-N50-VS-N70,0.01284138204440969,0.915972308583256
I04T-gNSC-r2-xdh-In-N50-VS-N70,0.007890870128369452,0.9483077522358908
I04T-gNSC-r2-xdx-In-N50-VS-N70,0.07974243871873847,0.5116913414282851
I04U-gNSC-r1-ldh-In-N50-VS-N70,-0.07232881197828608,0.5518231837962471
I04U-gNSC-r1-xdh-In-N50-VS-N70,-0.0765899025448956,0.528573036411365
I04U-gNSC-r1-xdx-In-N50-VS-N70,0.054513493205105366,0.6539988437604831
I04U-gNSC-r2-ldh-In-N50-VS-N70,-0.013386773797245363,0.9124172959165187
I04U-gNSC-r2-xdh-In-N50-VS-N70,0.008467317306181152,0.9445372583806182
I04U-gNSC-r2-xdx-In-N50-VS-N70,0.0996971353675075,0.4115575697594057
I07T-gNSC-r1-ldh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-xdh-In-N50-VS-N70,0.5112944600366103,6.092834533526431e-06
I07T-gNSC-r1-xdx-In-N50-VS-N70,0.46781172587922887,4.437338960754369e-05
