,Term_STTR
I01T-gNSF-r2-In-F14,0.41250000000000003
I01U-gNSF-r2-In-F14,0.3625
I02T-gNSF-r2-Tr-F14,0.3875
I02U-gNSF-r2-Tr-F14,0.4
I03T-gNSF-r2-Di-F14,0.4
I03U-gNSF-r2-Di-F14,0.4166666666666667
I04T-gNSF-r2-In-F14,0.4
I04U-gNSF-r2-In-F14,0.42500000000000004
I05T-gNSF-r2-Di-F14,0.4375
I05U-gNSF-r2-Di-F14,0.475
I06T-gNSF-r2-Tr-F14,0.425
I06U-gNSF-r2-Tr-F14,0.425
I07T-gNSF-r2-In-F14,0.36250000000000004
I07U-gNSF-r2-In-F14,0.3125
I08T-gNSF-r2-Di-F14,0.5
I08U-gNSF-r2-Di-F14,0.5750000000000001
I09T-gNSF-r2-Tr-F14,0.42500000000000004
I09U-gNSF-r2-Tr-F14,0.3375
I10T-gNSF-r2-In-F14,0.4375
I10U-gNSF-r2-In-F14,0.4125
I11T-gNSF-r2-Di-F14,0.275
I11U-gNSF-r2-Di-F14,0.4166666666666667
I12T-gNSF-r2-Tr-F14,0.36250000000000004
I12U-gNSF-r2-Tr-F14,0.425
I13T-gNSF-r2-In-F14,0.4125
I13U-gNSF-r2-In-F14,0.3875
I14T-gNSF-r2-Di-F14,0.47500000000000003
I14U-gNSF-r2-Di-F14,0.4333333333333333
I15T-gNSF-r2-Tr-F14,0.375
I15U-gNSF-r2-Tr-F14,0.4
I16T-gNSF-r2-Tr-F14,0.3625
I16U-gNSF-r2-Tr-F14,0.4083333333333334
I17T-gNSF-r2-Di-F14,0.3
I17U-gNSF-r2-Di-F14,0.3666666666666667
I18T-gNSF-r2-In-F14,0.3625
I18U-gNSF-r2-In-F14,0.44999999999999996
I19T-gNSF-r2-Tr-F14,0.3375
I19U-gNSF-r2-Tr-F14,0.3875
I20T-gNSF-r2-In-F14,0.375
I20U-gNSF-r2-In-F14,0.47500000000000003
I21T-gNSF-r2-Di-F14,0.3375
I21U-gNSF-r2-Di-F14,0.4583333333333333
I22T-gNSF-r2-Tr-F14,0.4375
I22U-gNSF-r2-Tr-F14,0.4625
I23T-gNSF-r2-Di-F14,0.375
I23U-gNSF-r2-Di-F14,0.375
I24T-gNSF-r2-In-F14,0.3625
I24U-gNSF-r2-In-F14,0.4125
I25T-gNSF-r2-Tr-F14,0.32499999999999996
I25U-gNSF-r2-Tr-F14,0.45
I26T-gNSF-r2-Di-F14,0.3499999999999999
I26U-gNSF-r2-Di-F14,0.3916666666666666
I27T-gNSF-r2-In-F14,0.3375
I27U-gNSF-r2-In-F14,0.4625
I28T-gNSF-r2-Di-F14,0.4749999999999999
I28U-gNSF-r2-Di-F14,0.575
I29T-gNSF-r2-Tr-F14,0.375
I29U-gNSF-r2-Tr-F14,0.475
I30T-gNSF-r2-In-F14,0.225
I30U-gNSF-r2-In-F14,0.4125
