,Word_STTR
I01T-gNSC-r1-In-N14,0.375
I01U-gNSC-r1-In-N14,0.325
I02T-gNSC-r1-Tr-N14,0.425
I02U-gNSC-r1-Tr-N14,0.5
I03T-gNSC-r1-Di-N14,0.375
I03U-gNSC-r1-Di-N14,0.625
I04T-gNSC-r1-In-N14,0.5
I04U-gNSC-r1-In-N14,0.675
I05T-gNSC-r1-Di-N14,0.525
I05U-gNSC-r1-Di-N14,0.6875
I06T-gNSC-r1-Tr-N14,0.25
I06U-gNSC-r1-Tr-N14,0.475
I07T-gNSC-r1-In-N14,0.2
I07U-gNSC-r1-In-N14,0.475
I08T-gNSC-r1-Di-N14,0.4875
I08U-gNSC-r1-Di-N14,0.575
I09T-gNSC-r1-Tr-N14,0.275
I09U-gNSC-r1-Tr-N14,0.375
I10T-gNSC-r1-In-N14,0.25
I10U-gNSC-r1-In-N14,0.25
I11T-gNSC-r1-Di-N14,0.5
I11U-gNSC-r1-Di-N14,0.5375
I12T-gNSC-r1-Tr-N14,0.4375
I12U-gNSC-r1-Tr-N14,0.5375000000000001
I13T-gNSC-r1-In-N14,0.2
I13U-gNSC-r1-In-N14,0.425
I14T-gNSC-r1-Di-N14,0.45
I14U-gNSC-r1-Di-N14,0.525
I15T-gNSC-r1-Tr-N14,0.375
I15U-gNSC-r1-Tr-N14,0.6125
I16T-gNSC-r1-Tr-N14,0.425
I16U-gNSC-r1-Tr-N14,0.4375
I17T-gNSC-r1-Di-N14,0.25
I17U-gNSC-r1-Di-N14,0.475
I18T-gNSC-r1-In-N14,0.375
I18U-gNSC-r1-In-N14,0.3
I19T-gNSC-r1-Tr-N14,0.525
I19U-gNSC-r1-Tr-N14,0.4375
I20T-gNSC-r1-In-N14,0.425
I20U-gNSC-r1-In-N14,0.55
I21T-gNSC-r1-Di-N14,0.375
I21U-gNSC-r1-Di-N14,0.55
I22T-gNSC-r1-Tr-N14,0.44999999999999996
I22U-gNSC-r1-Tr-N14,0.6583333333333333
I23T-gNSC-r1-Di-N14,0.4375
I23U-gNSC-r1-Di-N14,0.6833333333333332
I24T-gNSC-r1-In-N14,0.5
I24U-gNSC-r1-In-N14,0.425
I25T-gNSC-r1-Tr-N14,0.325
I25U-gNSC-r1-Tr-N14,0.475
I26T-gNSC-r1-Di-N14,0.325
I26U-gNSC-r1-Di-N14,0.4625
I27T-gNSC-r1-In-N14,0.35
I27U-gNSC-r1-In-N14,0.525
I28T-gNSC-r1-Di-N14,0.525
I28U-gNSC-r1-Di-N14,0.65
I29T-gNSC-r1-Tr-N14,0.675
I29U-gNSC-r1-Tr-N14,0.4125
I30T-gNSC-r1-In-N14,0.4
I30U-gNSC-r1-In-N14,0.5
