RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,years Eng,Eng residence,1stOr2ndResponse,What is happening?
5169644279,yes,NSv1pt2,Yes,,,USA,64,male,,USA 64 years,1,The woman is taking a run.
5169644279,yes,NSv1pt2,Yes,,,USA,64,male,,USA 64 years,2,Alice really hopes she can stay ahead of the bear until she reaches the suburbs.
5169631755,yes,NSv1pt2,No,"Spanish, French",,Ecuador,46,male,10 years or more,USA 15 years,1,0
5169631755,yes,NSv1pt2,No,"Spanish, French",,Ecuador,46,male,10 years or more,USA 15 years,2,0
5169630802,yes,NSv1pt2,Yes,,,USA,29,male,,USA 29 years,1,0
5169630802,yes,NSv1pt2,Yes,,,USA,29,male,,USA 29 years,2,0
5169630165,yes,NSv1pt2,Yes,,,,,,,,1,0
5169630165,yes,NSv1pt2,Yes,,,,,,,,2,0
5169627724,yes,NSv1pt2,Yes,,,USA,45,male,,USA 2 years,1,The woman is going for a run.
5169627724,yes,NSv1pt2,Yes,,,USA,45,male,,USA 2 years,2,The woman is exercising.
5169625545,yes,NSv1pt2,Yes,,,USA,71,male,,,1,Can you please tell me where the bathroom is?
5169625545,yes,NSv1pt2,Yes,,,USA,71,male,,,2,You can't let a good one get away.
5169597105,yes,NSv1pt2,Yes,,,USA,56,male,,,1,0
5169597105,yes,NSv1pt2,Yes,,,USA,56,male,,,2,0
5169592775,yes,NSv1pt2,Yes,,,USA,21,male,,USA 21 years,1,Hey man 
5169592775,yes,NSv1pt2,Yes,,,USA,21,male,,USA 21 years,2,Hey man 
5169589632,yes,NSv1pt2,Yes,,,USA,69,male,,USA 69 years,1,Girl jogging
5169589632,yes,NSv1pt2,Yes,,,USA,69,male,,USA 69 years,2,Staying in shape
5169571041,yes,NSv1pt2,Yes,,,USA,55,male,,USA 55 years,1,Girl is running for exercise
5169571041,yes,NSv1pt2,Yes,,,USA,55,male,,USA 55 years,2,A girl is running with long hair
5169567092,yes,NSv1pt2,Yes,,,,,,,,1,0
5169567092,yes,NSv1pt2,Yes,,,,,,,,2,0
5169563512,yes,NSv1pt2,Yes,,French,USA,36,male,,"USA 35 years,  UK 1 year",1,A woman is jogging.
5169563512,yes,NSv1pt2,Yes,,French,USA,36,male,,"USA 35 years,  UK 1 year",2,A woman is exercising.
5169562837,yes,NSv1pt2,Yes,,,USA,37,male,,USA 37 ,1,The woman I running. 
5169562837,yes,NSv1pt2,Yes,,,USA,37,male,,USA 37 ,2,Jogging is one of her hobbies. 
5169555334,yes,NSv1pt2,Yes,,,USA,19,male,,USA,1,F
5169555334,yes,NSv1pt2,Yes,,,USA,19,male,,USA,2,D
5169547974,yes,NSv1pt2,Yes,,,USA,22,male,,,1,The woman is running.
5169547974,yes,NSv1pt2,Yes,,,USA,22,male,,,2,A woman goes for a jog.
5169545857,yes,NSv1pt2,Yes,,,USA,47,male,,,1,0
5169545857,yes,NSv1pt2,Yes,,,USA,47,male,,,2,0
5169541655,yes,NSv1pt2,Yes,,,USA,70,male,,USA 70 years,1,0
5169541655,yes,NSv1pt2,Yes,,,USA,70,male,,USA 70 years,2,0
5169541012,yes,NSv1pt2,Yes,,,USA,56,male,,USA 56 years,1,The woman is running.
5169541012,yes,NSv1pt2,Yes,,,USA,56,male,,USA 56 years,2,"After losing 30 pounds, Marcie has decided to pick up the pace and begin running even more."
5169538480,yes,NSv1pt2,Yes,,,USA,42,female,,"Australia 1 year,  New Zealand 2 years",1,A woman is jogging.
5169538480,yes,NSv1pt2,Yes,,,USA,42,female,,"Australia 1 year,  New Zealand 2 years",2,A woman is running. 
5169537644,yes,NSv1pt2,Yes,,,USA,75,male,,,1,0
5169537644,yes,NSv1pt2,Yes,,,USA,75,male,,,2,0
5169500971,yes,NSv1pt2,Yes,,Several computer languages,USA,65,male,,USA  65 years,1,0
5169500971,yes,NSv1pt2,Yes,,Several computer languages,USA,65,male,,USA  65 years,2,0
5169499863,yes,NSv1pt2,Yes,,,Nigeria,20,female,,"Nigeria, The Gambia, Sierra Leone",1,0
5169499863,yes,NSv1pt2,Yes,,,Nigeria,20,female,,"Nigeria, The Gambia, Sierra Leone",2,0
5169497727,yes,NSv1pt2,Yes,,,USA,65,male,,USA 65 years,1,Jogging takes stamina.
5169497727,yes,NSv1pt2,Yes,,,USA,65,male,,USA 65 years,2,Exercise helps mental and physical needs be fulfilled.
5169493572,yes,NSv1pt2,No,,,Puerto Rico,61,female,10 years or more,USA 35 years,1,0
5169493572,yes,NSv1pt2,No,,,Puerto Rico,61,female,10 years or more,USA 35 years,2,0
5169491690,yes,NSv1pt2,Yes,,,USA,63,female,,USA 63 years,1,The woman is running.
5169491690,yes,NSv1pt2,Yes,,,USA,63,female,,USA 63 years,2,??
5169490672,yes,NSv1pt2,Yes,,German,USA,32,other / prefer not to say,,none,1,A person is exercising.
5169490672,yes,NSv1pt2,Yes,,German,USA,32,other / prefer not to say,,none,2,A person is jogging.
