RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,years Eng,Eng residence,1stOr2ndResponse,What is happening?
5169644279,yes,NSv1pt2,Yes,,,USA,64,male,,USA 64 years,1,The girl is about to get a shot.
5169644279,yes,NSv1pt2,Yes,,,USA,64,male,,USA 64 years,2,Dr Mengele is indulging in his favorite hobby.
5169631755,yes,NSv1pt2,No,"Spanish, French",,Ecuador,46,male,10 years or more,USA 15 years,1,0
5169631755,yes,NSv1pt2,No,"Spanish, French",,Ecuador,46,male,10 years or more,USA 15 years,2,0
5169630802,yes,NSv1pt2,Yes,,,USA,29,male,,USA 29 years,1,0
5169630802,yes,NSv1pt2,Yes,,,USA,29,male,,USA 29 years,2,0
5169630165,yes,NSv1pt2,Yes,,,,,,,,1,0
5169630165,yes,NSv1pt2,Yes,,,,,,,,2,0
5169627724,yes,NSv1pt2,Yes,,,USA,45,male,,USA 2 years,1,The doctor is going to give the girl a shot.
5169627724,yes,NSv1pt2,Yes,,,USA,45,male,,USA 2 years,2,The girl is not very happy about receiving a shot today.
5169625545,yes,NSv1pt2,Yes,,,USA,71,male,,,1,Little girl receiving an STD  vaccine from a victim of the disease.
5169625545,yes,NSv1pt2,Yes,,,USA,71,male,,,2,Old guy with a bad toupee giving measles injection to a young girl who is missing a math exam at school to be at her DOC appt.
5169597105,yes,NSv1pt2,Yes,,,USA,56,male,,,1,0
5169597105,yes,NSv1pt2,Yes,,,USA,56,male,,,2,0
5169592775,yes,NSv1pt2,Yes,,,USA,21,male,,USA 21 years,1,Hahahaha
5169592775,yes,NSv1pt2,Yes,,,USA,21,male,,USA 21 years,2,Hahaha
5169589632,yes,NSv1pt2,Yes,,,USA,69,male,,USA 69 years,1,Vaccination 
5169589632,yes,NSv1pt2,Yes,,,USA,69,male,,USA 69 years,2,Girl scared
5169571041,yes,NSv1pt2,Yes,,,USA,55,male,,USA 55 years,1,Doctor going to give young child a needle
5169571041,yes,NSv1pt2,Yes,,,USA,55,male,,USA 55 years,2,Young child is about to get a vaccination
5169567092,yes,NSv1pt2,Yes,,,,,,,,1,0
5169567092,yes,NSv1pt2,Yes,,,,,,,,2,0
5169563512,yes,NSv1pt2,Yes,,French,USA,36,male,,"USA 35 years,  UK 1 year",1,A girl is about to get a shot from her doctor.
5169563512,yes,NSv1pt2,Yes,,French,USA,36,male,,"USA 35 years,  UK 1 year",2,A doctor is about to give a shot to a girl.
5169562837,yes,NSv1pt2,Yes,,,USA,37,male,,USA 37 ,1,The girl is afraid to get a shot. 
5169562837,yes,NSv1pt2,Yes,,,USA,37,male,,USA 37 ,2,The doctor is prepared to immunize the nervous girl.
5169555334,yes,NSv1pt2,Yes,,,USA,19,male,,USA,1,B
5169555334,yes,NSv1pt2,Yes,,,USA,19,male,,USA,2,J
5169547974,yes,NSv1pt2,Yes,,,USA,22,male,,,1,A girl is getting a shot.
5169547974,yes,NSv1pt2,Yes,,,USA,22,male,,,2,The doctor gives a girl a shot.
5169545857,yes,NSv1pt2,Yes,,,USA,47,male,,,1,0
5169545857,yes,NSv1pt2,Yes,,,USA,47,male,,,2,0
5169541655,yes,NSv1pt2,Yes,,,USA,70,male,,USA 70 years,1,0
5169541655,yes,NSv1pt2,Yes,,,USA,70,male,,USA 70 years,2,0
5169541012,yes,NSv1pt2,Yes,,,USA,56,male,,USA 56 years,1,The doctor is giving a shot.
5169541012,yes,NSv1pt2,Yes,,,USA,56,male,,USA 56 years,2,Little Veronica is worried that the flu vaccine that Dr. Anderson is about to give her will hurt.
5169538480,yes,NSv1pt2,Yes,,,USA,42,female,,"Australia 1 year,  New Zealand 2 years",1,Girl is being vaccinated. 
5169538480,yes,NSv1pt2,Yes,,,USA,42,female,,"Australia 1 year,  New Zealand 2 years",2,A girl is receiving her vaccines. 
5169537644,yes,NSv1pt2,Yes,,,USA,75,male,,,1,I AM GETTING A SHOT TODAY.
5169537644,yes,NSv1pt2,Yes,,,USA,75,male,,,2,"I MIGHT CRY IF I GET A SHOT, BUT IT'S OK."
5169500971,yes,NSv1pt2,Yes,,Several computer languages,USA,65,male,,USA  65 years,1,Child contemplates revenge!
5169500971,yes,NSv1pt2,Yes,,Several computer languages,USA,65,male,,USA  65 years,2,"If I don't look at the needle, it won't hurt as long."
5169499863,yes,NSv1pt2,Yes,,,Nigeria,20,female,,"Nigeria, The Gambia, Sierra Leone",1,0
5169499863,yes,NSv1pt2,Yes,,,Nigeria,20,female,,"Nigeria, The Gambia, Sierra Leone",2,0
5169497727,yes,NSv1pt2,Yes,,,USA,65,male,,USA 65 years,1,A child is about to get a needed vaccination.
5169497727,yes,NSv1pt2,Yes,,,USA,65,male,,USA 65 years,2,A doctor is prepared to inoculate a child.
5169493572,yes,NSv1pt2,No,,,Puerto Rico,61,female,10 years or more,USA 35 years,1,0
5169493572,yes,NSv1pt2,No,,,Puerto Rico,61,female,10 years or more,USA 35 years,2,0
5169491690,yes,NSv1pt2,Yes,,,USA,63,female,,USA 63 years,1,The Doctor is preparing to give a shot to the girl.
5169491690,yes,NSv1pt2,Yes,,,USA,63,female,,USA 63 years,2,The Doctor is preparing to give the girl a shot.
5169490672,yes,NSv1pt2,Yes,,German,USA,32,other / prefer not to say,,none,1,"A child, who is about to receive an injection, looks nervous."
5169490672,yes,NSv1pt2,Yes,,German,USA,32,other / prefer not to say,,none,2,A doctor is about to give an injection to a nervous child.
5169489445,yes,NSv1pt2,Yes,,American Sign Language ,USA,19,female,,USA 19 years,1,She is getting a shot. 
